"Wk,Rk,School,Conf"
"12,1,Georgia (10-0),SEC (East)"
"12,2,Ohio State (10-0),Big Ten (East)"
"12,3,Michigan (10-0),Big Ten (East)"
"12,4,Texas Christian (10-0),Big 12"
"12,5,Tennessee (9-1),SEC (East)"
"12,6,LSU (8-2),SEC (West)"
"12,7,USC (9-1),Pac-12"
"12,8,Alabama (8-2),SEC (West)"
"12,9,Clemson (9-1),ACC (Atlantic)"
"12,10,Utah (8-2),Pac-12"
"12,11,Penn State (8-2),Big Ten (East)"
"12,12,Oregon (8-2),Pac-12"
"12,13,North Carolina (9-1),ACC (Coastal)"
"12,14,Ole Miss (8-2),SEC (West)"
"12,15,Washington (8-2),Pac-12"
"12,16,UCLA (8-2),Pac-12"
"12,17,UCF (8-2),American"
"12,18,Notre Dame (7-3),Ind"
"12,19,Kansas State (7-3),Big 12"
"12,20,Florida State (7-3),ACC (Atlantic)"
"12,21,Tulane (8-2),American"
"12,22,Cincinnati (8-2),American"
"12,23,Coastal Carolina (9-1),Sun Belt (East)"
"12,24,Oklahoma State (7-3),Big 12"
"12,25,Oregon State (7-3),Pac-12"
"11,1,Georgia (9-0),SEC (East)"
"11,2,Ohio State (9-0),Big Ten (East)"
"11,3,Michigan (9-0),Big Ten (East)"
"11,4,Texas Christian (9-0),Big 12"
"11,5,Tennessee (8-1),SEC (East)"
"11,6,Oregon (8-1),Pac-12"
"11,7,LSU (7-2),SEC (West)"
"11,8,USC (8-1),Pac-12"
"11,9,UCLA (8-1),Pac-12"
"11,10,Alabama (7-2),SEC (West)"
"11,11,Ole Miss (8-1),SEC (West)"
"11,12,Clemson (8-1),ACC (Atlantic)"
"11,13,Utah (7-2),Pac-12"
"11,14,Penn State (7-2),Big Ten (East)"
"11,15,North Carolina (8-1),ACC (Coastal)"
"11,16,Tulane (8-1),American"
"11,17,North Carolina State (7-2),ACC (Atlantic)"
"11,18,Texas (6-3),Big 12"
"11,19,Liberty (8-1),Ind"
"11,20,Notre Dame (6-3),Ind"
"11,21,Illinois (7-2),Big Ten (West)"
"11,22,UCF (7-2),American"
"11,23,Kansas State (6-3),Big 12"
"11,24,Washington (7-2),Pac-12"
"11,25,Florida State (6-3),ACC (Atlantic)"
"10,1,Georgia (8-0),SEC (East)"
"10,2,Ohio State (8-0),Big Ten (East)"
"10,2,Tennessee (8-0),SEC (East)"
"10,4,Michigan (8-0),Big Ten (East)"
"10,5,Clemson (8-0),ACC (Atlantic)"
"10,6,Alabama (7-1),SEC (West)"
"10,7,Texas Christian (8-0),Big 12"
"10,8,Oregon (7-1),Pac-12"
"10,9,USC (7-1),Pac-12"
"10,10,UCLA (7-1),Pac-12"
"10,11,Ole Miss (8-1),SEC (West)"
"10,12,Utah (6-2),Pac-12"
"10,13,Kansas State (6-2),Big 12"
"10,14,Illinois (7-1),Big Ten (West)"
"10,15,LSU (6-2),SEC (West)"
"10,16,Penn State (6-2),Big Ten (East)"
"10,17,North Carolina (7-1),ACC (Coastal)"
"10,18,Oklahoma State (6-2),Big 12"
"10,19,Tulane (7-1),American"
"10,20,Wake Forest (6-2),ACC (Atlantic)"
"10,21,North Carolina State (6-2),ACC (Atlantic)"
"10,22,Syracuse (6-2),ACC (Atlantic)"
"10,23,Liberty (7-1),Ind"
"10,24,Oregon State (6-2),Pac-12"
"10,25,UCF (6-2),American"
"9,1,Georgia (7-0),SEC (East)"
"9,2,Ohio State (7-0),Big Ten (East)"
"9,3,Tennessee (7-0),SEC (East)"
"9,4,Michigan (7-0),Big Ten (East)"
"9,5,Clemson (8-0),ACC (Atlantic)"
"9,6,Alabama (7-1),SEC (West)"
"9,7,Texas Christian (7-0),Big 12"
"9,8,Oregon (6-1),Pac-12"
"9,9,Oklahoma State (6-1),Big 12"
"9,10,USC (6-1),Pac-12"
"9,10,Wake Forest (6-1),ACC (Atlantic)"
"9,12,UCLA (6-1),Pac-12"
"9,13,Penn State (6-1),Big Ten (East)"
"9,14,Utah (5-2),Pac-12"
"9,15,Ole Miss (7-1),SEC (West)"
"9,16,Syracuse (6-1),ACC (Atlantic)"
"9,17,Illinois (6-1),Big Ten (West)"
"9,18,LSU (6-2),SEC (West)"
"9,19,Kentucky (5-2),SEC (East)"
"9,20,Cincinnati (6-1),American"
"9,21,North Carolina (6-1),ACC (Coastal)"
"9,22,Kansas State (5-2),Big 12"
"9,23,Tulane (7-1),American"
"9,24,North Carolina State (5-2),ACC (Atlantic)"
"9,25,South Carolina (5-2),SEC (East)"
"8,1,Georgia (7-0),SEC (East)"
"8,2,Ohio State (6-0),Big Ten (East)"
"8,3,Tennessee (6-0),SEC (East)"
"8,4,Michigan (7-0),Big Ten (East)"
"8,5,Clemson (7-0),ACC (Atlantic)"
"8,6,Alabama (6-1),SEC (West)"
"8,7,Ole Miss (7-0),SEC (West)"
"8,8,Texas Christian (6-0),Big 12"
"8,9,UCLA (6-0),Pac-12"
"8,10,Oregon (5-1),Pac-12"
"8,11,Oklahoma State (5-1),Big 12"
"8,12,USC (6-1),Pac-12"
"8,13,Wake Forest (5-1),ACC (Atlantic)"
"8,14,Syracuse (6-0),ACC (Atlantic)"
"8,15,Utah (5-2),Pac-12"
"8,16,Penn State (5-1),Big Ten (East)"
"8,17,Kansas State (5-1),Big 12"
"8,18,Illinois (6-1),Big Ten (West)"
"8,19,Kentucky (5-2),SEC (East)"
"8,20,Texas (5-2),Big 12"
"8,21,Cincinnati (5-1),American"
"8,22,North Carolina (6-1),ACC (Coastal)"
"8,23,North Carolina State (5-2),ACC (Atlantic)"
"8,24,Mississippi State (5-2),SEC (West)"
"8,25,Tulane (6-1),American"
"7,1,Georgia (6-0),SEC (East)"
"7,2,Ohio State (6-0),Big Ten (East)"
"7,3,Alabama (6-0),SEC (West)"
"7,4,Clemson (6-0),ACC (Atlantic)"
"7,5,Michigan (6-0),Big Ten (East)"
"7,6,Tennessee (5-0),SEC (East)"
"7,7,USC (6-0),Pac-12"
"7,8,Oklahoma State (5-0),Big 12"
"7,9,Ole Miss (6-0),SEC (West)"
"7,10,Penn State (5-0),Big Ten (East)"
"7,11,UCLA (6-0),Pac-12"
"7,12,Oregon (5-1),Pac-12"
"7,13,Texas Christian (5-0),Big 12"
"7,14,Wake Forest (5-1),ACC (Atlantic)"
"7,15,North Carolina State (5-1),ACC (Atlantic)"
"7,16,Mississippi State (5-1),SEC (West)"
"7,17,Kansas State (5-1),Big 12"
"7,18,Syracuse (5-0),ACC (Atlantic)"
"7,19,Kansas (5-1),Big 12"
"7,20,Utah (4-2),Pac-12"
"7,21,Cincinnati (5-1),American"
"7,22,Kentucky (4-2),SEC (East)"
"7,22,Texas (4-2),Big 12"
"7,24,Illinois (5-1),Big Ten (West)"
"7,25,James Madison (5-0),Sun Belt (East)"
"6,1,Alabama (5-0),SEC (West)"
"6,2,Georgia (5-0),SEC (East)"
"6,3,Ohio State (5-0),Big Ten (East)"
"6,4,Michigan (5-0),Big Ten (East)"
"6,5,Clemson (5-0),ACC (Atlantic)"
"6,6,USC (5-0),Pac-12"
"6,7,Oklahoma State (4-0),Big 12"
"6,8,Tennessee (4-0),SEC (East)"
"6,9,Ole Miss (5-0),SEC (West)"
"6,10,Penn State (5-0),Big Ten (East)"
"6,11,Utah (4-1),Pac-12"
"6,12,Oregon (4-1),Pac-12"
"6,13,Kentucky (4-1),SEC (East)"
"6,14,North Carolina State (4-1),ACC (Atlantic)"
"6,15,Wake Forest (4-1),ACC (Atlantic)"
"6,16,BYU (4-1),Ind"
"6,17,Texas Christian (4-0),Big 12"
"6,18,UCLA (5-0),Pac-12"
"6,19,Kansas (5-0),Big 12"
