,Player,Pos.,Team,Total Value,APY,Total Guaranteed,Avg. Guarantee/Year,% Guaranteed,Position,Position Rank
0,Lamar Jackson,QB,Ravens,260000000,52000000,135000000,27000000,51.9,QB,2
1,Jalen Hurts,QB,Eagles,255000000,51000000,110000000,22000000,43.1,QB,4
2,Aaron Rodgers,QB,Jets,150815000,50271667,101415000,33805000,67.2,QB,11
3,Russell Wilson,QB,Broncos,245000000,49000000,124000000,24800000,50.6,QB,5
4,Kyler Murray,QB,Cardinals,230500000,46100000,103300000,20660000,44.8,QB,6
5,Deshaun Watson,QB,Browns,230000000,46000000,230000000,46000000,100.0,QB,7
6,Patrick Mahomes,QB,Chiefs,450000000,45000000,63081905,6308191,14.0,QB,1
7,Josh Allen,QB,Bills,258000000,43000000,100000000,16666667,38.8,QB,3
8,Matt Stafford,QB,Rams,160000000,40000000,63000000,15750000,39.4,QB,9
9,Dak Prescott,QB,Cowboys,160000000,40000000,95000000,23750000,59.4,QB,9
10,Daniel Jones,QB,Giants,160000000,40000000,81000000,20250000,50.6,QB,9
11,Derek Carr,QB,Saints,150000000,37500000,60000000,15000000,40.0,QB,12
12,Kirk Cousins,QB,Vikings,35000000,35000000,70000000,70000000,100.0,QB,22
13,Jared Goff,QB,Lions,134000000,33500000,57042682,14260671,42.6,QB,13
14,Aaron Donald,IDL,Rams,95000000,31666667,46500000,15500000,48.9,IDL,1
15,Tyreek Hill,WR,Dolphins,120000000,30000000,52535000,13133750,43.8,WR,2
16,Ryan Tannehill,QB,Titans,118000000,29500000,62000000,15500000,52.5,QB,14
17,T.J. Watt,EDGE,Steelers,112011000,28002750,80000000,20000000,71.4,EDGE,5
18,Davante Adams,WR,Raiders,140000000,28000000,22750000,4550000,16.3,WR,1
19,DeAndre Hopkins,WR,Cardinals,54500000,27250000,42750000,21375000,78.4,WR,19
20,Joey Bosa,EDGE,Chargers,135000000,27000000,78000000,15600000,57.8,EDGE,2
21,Cooper Kupp,WR,Rams,80100000,26700000,35000000,11666667,43.7,WR,7
22,Laremy Tunsil,LT,Texans,75000000,25000000,50000000,16666667,66.7,OT,4
23,Myles Garrett,EDGE,Browns,125000000,25000000,50000000,10000000,40.0,EDGE,3
24,A.J. Brown,WR,Eagles,100000000,25000000,56470471,14117618,56.5,WR,3
25,Geno Smith,QB,Seahawks,75000000,25000000,27300000,9100000,36.4,QB,15
26,Jimmy Garoppolo,QB,Raiders,72750000,24250000,33750000,11250000,46.4,QB,16
27,D.K. Metcalf,WR,Seahawks,72000000,24000000,31000000,10333333,43.1,WR,9
28,Stefon Diggs,WR,Bills,96000000,24000000,47985000,11996250,50.0,WR,5
29,Deebo Samuel,WR,49ers,71550000,23850000,41000000,13666667,57.3,WR,11
30,Jeffery Simmons,IDL,Titans,94000000,23500000,47830000,11957500,50.9,IDL,2
31,Maxx Crosby,EDGE,Raiders,94000000,23500000,26515000,6628750,28.2,EDGE,7
32,Khalil Mack,EDGE,Chargers,141000000,23500000,60000000,10000000,42.6,EDGE,1
33,Terry McLaurin,WR,Commanders,69600000,23200000,34654118,11551373,49.8,WR,12
34,Trent Williams,LT,49ers,138060000,23010000,40050000,6675000,29.0,OT,1
35,David Bakhtiari,LT,Packers,92000000,23000000,30000000,7500000,32.6,OT,3
36,Daron Payne,IDL,Commanders,90000000,22500000,46010000,11502500,51.1,IDL,3
37,Bradley Chubb,EDGE,Dolphins,110000000,22000000,33462444,6692489,30.4,EDGE,6
38,Javon Hargrave,IDL,49ers,84000000,21000000,40000000,10000000,47.6,IDL,5
39,Leonard Williams,IDL,Giants,63000000,21000000,45000000,15000000,71.4,IDL,12
40,Jaire Alexander,CB,Packers,84000000,21000000,30000000,7500000,35.7,CB,6
41,DeForest Buckner,IDL,Colts,84000000,21000000,39378000,9844500,46.9,IDL,5
42,D.J. Moore,WR,Bears,61884000,20628000,41610000,13870000,67.2,WR,14
43,Chris Lindstrom,RG,Falcons,102500000,20500000,48202000,9640400,47.0,IOL,1
44,Lane Johnson,RT,Eagles,80750000,20187500,30000000,7500000,37.2,OT,5
45,Denzel Ward,CB,Browns,100500000,20100000,44500000,8900000,44.3,CB,1
46,Keenan Allen,WR,Chargers,80100000,20025000,32000000,8000000,40.0,WR,7
47,Jalen Ramsey,CB,Dolphins,100000000,20000000,43703000,8740600,43.7,CB,2
48,Von Miller,EDGE,Bills,120000000,20000000,45000000,7500000,37.5,EDGE,4
49,Chris Jones,IDL,Chiefs,80000000,20000000,37626000,9406500,47.0,IDL,7
50,Quenton Nelson,LG,Colts,80000000,20000000,41000000,10250000,51.3,IOL,1
51,Chris Godwin,WR,Buccaneers,60000000,20000000,40000000,13333333,66.7,WR,16
52,Mike Williams,WR,Chargers,60000000,20000000,40000000,13333333,66.7,WR,16
53,Jawaan Taylor,RT,Chiefs,80000000,20000000,40000000,10000000,50.0,OT,6
54,Amari Cooper,WR,Browns,100000000,20000000,40000000,8000000,40.0,WR,3
55,Roquan Smith,LB,Ravens,100000000,20000000,45000000,9000000,45.0,LB,1
56,Ronnie Stanley,LT,Ravens,98750000,19750000,64116000,12823200,64.9,OT,2
57,Shaquille Leonard,LB,Colts,98500000,19700000,33000000,6600000,33.5,LB,2
58,Marlon Humphrey,CB,Ravens,97500000,19500000,39957407,7991481,41.0,CB,3
59,Marshon Lattimore,CB,Saints,97000000,19400000,44346588,8869318,45.7,CB,4
