,Country,type,Value
0,Bahrain,% of Government Revenue,85.3
1,Bahrain,% of GDP,28.5
2,Iran,% of Government Revenue,69.5
3,Iran,% of GDP,29.9
4,Kuwait,% of Government Revenue,76.8
5,Kuwait,% of GDP,58.6
6,Oman,% of Government Revenue,87.4
7,Oman,% of GDP,50.5
8,Qatar,% of Government Revenue,56.8
9,Qatar,% of GDP,60.0
10,Saudi Arabia,% of Government Revenue,89.3
11,Saudi Arabia,% of GDP,60.7
12,United Arab Emirates,% of Government Revenue,80.4
13,United Arab Emirates,% of GDP,36.8
14,Algeria,% of Government Revenue,60.1
15,Algeria,% of GDP,30.2
16,Botswana,% of Government Revenue,50.0
17,Botswana,% of GDP,33.0
18,Nigeria,% of Government Revenue,89.4
19,Nigeria,% of GDP,40.1
20,Venezuela,% of Government Revenue,89.6
21,Venezuela,% of GDP,33.1
