Name,Hex,R,G,B,RGBTotal
IndianRed,#CD5C5C,205,92,92,389
LightCoral,#F08080,240,128,128,496
Salmon,#FA8072,250,128,114,492
DarkSalmon,#E9967A,233,150,122,505
LightSalmon,#FFA07A,255,160,122,537
Crimson,#DC143C,220,20,60,300
Red,#FF0000,255,0,0,255
FireBrick,#B22222,178,34,34,246
DarkRed,#8B0000,139,0,0,139
Pink,#FFC0CB,255,192,203,650
LightPink,#FFB6C1,255,182,193,630
HotPink,#FF69B4,255,105,180,540
DeepPink,#FF1493,255,20,147,422
MediumVioletRed,#C71585,199,21,133,353
PaleVioletRed,#DB7093,219,112,147,478
LightSalmon,#FFA07A,255,160,122,537
Coral,#FF7F50,255,127,80,462
Tomato,#FF6347,255,99,71,425
OrangeRed,#FF4500,255,69,0,324
DarkOrange,#FF8C00,255,140,0,395
Orange,#FFA500,255,165,0,420
Gold,#FFD700,255,215,0,470
Yellow,#FFFF00,255,255,0,510
LightYellow,#FFFFE0,255,255,224,734
LemonChiffon,#FFFACD,255,250,205,710
LightGoldenrodYellow,#FAFAD2,250,250,210,710
PapayaWhip,#FFEFD5,255,239,213,707
Moccasin,#FFE4B5,255,228,181,664
PeachPuff,#FFDAB9,255,218,185,658
PaleGoldenrod,#EEE8AA,238,232,170,640
Khaki,#F0E68C,240,230,140,610
DarkKhaki,#BDB76B,189,183,107,479
Lavender,#E6E6FA,230,230,250,710
Thistle,#D8BFD8,216,191,216,623
Plum,#DDA0DD,221,160,221,602
Violet,#EE82EE,238,130,238,606
Orchid,#DA70D6,218,112,214,544
Fuchsia,#FF00FF,255,0,255,510
Magenta,#FF00FF,255,0,255,510
MediumOrchid,#BA55D3,186,85,211,482
MediumPurple,#9370DB,147,112,219,478
RebeccaPurple,#663399,102,51,153,306
BlueViolet,#8A2BE2,138,43,226,407
DarkViolet,#9400D3,148,0,211,359
DarkOrchid,#9932CC,153,50,204,407
DarkMagenta,#8B008B,139,0,139,278
Purple,#800080,128,0,128,256
Indigo,#4B0082,75,0,130,205
