,Hex
1,#CD5C5C
2,#F08080
3,#FA8072
4,#E9967A
5,#FFA07A
6,#DC143C
7,#FF0000
8,#B22222
9,#8B0000
11,#FFC0CB
12,#FFB6C1
13,#FF69B4
14,#FF1493
15,#C71585
16,#DB7093
18,#FFA07A
19,#FF7F50
20,#FF6347
21,#FF4500
22,#FF8C00
23,#FFA500
25,#FFD700
26,#FFFF00
27,#FFFFE0
28,#FFFACD
29,#FAFAD2
30,#FFEFD5
31,#FFE4B5
32,#FFDAB9
33,#EEE8AA
34,#F0E68C
35,#BDB76B
37,#E6E6FA
38,#D8BFD8
39,#DDA0DD
40,#EE82EE
41,#DA70D6
42,#FF00FF
43,#FF00FF
44,#BA55D3
45,#9370DB
46,#663399
47,#8A2BE2
48,#9400D3
49,#9932CC
50,#8B008B
51,#800080
52,#4B0082
53,#6A5ACD
54,#483D8B
55,#7B68EE
57,#ADFF2F
58,#7FFF00
59,#7CFC00
60,#00FF00
61,#32CD32
62,#98FB98
63,#90EE90
64,#00FA9A
65,#00FF7F
66,#3CB371
67,#2E8B57
68,#228B22
69,#008000
70,#006400
71,#9ACD32
72,#6B8E23
73,#808000
74,#556B2F
75,#66CDAA
76,#8FBC8B
77,#20B2AA
78,#008B8B
79,#008080
81,#00FFFF
82,#00FFFF
83,#E0FFFF
84,#AFEEEE
85,#7FFFD4
86,#40E0D0
87,#48D1CC
88,#00CED1
89,#5F9EA0
90,#4682B4
91,#B0C4DE
92,#B0E0E6
93,#ADD8E6
94,#87CEEB
95,#87CEFA
96,#00BFFF
97,#1E90FF
98,#6495ED
99,#7B68EE
100,#4169E1
101,#0000FF
102,#0000CD
103,#00008B
104,#000080
105,#191970
107,#FFF8DC
108,#FFEBCD
109,#FFE4C4
110,#FFDEAD
111,#F5DEB3
112,#DEB887
113,#D2B48C
114,#BC8F8F
115,#F4A460
116,#DAA520
117,#B8860B
118,#CD853F
119,#D2691E
120,#8B4513
121,#A0522D
122,#A52A2A
123,#800000
125,#FFFFFF
126,#FFFAFA
127,#F0FFF0
128,#F5FFFA
129,#F0FFFF
130,#F0F8FF
131,#F8F8FF
132,#F5F5F5
133,#FFF5EE
134,#F5F5DC
135,#FDF5E6
136,#FFFAF0
137,#FFFFF0
138,#FAEBD7
139,#FAF0E6
140,#FFF0F5
141,#FFE4E1
143,#DCDCDC
144,#D3D3D3
145,#C0C0C0
146,#A9A9A9
147,#808080
148,#696969
149,#778899
150,#708090
151,#2F4F4F
152,#000000
