county,year,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,total_tax
Carlow,2021,73.81,123.97,21.12,30.79,8.52,258.21
Cavan,2021,91.24,155.82,24.48,49.58,10.13,331.25
Clare,2021,121.99,325.85,40.29,372.53,19.1,879.76
Cork,2021,1421.09,2002.57,274.91,3695.73,206.95,7601.25
Donegal,2021,111.72,183.68,40.33,49.75,11.46,396.94
Dublin,2021,7861.14,12000.89,1110.64,9231.91,759.65,30964.23
Galway,2021,279.46,899.6,119.1,219.04,61.41,1578.61
Kerry,2021,131.57,669.78,65.95,54.55,81.46,1003.31
Kildare,2021,406.6,813.81,95.37,131.02,60.23,1507.03
Kilkenny,2021,99.16,328,42.33,44.29,12.53,526.31
Laoighis,2021,82.73,74,24.92,19.86,7.54,209.05
Leitrim,2021,17.09,172.82,9.74,9.44,3.29,212.38
Limerick,2021,267.71,683.55,84.34,290.2,48.61,1374.41
Longford,2021,35.25,64.19,13.52,16.64,2.34,131.94
Louth,2021,176.44,266.1,42.5,101.03,48.67,634.74
Mayo,2021,121.48,220.1,48.62,112.56,16.91,519.67
Meath,2021,269.47,452.47,92.36,193.23,53,1060.53
Monaghan,2021,79.88,101.78,20.02,48.56,4.39,254.63
Offaly,2021,65.15,295.78,23.63,48.87,10.66,444.09
Roscommon,2021,68.79,58.44,21.42,24.52,7.53,180.7
Sligo,2021,113.43,122.75,26.27,37.62,11.13,311.2
Tipperary,2021,200.46,205.25,69.46,64.88,21.06,561.11
Waterford,2021,130.08,261.07,52.92,113.12,32.23,589.42
Westmeath,2021,100.38,1189.2,35.28,66.1,18.32,1409.28
Wexford,2021,156.02,212.69,55.76,98.71,16.04,539.22
Wicklow,2021,174.16,238.41,81.29,99.98,43.21,637.05
Other / Foreign,2021,1034.69,356.44,37.44,98.48,68.61,1595.66
Carlow,2020,61.11,99.98,19.64,25.79,7.37,213.89
Cavan,2020,70.33,125.81,20.56,45.5,2.38,264.58
Clare,2020,100.51,288.7,36.84,111.87,7.99,545.91
Cork,2020,954.02,1714.31,252.93,2760.98,107.74,5789.98
Donegal,2020,95.66,149.11,35.88,50.71,12.39,343.75
Dublin,2020,6377.62,10034.3,1085.09,7328.01,484.07,25309.09
Galway,2020,248.26,760.53,103.75,227.84,35.71,1376.09
Kerry,2020,102.5,569.97,61.33,32.84,31.25,797.89
Kildare,2020,330.08,694.6,88.15,203.83,37.69,1354.35
Kilkenny,2020,82.96,272.16,38.3,36.15,6.19,435.76
Laoighis,2020,63.27,57.13,21.48,16.15,8.39,166.42
Leitrim,2020,14.22,149.04,7.83,8.44,0.95,180.48
Limerick,2020,183.58,568.4,80.23,190.49,32.21,1054.91
Longford,2020,25.69,50.12,11.01,10.21,2.71,99.74
Louth,2020,145.85,220.61,37.22,46.9,11.57,462.15
Mayo,2020,96.04,179.06,42.06,122.3,8.37,447.83
Meath,2020,225.85,376.13,82.39,133.64,33.15,851.16
Monaghan,2020,63.14,77.8,16.87,33.06,4.74,195.61
Offaly,2020,56.63,256.86,22.02,31.35,5.61,372.47
Roscommon,2020,52.57,45.13,19.04,13.54,2.63,132.91
