,Period,Thousands,motnh,monthNumb,year
0,8.2003,604,Aug,8,2003
1,9.2003,610,Sep,9,2003
2,10.2003,614,Oct,10,2003
3,11.2004,612,Nov,11,2004
4,12.2004,617,Dec,12,2004
5,1.2004,624,Jan,1,2004
6,2.2004,632,Feb,2,2004
7,3.2004,637,Mar,3,2004
8,4.2004,641,Apr,4,2004
9,5.2004,652,May,5,2004
10,6.2004,653,Jun,6,2004
11,7.2004,655,Jul,7,2004
12,8.2004,655,Aug,8,2004
13,9.2004,658,Sep,9,2004
14,10.2004,662,Oct,10,2004
15,11.2005,660,Nov,11,2005
16,12.2005,655,Dec,12,2005
17,1.2005,641,Jan,1,2005
18,2.2005,639,Feb,2,2005
19,3.2005,641,Mar,3,2005
20,4.2005,642,Apr,4,2005
21,5.2005,633,May,5,2005
22,6.2005,624,Jun,6,2005
23,7.2005,623,Jul,7,2005
24,8.2005,609,Aug,8,2005
25,9.2005,606,Sep,9,2005
26,10.2005,609,Oct,10,2005
27,11.2006,614,Nov,11,2006
28,12.2006,611,Dec,12,2006
29,1.2006,599,Jan,1,2006
30,2.2006,597,Feb,2,2006
31,3.2006,597,Mar,3,2006
32,4.2006,603,Apr,4,2006
33,5.2006,607,May,5,2006
34,6.2006,611,Jun,6,2006
35,7.2006,613,Jul,7,2006
36,8.2006,620,Aug,8,2006
37,9.2006,620,Sep,9,2006
38,10.2006,620,Oct,10,2006
39,11.2007,618,Nov,11,2007
40,12.2007,627,Dec,12,2007
41,1.2007,640,Jan,1,2007
42,2.2007,648,Feb,2,2007
43,3.2007,650,Mar,3,2007
44,4.2007,658,Apr,4,2007
45,5.2007,669,May,5,2007
46,6.2007,682,Jun,6,2007
47,7.2007,685,Jul,7,2007
48,8.2007,688,Aug,8,2007
49,9.2007,692,Sep,9,2007
50,10.2007,687,Oct,10,2007
51,11.2008,678,Nov,11,2008
52,12.2008,685,Dec,12,2008
53,1.2008,695,Jan,1,2008
54,2.2008,696,Feb,2,2008
55,3.2008,678,Mar,3,2008
56,,656,Apr,4,
57,5.2008,642,May,5,2008
58,6.2008,626,Jun,6,2008
59,7.2008,617,Jul,7,2008
60,8.2008,598,Aug,8,2008
61,9.2008,563,Sep,9,2008
62,10.2008,527,Oct,10,2008
63,11.2009,497,Nov,11,2009
64,12.2009,476,Dec,12,2009
65,1.2009,463,Jan,1,2009
66,2.2009,454,Feb,2,2009
