date,value,type,
2001 JAN,2.8,public,
2001 FEB,2.7,public,
2001 MAR,4.1,public,
2001 APR,5.8,public,
2001 MAY,6,public,
2001 JUN,5.6,public,
2001 JUL,6,public,
2001 AUG,6.6,public,
2001 SEP,6.1,public,
2001 OCT,6.1,public,
2001 NOV,5.1,public,
2001 DEC,5.3,public,
2002 JAN,4.8,public,
2002 FEB,4.5,public,
2002 MAR,4.4,public,
2002 APR,3.8,public,
2002 MAY,3.7,public,
2002 JUN,3.7,public,
2002 JUL,4.1,public,
2002 AUG,2.2,public,
2002 SEP,3.3,public,
2002 OCT,3.5,public,
2002 NOV,4.2,public,
2002 DEC,5.1,public,
2003 JAN,4.1,public,
2003 FEB,4.2,public,
2003 MAR,4.3,public,
2003 APR,4.4,public,
2003 MAY,3.7,public,
2003 JUN,4.9,public,
2003 JUL,4.6,public,
2003 AUG,6.4,public,
2003 SEP,5.5,public,
2003 OCT,4.9,public,
2003 NOV,4.7,public,
2003 DEC,4.7,public,
2004 JAN,4.4,public,
2004 FEB,4.7,public,
2004 MAR,4.6,public,
2004 APR,4.6,public,
2004 MAY,4.9,public,
2004 JUN,4.2,public,
2004 JUL,3.8,public,
2004 AUG,3.6,public,
2004 SEP,4.1,public,
2004 OCT,4.5,public,
2004 NOV,4.5,public,
2004 DEC,4.2,public,
2005 JAN,5,public,
2005 FEB,4.3,public,
2005 MAR,5.3,public,
2005 APR,5.3,public,
2005 MAY,5.7,public,
2005 JUN,5.2,public,
2005 JUL,5.6,public,
2005 AUG,6.1,public,
2005 SEP,5.2,public,
2005 OCT,5.2,public,
2005 NOV,5.2,public,
2005 DEC,4.5,public,
2006 JAN,4.7,public,
2006 FEB,5.4,public,
2006 MAR,3.4,public,
2006 APR,3.7,public,
2006 MAY,3.4,public,
2006 JUN,3.7,public,
2006 JUL,3.5,public,
2006 AUG,2.9,public,
2006 SEP,2.8,public,
2006 OCT,2.9,public,
2006 NOV,2.7,public,
2006 DEC,3.2,public,
2007 JAN,3.6,public,
2007 FEB,2.6,public,
2007 MAR,3.6,public,
2007 APR,3.2,public,
2007 MAY,3.7,public,
2007 JUN,3.4,public,
2007 JUL,2.8,public,
2007 AUG,3.4,public,
2007 SEP,3.4,public,
2007 OCT,3.1,public,
2007 NOV,3.3,public,
2007 DEC,3.3,public,
2008 JAN,2.9,public,
2008 FEB,3.7,public,
2008 MAR,3.6,public,
2008 APR,4.2,public,
2008 MAY,3.3,public,
2008 JUN,2.7,public,
2008 JUL,4.2,public,
2008 AUG,3.7,public,
2008 SEP,3.8,public,
2008 OCT,3.7,public,
2008 NOV,3.7,public,
2008 DEC,3.2,public,
2009 JAN,3,public,
2009 FEB,3.1,public,
2009 MAR,2,public,
2009 APR,3,public,
2009 MAY,2.8,public,
2009 JUN,4,public,
2009 JUL,3.4,public,
2009 AUG,3.6,public,
2009 SEP,3.7,public,
2009 OCT,3.7,public,
2009 NOV,3.8,public,
2009 DEC,3.3,public,
2010 JAN,4,public,
2010 FEB,3.9,public,
2010 MAR,5.6,public,
2010 APR,3.4,public,
2010 MAY,4.3,public,
2010 JUN,3.2,public,
2010 JUL,2.7,public,
2010 AUG,2.7,public,
2010 SEP,2.7,public,
2010 OCT,2.9,public,
2010 NOV,2.8,public,
2010 DEC,3.8,public,
2011 JAN,3.6,public,
2011 FEB,2.8,public,
2011 MAR,2.7,public,
2011 APR,2.7,public,
2011 MAY,2.2,public,
2011 JUN,3.5,public,
2011 JUL,3.6,public,
2011 AUG,2.3,public,
2011 SEP,2,public,
2011 OCT,1.9,public,
2011 NOV,1.7,public,
2011 DEC,1.3,public,
2012 JAN,0.7,public,
2012 FEB,1.3,public,
2012 MAR,0.9,public,
2012 APR,1.4,public,
2012 MAY,1.7,public,
2012 JUN,0.9,public,
2012 JUL,1,public,
2012 AUG,3.6,public,
2012 SEP,2.3,public,
2012 OCT,2,public,
2012 NOV,1.9,public,
2012 DEC,2,public,
2013 JAN,1.9,public,
2013 FEB,1,public,
2013 MAR,1.3,public,
2013 APR,1.4,public,
2013 MAY,1.4,public,
2013 JUN,-0.2,public,
2013 JUL,0.1,public,
2013 AUG,-1.5,public,
2013 SEP,-0.4,public,
2013 OCT,-0.1,public,
2013 NOV,-0.1,public,
2013 DEC,-0.1,public,
2014 JAN,-0.2,public,
2014 FEB,0.5,public,
2014 MAR,1.8,public,
2014 APR,0,public,
2014 MAY,-0.1,public,
2014 JUN,1.4,public,
2014 JUL,0.9,public,
2014 AUG,0.6,public,
2014 SEP,0.9,public,
2014 OCT,0.6,public,
2014 NOV,0.6,public,
2014 DEC,1,public,
2015 JAN,0.8,public,
2015 FEB,1,public,
2015 MAR,-0.8,public,
2015 APR,0.9,public,
2015 MAY,1.1,public,
2015 JUN,0.8,public,
2015 JUL,0.9,public,
2015 AUG,1.2,public,
2015 SEP,1.8,public,
2015 OCT,1.3,public,
2015 NOV,1.5,public,
2015 DEC,0.9,public,
2016 JAN,1.6,public,
2016 FEB,1.5,public,
2016 MAR,1.6,public,
2016 APR,1.9,public,
2016 MAY,1.4,public,
2016 JUN,2,public,
2016 JUL,1.3,public,
2016 AUG,2.1,public,
2016 SEP,1,public,
2016 OCT,1.4,public,
2016 NOV,1.4,public,
2016 DEC,1.6,public,
2017 JAN,1.2,public,
2017 FEB,1.1,public,
2017 MAR,1.4,public,
2017 APR,0.8,public,
2017 MAY,2,public,
2017 JUN,1.1,public,
2017 JUL,1.7,public,
2017 AUG,1.7,public,
2017 SEP,1.7,public,
2017 OCT,2.2,public,
2017 NOV,1.8,public,
2017 DEC,2,public,
2018 JAN,2.3,public,
2018 FEB,2.6,public,
2018 MAR,2.2,public,
2018 APR,2.4,public,
2018 MAY,1.7,public,
2018 JUN,2.5,public,
2018 JUL,3,public,
2018 AUG,2.8,public,
2018 SEP,2.7,public,
2018 OCT,2.7,public,
2018 NOV,2.9,public,
2018 DEC,2.8,public,
2019 JAN,2.7,public,
2019 FEB,2.3,public,
2019 MAR,2.6,public,
2019 APR,4.5,public,
2019 MAY,3.8,public,
2019 JUN,3.8,public,
2019 JUL,3.8,public,
2019 AUG,2.8,public,
2019 SEP,3.4,public,
2019 OCT,3.2,public,
2019 NOV,3.3,public,
2019 DEC,3.3,public,
2020 JAN,3,public,
2020 FEB,3.5,public,
2020 MAR,3.3,public,
2020 APR,3,public,
2020 MAY,4.7,public,
2020 JUN,4.6,public,
2020 JUL,3.1,public,
2020 AUG,3.9,public,
2020 SEP,4.5,public,
2020 OCT,4,public,
2020 NOV,4.5,public,
2020 DEC,4.5,public,
2021 JAN,5.3,public,
2021 FEB,5.7,public,
2021 MAR,5.4,public,
2021 APR,3.7,public,
2021 MAY,2.8,public,
2021 JUN,2.1,public,
2021 JUL,3,public,
2021 AUG,2.8,public,
2021 SEP,2.4,public,
2021 OCT,2.9,public,
2021 NOV,2.4,public,
2021 DEC,2.5,public,
2022 JAN,1.9,public,
2022 FEB,1.3,public,
2022 MAR,1.5,public,
2022 APR,1.6,public,
2022 MAY,1.4,public,
2022 JUN,2.3,public,
2022 JUL,2.3,public,
2022 AUG,2.6,public,
2022 SEP,2.1,public,
2001 JAN,6.1,private,
2001 FEB,9.6,private,
2001 MAR,4.9,private,
2001 APR,5.8,private,
2001 MAY,4.7,private,
2001 JUN,5.8,private,
2001 JUL,4.7,private,
2001 AUG,4.7,private,
2001 SEP,4.1,private,
2001 OCT,4.4,private,
2001 NOV,4.2,private,
2001 DEC,2.8,private,
2002 JAN,3.4,private,
2002 FEB,2.6,private,
2002 MAR,2.8,private,
2002 APR,3.2,private,
2002 MAY,3.7,private,
2002 JUN,3.7,private,
2002 JUL,3.8,private,
2002 AUG,3.3,private,
2002 SEP,3.2,private,
2002 OCT,2.6,private,
2002 NOV,2.5,private,
2002 DEC,1.8,private,
2003 JAN,2,private,
2003 FEB,1.7,private,
2003 MAR,4.3,private,
2003 APR,2.6,private,
2003 MAY,2.6,private,
2003 JUN,2,private,
2003 JUL,2.2,private,
2003 AUG,2.4,private,
2003 SEP,3,private,
2003 OCT,3.6,private,
2003 NOV,3.4,private,
2003 DEC,3.8,private,
2004 JAN,4.2,private,
2004 FEB,3,private,
2004 MAR,3.7,private,
2004 APR,4.1,private,
2004 MAY,4.3,private,
2004 JUN,4.2,private,
2004 JUL,4.6,private,
2004 AUG,4.5,private,
2004 SEP,4.7,private,
2004 OCT,4.9,private,
2004 NOV,4.7,private,
2004 DEC,5,private,
2005 JAN,4.5,private,
2005 FEB,5.7,private,
2005 MAR,4.3,private,
2005 APR,3.9,private,
2005 MAY,3.7,private,
2005 JUN,4.2,private,
2005 JUL,4.4,private,
2005 AUG,5,private,
2005 SEP,4.6,private,
2005 OCT,4,private,
2005 NOV,4.6,private,
2005 DEC,4.1,private,
2006 JAN,3.4,private,
2006 FEB,5.8,private,
2006 MAR,5.8,private,
2006 APR,5.3,private,
2006 MAY,5.2,private,
2006 JUN,6,private,
2006 JUL,4.9,private,
2006 AUG,4,private,
2006 SEP,4,private,
2006 OCT,4.8,private,
2006 NOV,4.7,private,
2006 DEC,6.5,private,
2007 JAN,7.2,private,
2007 FEB,7.9,private,
2007 MAR,4.6,private,
2007 APR,4.7,private,
2007 MAY,5,private,
2007 JUN,4.5,private,
2007 JUL,5.3,private,
2007 AUG,5.6,private,
2007 SEP,6.1,private,
2007 OCT,4.6,private,
2007 NOV,5.1,private,
2007 DEC,3.2,private,
2008 JAN,4,private,
2008 FEB,4.1,private,
2008 MAR,5.3,private,
2008 APR,4.7,private,
2008 MAY,4.5,private,
2008 JUN,3.7,private,
2008 JUL,3.1,private,
2008 AUG,2.9,private,
2008 SEP,2.4,private,
2008 OCT,3.3,private,
2008 NOV,2.1,private,
2008 DEC,2.4,private,
2009 JAN,1.2,private,
2009 FEB,-5.2,private,
2009 MAR,-6.4,private,
2009 APR,0.9,private,
2009 MAY,0,private,
2009 JUN,0.1,private,
2009 JUL,-0.4,private,
2009 AUG,-0.3,private,
2009 SEP,-0.6,private,
2009 OCT,-0.7,private,
2009 NOV,-0.5,private,
2009 DEC,-0.3,private,
2010 JAN,-0.1,private,
2010 FEB,5.9,private,
2010 MAR,7.3,private,
2010 APR,-0.4,private,
2010 MAY,0.8,private,
2010 JUN,0,private,
2010 JUL,1.4,private,
2010 AUG,1.7,private,
2010 SEP,2,private,
2010 OCT,1.8,private,
2010 NOV,1.9,private,
2010 DEC,1.1,private,
2011 JAN,4.7,private,
2011 FEB,1.1,private,
2011 MAR,2.4,private,
2011 APR,2.2,private,
2011 MAY,2.2,private,
2011 JUN,3.3,private,
2011 JUL,2.7,private,
2011 AUG,1.9,private,
2011 SEP,1.7,private,
2011 OCT,2.1,private,
2011 NOV,2.1,private,
2011 DEC,2.3,private,
2012 JAN,-0.4,private,
2012 FEB,0.8,private,
2012 MAR,1,private,
2012 APR,2.3,private,
2012 MAY,1.7,private,
2012 JUN,1.6,private,
2012 JUL,1.7,private,
2012 AUG,2,private,
2012 SEP,1.7,private,
2012 OCT,1.1,private,
2012 NOV,1.4,private,
2012 DEC,1.1,private,
2013 JAN,0.9,private,
2013 FEB,1.3,private,
2013 MAR,-0.6,private,
2013 APR,4.2,private,
2013 MAY,1.9,private,
2013 JUN,1.3,private,
2013 JUL,0.8,private,
2013 AUG,1,private,
2013 SEP,1.1,private,
2013 OCT,1.3,private,
2013 NOV,0.9,private,
2013 DEC,1.9,private,
2014 JAN,1.8,private,
2014 FEB,2.4,private,
2014 MAR,1.2,private,
2014 APR,-1.7,private,
2014 MAY,0.5,private,
2014 JUN,1.5,private,
2014 JUL,0.4,private,
2014 AUG,0.9,private,
2014 SEP,1.8,private,
2014 OCT,2.3,private,
2014 NOV,2.2,private,
2014 DEC,2.7,private,
2015 JAN,1.7,private,
2015 FEB,1.6,private,
2015 MAR,5.2,private,
2015 APR,3,private,
2015 MAY,3.1,private,
2015 JUN,2.5,private,
2015 JUL,4.2,private,
2015 AUG,3.6,private,
2015 SEP,2.2,private,
2015 OCT,2,private,
2015 NOV,2.2,private,
2015 DEC,2,private,
2016 JAN,3.2,private,
2016 FEB,1.6,private,
2016 MAR,2.7,private,
2016 APR,2.7,private,
2016 MAY,2.6,private,
2016 JUN,2.5,private,
2016 JUL,2.8,private,
2016 AUG,2.1,private,
2016 SEP,2.8,private,
2016 OCT,3,private,
2016 NOV,3.2,private,
2016 DEC,1.9,private,
2017 JAN,1.8,private,
2017 FEB,3.1,private,
2017 MAR,2.4,private,
2017 APR,2,private,
2017 MAY,2.1,private,
2017 JUN,3.4,private,
2017 JUL,1.6,private,
2017 AUG,2.6,private,
2017 SEP,3.1,private,
2017 OCT,2.4,private,
2017 NOV,2.4,private,
2017 DEC,3.4,private,
2018 JAN,2.7,private,
2018 FEB,2.7,private,
2018 MAR,3.5,private,
2018 APR,2.2,private,
2018 MAY,2.6,private,
2018 JUN,1.9,private,
2018 JUL,3.4,private,
2018 AUG,3.4,private,
2018 SEP,2.8,private,
2018 OCT,4.5,private,
2018 NOV,3.2,private,
2018 DEC,3.3,private,
2019 JAN,3.9,private,
2019 FEB,3.8,private,
2019 MAR,2.6,private,
2019 APR,3.8,private,
2019 MAY,3.9,private,
2019 JUN,3.9,private,
2019 JUL,4.1,private,
2019 AUG,3.7,private,
2019 SEP,4,private,
2019 OCT,2.1,private,
2019 NOV,3.1,private,
2019 DEC,2.5,private,
2020 JAN,3,private,
2020 FEB,2.6,private,
2020 MAR,1.2,private,
2020 APR,-2.1,private,
2020 MAY,-2.7,private,
2020 JUN,-2.7,private,
2020 JUL,-0.9,private,
2020 AUG,1.4,private,
2020 SEP,2,private,
2020 OCT,3.7,private,
2020 NOV,5.2,private,
2020 DEC,4.6,private,
2021 JAN,4.4,private,
2021 FEB,3.9,private,
2021 MAR,3.1,private,
2021 APR,10.3,private,
2021 MAY,11.2,private,
2021 JUN,10.1,private,
2021 JUL,8.4,private,
2021 AUG,6.5,private,
2021 SEP,5.7,private,
2021 OCT,4.7,private,
2021 NOV,3.8,private,
2021 DEC,6.6,private,
2022 JAN,6,private,
2022 FEB,6.8,private,
2022 MAR,11.5,private,
2022 APR,5.8,private,
2022 MAY,5,private,
2022 JUN,7.3,private,
2022 JUL,6.6,private,
2022 AUG,6.8,private,
2022 SEP,7,private,
,,,
,,,
,,,
,,,
,,,
