Date,GRA Purchases,PRGT 1/2/,Totals,year,gdp_bill_curr_wb,World_GDPbillcurr_IMF,avdailyer,adjtotaldoll
08/31/2022,93769635059,15254184552,1.09E+11,2022,,103867.109,1.349321217,1.47E+11
12/31/2021,89474552025,14554823681,1.04E+11,2021,96100.091,96292.574,1.424866281,1.48E+11
12/31/2020,93408630285,12481816684,1.06E+11,2020,84906.81419,85238.623,1.392123673,1.47E+11
12/31/2019,66945509865,6590835450,73536345315,2019,87652.86322,87536.338,1.381668353,1.02E+11
12/31/2018,55395611392,6426181029,61821792421,2018,86413.03278,86084.955,1.416322329,8.76E+10
12/31/2017,39585385873,6522280669,46107666542,2017,81403.97743,80945.405,1.386913574,6.39E+10
12/31/2016,49267630851,6482647937,55750278788,2016,76465.59001,76267.375,1.390464223,7.75E+10
12/31/2015,50757840741,6575911158,57333751899,2015,75179.26627,75042.63,1.39885924,8.02E+10
12/31/2014,69041563463,6292755583,75334319046,2014,79708.81224,79321.72,1.52021884,1.15E+11
12/31/2013,83899249061,6174392682,90073641743,2013,77607.19847,77290.82,1.519468795,1.37E+11
12/31/2012,90042348252,5766292503,95808640755,2012,75488.06418,75116.959,1.531456586,1.47E+11
12/31/2011,87276915790,5308609594,92585525384,2011,73853.78405,73747.749,1.579411434,1.46E+11
12/31/2010,55620104510,4819344134,60439448644,2010,66596.05101,66435.818,1.525423294,9.22E+10
12/31/2009,37221142436,5079705286,42300847722,2009,60809.11183,60731.151,1.541954865,6.52E+10
12/31/2008,17514964723,3972372030,21487336753,2008,64123.70427,64108.44,1.581297346,3.40E+10
12/31/2007,6036146757,3796945581,9833092338,2007,58355.01509,58443.072,1.530852124,1.51E+10
12/31/2006,9822640239,3844020520,13666660759,2006,51779.84559,51762.962,1.471508958,2.01E+10
12/31/2005,28432143237,6282121668,34714264905,2005,47779.71479,47792.249,1.477148885,5.13E+10
12/31/2004,55373766674,6766029353,62139796027,2004,44117.60113,44116.922,1.481476,9.21E+10
12/31/2003,65032062712,6880893268,71912955980,2003,39146.98839,39193.343,1.401151158,1.01E+11
12/31/2002,63601058794,6868671012,70469729806,2002,34911.42705,34900.086,1.295600766,9.13E+10
12/31/2001,53477225409,6424578684,59901804093,2001,33615.43597,33788.307,1.273030731,7.63E+10
12/31/2000,42990531049,6331595468,49322126517,2000,33830.8788,34039.874,1.318870309,6.50E+10
12/31/1999,51061861875,6434274362,57496136237,1999,32737.37497,32949.687,1.367068,7.86E+10
12/31/1998,60451017051,6288825925,66739842976,1998,31539.9579,31824.477,1.356661167,9.05E+10
12/31/1997,46559033783,6009867422,52568901205,1997,31620.44366,31979.647,1.376181124,7.23E+10
12/31/1996,36127472805,5881609752,42009082557,1996,31736.66005,32068.872,1.451785598,6.10E+10
12/31/1995,35929173412,5657438528,41586611940,1995,31043.64788,31199.71,1.517925194,6.31E+10
12/31/1994,25611676952,4599768498,30211445450,1994,27872.25513,27985.29,1.432420734,4.33E+10
12/31/1993,25196745031,3942792899,29139537930,1993,25821.97892,26039.542,1.396478571,4.07E+10
12/31/1992,23967172718,3804463796,27771636514,1992,25406.10611,25328.261,1.409021077,3.91E+10
12/31/1991,23378573926,3285717796,26664291722,1991,23759.57245,24492.481,1.368130155,3.65E+10
12/31/1990,20731851093,2571911617,23303762710,1990,22779.97868,23654.018,1.357761506,3.16E+10
12/31/1989,22315104224,2334886562,24649990786,1989,20194.0038,20122.142,1.281635483,3.16E+10
12/31/1988,24750004884,1773964293,26523969177,1988,19337.99747,19125.335,1.34399166,3.56E+10
12/31/1987,28751979125,1866342930,30618322055,1987,17307.238,17008.945,1.293769344,3.96E+10
12/31/1986,33334905644,2013169931,35348075575,1986,15205.31553,14771.979,1.174110541,4.15E+10
12/31/1985,35194787249,2470247948,37665035197,1985,12860.09446,12523.328,1.016533749,3.83E+10
12/31/1984,34936772393,2769874900,37706647293,1984,12269.79237,11997.41,1.025297287,3.87E+10
,,,,,,,,
,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,
,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,
