,Wk,Rk,School,Chng,Conf
0,8,1,Georgia (7-0),,SEC (East)
1,8,2,Ohio State (6-0),,Big Ten (East)
2,8,3,Tennessee (6-0),3,SEC (East)
3,8,4,Michigan (7-0),1,Big Ten (East)
4,8,5,Clemson (7-0),1,ACC (Atlantic)
5,8,6,Alabama (6-1),3,SEC (West)
6,8,7,Ole Miss (7-0),2,SEC (West)
7,8,8,Texas Christian (6-0),5,Big 12
8,8,9,UCLA (6-0),2,Pac-12
9,8,10,Oregon (5-1),2,Pac-12
10,8,11,Oklahoma State (5-1),3,Big 12
11,8,12,USC (6-1),5,Pac-12
12,8,13,Wake Forest (5-1),1,ACC (Atlantic)
13,8,14,Syracuse (6-0),4,ACC (Atlantic)
14,8,15,Utah (5-2),5,Pac-12
15,8,16,Penn State (5-1),6,Big Ten (East)
16,8,17,Kansas State (5-1),,Big 12
17,8,18,Illinois (6-1),6,Big Ten (West)
18,8,19,Kentucky (5-2),3,SEC (East)
19,8,20,Texas (5-2),2,Big 12
20,8,21,Cincinnati (5-1),,American
21,8,22,North Carolina (6-1),,ACC (Coastal)
22,8,23,North Carolina State (5-2),8,ACC (Atlantic)
23,8,24,Mississippi State (5-2),8,SEC (West)
24,8,25,Tulane (6-1),,American
25,Wk,Rk,School,Chng,Conf
26,7,1,Georgia (6-0),1,SEC (East)
27,7,2,Ohio State (6-0),1,Big Ten (East)
28,7,3,Alabama (6-0),2,SEC (West)
29,7,4,Clemson (6-0),1,ACC (Atlantic)
30,7,5,Michigan (6-0),1,Big Ten (East)
31,7,6,Tennessee (5-0),2,SEC (East)
32,7,7,USC (6-0),1,Pac-12
33,7,8,Oklahoma State (5-0),1,Big 12
34,7,9,Ole Miss (6-0),,SEC (West)
35,7,10,Penn State (5-0),,Big Ten (East)
36,7,11,UCLA (6-0),7,Pac-12
37,7,12,Oregon (5-1),,Pac-12
38,7,13,Texas Christian (5-0),4,Big 12
39,7,14,Wake Forest (5-1),1,ACC (Atlantic)
40,7,15,North Carolina State (5-1),1,ACC (Atlantic)
41,7,16,Mississippi State (5-1),7,SEC (West)
42,7,17,Kansas State (5-1),3,Big 12
43,7,18,Syracuse (5-0),4,ACC (Atlantic)
44,7,19,Kansas (5-1),,Big 12
45,7,20,Utah (4-2),9,Pac-12
46,7,21,Cincinnati (5-1),3,American
47,7,22,Kentucky (4-2),9,SEC (East)
48,7,22,Texas (4-2),,Big 12
49,7,24,Illinois (5-1),,Big Ten (West)
50,7,25,James Madison (5-0),,Sun Belt (East)
51,Wk,Rk,School,Chng,Conf
52,6,1,Alabama (5-0),1,SEC (West)
53,6,2,Georgia (5-0),1,SEC (East)
54,6,3,Ohio State (5-0),,Big Ten (East)
55,6,4,Michigan (5-0),,Big Ten (East)
56,6,5,Clemson (5-0),,ACC (Atlantic)
57,6,6,USC (5-0),,Pac-12
58,6,7,Oklahoma State (4-0),2,Big 12
59,6,8,Tennessee (4-0),,SEC (East)
60,6,9,Ole Miss (5-0),5,SEC (West)
61,6,10,Penn State (5-0),1,Big Ten (East)
62,6,11,Utah (4-1),1,Pac-12
63,6,12,Oregon (4-1),1,Pac-12
64,6,13,Kentucky (4-1),6,SEC (East)
65,6,14,North Carolina State (4-1),4,ACC (Atlantic)
66,6,15,Wake Forest (4-1),7,ACC (Atlantic)
67,6,16,BYU (4-1),3,Ind
68,6,17,Texas Christian (4-0),,Big 12
69,6,18,UCLA (5-0),,Pac-12
70,6,19,Kansas (5-0),,Big 12
71,6,20,Kansas State (4-1),5,Big 12
72,6,21,Washington (4-1),6,Pac-12
73,6,22,Syracuse (5-0),,ACC (Atlantic)
74,6,23,Mississippi State (4-1),,SEC (West)
75,6,24,Cincinnati (4-1),,American
76,6,25,LSU (4-1),,SEC (West)
77,Wk,Rk,School,Chng,Conf
78,5,1,Georgia (4-0),,SEC (East)
79,5,2,Alabama (4-0),,SEC (West)
80,5,3,Ohio State (4-0),,Big Ten (East)
81,5,4,Michigan (4-0),,Big Ten (East)
82,5,5,Clemson (4-0),,ACC (Atlantic)
83,5,6,USC (4-0),1,Pac-12
84,5,7,Kentucky (4-0),1,SEC (East)
85,5,8,Tennessee (4-0),3,SEC (East)
86,5,9,Oklahoma State (3-0),,Big 12
87,5,10,North Carolina State (4-0),2,ACC (Atlantic)
88,5,11,Penn State (4-0),3,Big Ten (East)
89,5,12,Utah (3-1),1,Pac-12
90,5,13,Oregon (3-1),2,Pac-12
91,5,14,Ole Miss (4-0),2,SEC (West)
92,5,15,Washington (4-0),3,Pac-12
93,5,16,Baylor (3-1),1,Big 12
94,5,17,Texas A&M (3-1),6,SEC (West)
95,5,18,Oklahoma (3-1),12,Big 12
96,5,19,BYU (3-1),,Ind
97,5,20,Arkansas (3-1),10,SEC (West)
98,5,21,Minnesota (4-0),,Big Ten (West)
99,5,22,Wake Forest (3-1),1,ACC (Atlantic)
100,5,23,Florida State (4-0),,ACC (Atlantic)
101,5,24,Pitt (3-1),,ACC (Coastal)
102,5,25,Kansas State (3-1),,Big 12
103,Wk,Rk,School,Chng,Conf
104,4,1,Georgia (3-0),,SEC (East)
105,4,2,Alabama (3-0),,SEC (West)
106,4,3,Ohio State (3-0),,Big Ten (East)
107,4,4,Michigan (3-0),,Big Ten (East)
108,4,5,Clemson (3-0),,ACC (Atlantic)
109,4,6,Oklahoma (3-0),,Big 12
110,4,7,USC (3-0),,Pac-12
111,4,8,Kentucky (3-0),1,SEC (East)
112,4,9,Oklahoma State (3-0),1,Big 12
113,4,10,Arkansas (3-0),,SEC (West)
114,4,11,Tennessee (3-0),4,SEC (East)
115,4,12,North Carolina State (3-0),4,ACC (Atlantic)
116,4,13,Utah (2-1),1,Pac-12
117,4,14,Penn State (3-0),8,Big Ten (East)
118,4,15,Oregon (2-1),10,Pac-12
119,4,16,Ole Miss (3-0),4,SEC (West)
120,4,17,Baylor (2-1),,Big 12
121,4,18,Washington (3-0),,Pac-12
122,4,19,BYU (2-1),7,Ind
123,4,20,Florida (2-1),2,SEC (East)
124,4,21,Wake Forest (3-0),2,ACC (Atlantic)
125,4,22,Texas (2-1),1,Big 12
126,4,23,Texas A&M (2-1),1,SEC (West)
127,4,24,Pitt (2-1),1,ACC (Coastal)
128,4,25,Miami (FL) (2-1),12,ACC (Coastal)
129,Wk,Rk,School,Chng,Conf
130,3,1,Georgia (2-0),1,SEC (East)
131,3,2,Alabama (2-0),1,SEC (West)
132,3,3,Ohio State (2-0),,Big Ten (East)
133,3,4,Michigan (2-0),,Big Ten (East)
134,3,5,Clemson (2-0),,ACC (Atlantic)
135,3,6,Oklahoma (2-0),1,Big 12
136,3,7,USC (2-0),3,Pac-12
137,3,8,Oklahoma State (2-0),3,Big 12
138,3,9,Kentucky (2-0),11,SEC (East)
139,3,10,Arkansas (2-0),6,SEC (West)
140,3,11,Michigan State (2-0),3,Big Ten (East)
141,3,12,BYU (2-0),9,Ind
142,3,13,Miami (FL) (2-0),2,ACC (Coastal)
143,3,14,Utah (1-1),1,Pac-12
144,3,15,Tennessee (2-0),9,SEC (East)
145,3,16,North Carolina State (2-0),2,ACC (Atlantic)
146,3,17,Baylor (1-1),8,Big 12
147,3,18,Florida (1-1),6,SEC (East)
148,3,19,Wake Forest (2-0),4,ACC (Atlantic)
149,3,20,Ole Miss (2-0),2,SEC (West)
150,3,21,Texas (1-1),,Big 12
151,3,22,Penn State (2-0),,Big Ten (East)
152,3,23,Pitt (1-1),6,ACC (Coastal)
153,3,24,Texas A&M (1-1),18,SEC (West)
154,3,25,Oregon (1-1),,Pac-12
155,Wk,Rk,School,Chng,Conf
156,2,1,Alabama (1-0),,SEC (West)
157,2,2,Georgia (1-0),1,SEC (East)
158,2,3,Ohio State (1-0),1,Big Ten (East)
159,2,4,Michigan (1-0),4,Big Ten (East)
160,2,5,Clemson (1-0),1,ACC (Atlantic)
161,2,6,Texas A&M (1-0),,SEC (West)
162,2,7,Oklahoma (1-0),2,Big 12
163,2,8,Notre Dame (0-1),3,Ind
164,2,9,Baylor (1-0),1,Big 12
165,2,10,USC (1-0),4,Pac-12
166,2,11,Oklahoma State (1-0),1,Big 12
167,2,12,Florida (1-0),,SEC (East)
168,2,13,Utah (0-1),6,Pac-12
169,2,14,Michigan State (1-0),1,Big Ten (East)
170,2,15,Miami (FL) (1-0),1,ACC (Coastal)
171,2,16,Arkansas (1-0),3,SEC (West)
172,2,17,Pitt (1-0),,ACC (Coastal)
173,2,18,North Carolina State (1-0),5,ACC (Atlantic)
174,2,19,Wisconsin (1-0),1,Big Ten (West)
175,2,20,Kentucky (1-0),,SEC (East)
176,2,21,BYU (1-0),4,Ind
177,2,22,Ole Miss (1-0),1,SEC (West)
178,2,23,Wake Forest (1-0),1,ACC (Atlantic)
179,2,24,Tennessee (1-0),,SEC (East)
180,2,25,Houston (1-0),1,American
181,Wk,Rk,School,Chng,Conf
182,1,1,Alabama,—,SEC (West)
183,1,2,Ohio State,—,Big Ten (East)
184,1,3,Georgia,—,SEC (East)
185,1,4,Clemson,—,ACC (Atlantic)
186,1,5,Notre Dame,—,Ind
187,1,6,Texas A&M,—,SEC (West)
188,1,7,Utah,—,Pac-12
189,1,8,Michigan,—,Big Ten (East)
190,1,9,Oklahoma,—,Big 12
191,1,10,Baylor,—,Big 12
192,1,11,Oregon,—,Pac-12
193,1,12,Oklahoma State,—,Big 12
194,1,13,North Carolina State,—,ACC (Atlantic)
195,1,14,USC,—,Pac-12
196,1,15,Michigan State,—,Big Ten (East)
197,1,16,Miami (FL),—,ACC (Coastal)
198,1,17,Pitt,—,ACC (Coastal)
199,1,18,Wisconsin,—,Big Ten (West)
200,1,19,Arkansas,—,SEC (West)
201,1,20,Kentucky,—,SEC (East)
202,1,21,Ole Miss,—,SEC (West)
203,1,22,Wake Forest,—,ACC (Atlantic)
204,1,23,Cincinnati,—,American
205,1,24,Houston,—,American
206,1,25,BYU,—,Ind
