SurveyYear,TotalUndergraduates,ParticipantsMensTeam,ParticipantsWomensTeam,ParticipantsMenCoedTeam,ParticipantsWomenCoedTeam,TotalParticipantsMensTeamMenCoedTeam,TotalParticipantsWomensTeamWomenCoedTeam,OperatingExpensesperParticipantMensTeam,OperatingExpensesperTeamMensTeam,OperatingExpensesperParticipantWomensTeam,OperatingExpensesperTeamWomensTeam,TotalOperatingExpensesMensTeamandWomensTeam,OperatingExpensesperParticipantMenCoedTeam,OperatingExpensesperTeamMenCoedTeam,OperatingExpensesperParticipantWomenCoedTeam,OperatingExpensesperTeamWomenCoedTeam,TotalOperatingExpensesMenCoedTeamWomenCoedTeam,RevenuesMensTeam,RevenuesWomensTeam,TotalRevenuesForMensTeamandWomensTeam,RevenuesMenCoedTeam,RevenuesWomenCoedTeam,TotalRevenuesMenCoedTeamWomenCoedTeam,TotalRevenuesMensTeamandMenCoedTeam,TotalRevenuesWomensTeamandWomenCoedTeam,TotalRevenuesMensTeamWomensTeamandCoedTeam,ExpensesMensTeam,ExpensesWomensTeam,TotalExpensesMensTeamandWomensTeam,ExpensesMenCoedTeam,ExpensesWomenCoedTeam,TotalExpensesMenCoedTeamandWomenCoedTeam,TotalExpensesMensTeamandMenCoedTeam,TotalExpensesWomensTeamandWomenCoedTeam,TotalExpensesMensTeamWomensTeamandCoedTeam
2003,4061.3238213399504,15.711970074812967,13.982670089858793,,,15.62430254184749,13.505889646621203,5874.5517668939865,88157.59950402976,4416.306881587105,61571.401735895844,149729.0012399256,,,,,,520063.8339575531,164914.73116219667,676626.6156230626,,,,516517.21140731557,160109.40421574705,676626.6156230626,395018.4054897068,273355.9411764706,659224.0217661691,,,,392569.4383137012,265051.8859268444,657180.5499070056
2004,4123.341176470588,15.865876481597006,14.060063897763579,13.0,16.0,15.746287128712872,13.626237623762377,6432.434674922601,97659.34489164087,4842.911455108359,67742.65510835913,165402.0,1781.689655,23161.96552,1781.689655,28507.03448,51669.0,577113.4210854648,208875.51693290734,775234.054489164,39528.06897,48649.93103,88178.0,572495.2611813119,202313.63485829206,774808.896039604,433077.8533998752,301858.7450479233,724269.8732919254,125948.0345,155012.9655,280961.0,429671.8731649134,292428.1862410272,721754.614480198
2005,4157.869646182496,15.818352059925093,13.966730646193218,10.0,8.0,15.706939281288724,13.530359355638167,7011.319702602231,106131.01301115242,5260.982032218091,73111.85625774473,179242.86926889716,227.7777778,2277.777778,227.7777778,1822.222222,4100.0,630450.5892634207,237559.8816378759,855816.5669144981,291.6666667,233.3333333,525.0,625763.4049979368,230053.48719537174,855816.8921933086,507922.55305867665,349201.93282149715,844598.3679303916,1958.333333,1566.666667,3525.0,504147.3905410967,338168.64167699503,841984.0762081784
2006,4436.411330049261,15.871268656716419,14.08502538071066,,,15.714901477832512,13.66871921182266,7849.064655172414,119153.04987684729,5945.7567733990145,83130.47229064039,202283.52216748768,,,,,,680570.1262437811,255382.15609137056,922186.5317313616,,,,673865.0018472907,247833.91502463055,921618.6828817734,535990.3215174129,366173.4555837563,886060.2235221675,,,,530709.6286945813,355350.5948275862,886060.2235221675
2007,4274.827420324715,16.003667481662593,14.103598014888338,,,15.743836440168371,13.67107636800962,8281.408899579073,124975.50932050511,5971.549609140108,83541.20986169574,208516.71918220085,,,,,,746471.1821515892,293032.9609181142,1018398.0679494889,,,,734351.6861094408,284046.3818400481,1018398.0679494889,587562.3569682152,390847.0800248139,956883.6494287433,,,,578022.8598917619,378860.7895369814,956883.6494287433
2008,4219.584826762246,15.975151515151515,14.320273631840797,,,15.746117084826762,13.755675029868579,8835.201911589009,133984.96535244922,6292.490442054958,90180.85483870968,224165.8201911589,,,,,,794000.1563636364,319437.7555970149,1089460.0770609318,,,,782616.6415770609,306843.43548387097,1089460.0770609318,624697.4442424242,420015.3221393035,1019196.7867383512,,,,615741.2084826762,403455.57825567503,1019196.7867383512
2009,4394.904818560381,16.099153567110037,14.524691358024691,,,15.840571088637716,13.997620464009518,8356.030933967877,127346.21296847115,5970.5306365258775,86679.28256989887,214025.49553837,,,,,,856863.0133010882,348842.23580246913,1179283.6680547292,,,,843100.1927424152,336183.4753123141,1179283.6680547292,653898.492140266,429390.1259259259,1057204.1106484237,,,,643395.6609161213,413808.4497323022,1057204.1106484237
2010,4496.089508002371,16.233594220349186,14.673017824216348,,,15.983402489626556,14.151155898043864,8900.078838174273,136268.24184943686,6187.139893301719,91600.52163604031,227868.7634854772,,,,,,892058.730885009,369315.0577750461,1234490.3088322466,,,,878310.3449911085,356179.9638411381,1234490.3088322466,692031.2305839856,455520.3601720959,1120684.9436870185,,,,681365.6633076468,439319.28037937166,1120684.9436870185
2011,4501.945529899349,16.359591100420925,14.793272171253822,,,16.10775606867969,14.320307874481943,9837.44819419775,150203.522794553,6449.2190645352275,97013.8804026051,247217.40319715807,,,,,,952805.4233313289,405275.9204892966,1330456.808170515,,,,938138.199526347,392318.6086441681,1330456.808170515,755834.7378232111,486439.11131498474,1215086.5103611604,,,,744199.6264061575,470886.88395500294,1215086.5103611604
2012,4454.1341965862275,16.402031063321385,14.97992700729927,,,16.160682754561506,14.494997057092407,10366.815773984697,159903.8599175986,6682.426133019423,102996.34549735139,262900.20541495,,,,,,996502.5005973716,433704.04257907544,1401503.6091818716,,,,981839.4267216009,419664.18246027076,1401503.6091818716,786171.1260454003,506275.6155717762,1264489.4508534432,,,,774602.9811653914,489886.4696880518,1264489.4508534432
