,stat,variable,Val
0,count,SurveyYear,30150.0
1,count,UNITID,30150.0
2,count,ClassificationName,30150.0
3,count,SanctionCode,30150.0
4,count,MaleUndergraduates,30145.0
5,count,FemaleUndergraduates,30145.0
6,count,TotalUndergraduates,30145.0
7,count,SportCode,30150.0
8,count,ParticipantsMensTeam,29783.0
9,count,ParticipantsWomensTeam,29190.0
10,count,ParticipantsMenCoedTeam,2.0
11,count,ParticipantsWomenCoedTeam,2.0
12,count,TotalParticipantsMensTeamMenCoedTeam,30150.0
13,count,TotalParticipantsWomensTeamWomenCoedTeam,30150.0
14,count,OperatingExpensesperParticipantMensTeam,30149.0
15,count,OperatingExpensesperTeamMensTeam,30149.0
16,count,OperatingExpensesperParticipantWomensTeam,30149.0
17,count,OperatingExpensesperTeamWomensTeam,30149.0
18,count,TotalOperatingExpensesMensTeamandWomensTeam,30149.0
19,count,OperatingExpensesperParticipantMenCoedTeam,2.0
20,count,OperatingExpensesperTeamMenCoedTeam,2.0
21,count,OperatingExpensesperParticipantWomenCoedTeam,2.0
22,count,OperatingExpensesperTeamWomenCoedTeam,2.0
23,count,TotalOperatingExpensesMenCoedTeamWomenCoedTeam,2.0
24,count,RevenuesMensTeam,29781.0
25,count,RevenuesWomensTeam,29198.0
26,count,TotalRevenuesForMensTeamandWomensTeam,30148.0
27,count,RevenuesMenCoedTeam,2.0
28,count,RevenuesWomenCoedTeam,2.0
29,count,TotalRevenuesMenCoedTeamWomenCoedTeam,2.0
30,count,TotalRevenuesMensTeamandMenCoedTeam,30150.0
31,count,TotalRevenuesWomensTeamandWomenCoedTeam,30150.0
32,count,TotalRevenuesMensTeamWomensTeamandCoedTeam,30150.0
33,count,ExpensesMensTeam,29782.0
34,count,ExpensesWomensTeam,29196.0
35,count,TotalExpensesMensTeamandWomensTeam,30134.0
36,count,ExpensesMenCoedTeam,2.0
37,count,ExpensesWomenCoedTeam,2.0
38,count,TotalExpensesMenCoedTeamandWomenCoedTeam,2.0
39,count,TotalExpensesMensTeamandMenCoedTeam,30150.0
40,count,TotalExpensesWomensTeamandWomenCoedTeam,30150.0
41,count,TotalExpensesMensTeamWomensTeamandCoedTeam,30150.0
42,count,UGratioBG,30140.0
43,mean,SurveyYear,2011.5675290215588
44,mean,UNITID,181190.84932006634
45,mean,ClassificationName,7.534029850746268
46,mean,SanctionCode,2.1154560530679936
47,mean,MaleUndergraduates,1992.2285619505722
48,mean,FemaleUndergraduates,2357.5371703433407
49,mean,TotalUndergraduates,4349.765732293913
50,mean,SportCode,2.0
51,mean,ParticipantsMensTeam,16.53530537554981
52,mean,ParticipantsWomensTeam,14.791092840013704
53,mean,ParticipantsMenCoedTeam,11.5
54,mean,ParticipantsWomenCoedTeam,12.0
55,mean,TotalParticipantsMensTeamMenCoedTeam,16.334792703150914
56,mean,TotalParticipantsWomensTeamWomenCoedTeam,14.320928689883914
57,mean,OperatingExpensesperParticipantMensTeam,9971.901091246807
58,mean,OperatingExpensesperTeamMensTeam,154612.36349464327
59,mean,OperatingExpensesperParticipantWomensTeam,6565.599621878006
60,mean,OperatingExpensesperTeamWomensTeam,100802.88802282
61,mean,TotalOperatingExpensesMensTeamandWomensTeam,255415.25151746327
62,mean,OperatingExpensesperParticipantMenCoedTeam,1004.7337163999999
63,mean,OperatingExpensesperTeamMenCoedTeam,12719.871649
64,mean,OperatingExpensesperParticipantWomenCoedTeam,1004.7337163999999
65,mean,OperatingExpensesperTeamWomenCoedTeam,15164.628351
66,mean,TotalOperatingExpensesMenCoedTeamWomenCoedTeam,27884.5
67,mean,RevenuesMensTeam,938787.0724623082
68,mean,RevenuesWomensTeam,400744.4294472224
69,mean,TotalRevenuesForMensTeamandWomensTeam,1315471.1210030515
70,mean,RevenuesMenCoedTeam,19909.86781835
71,mean,RevenuesWomenCoedTeam,24441.63218165
72,mean,TotalRevenuesMenCoedTeamWomenCoedTeam,44351.5
73,mean,TotalRevenuesMensTeamandMenCoedTeam,927298.7603560754
74,mean,TotalRevenuesWomensTeamandWomenCoedTeam,388092.3626621668
75,mean,TotalRevenuesMensTeamWomensTeamandCoedTeam,1315386.8012935324
76,mean,ExpensesMensTeam,768386.1708078706
77,mean,ExpensesWomensTeam,494224.5362378408
78,mean,TotalExpensesMensTeamandWomensTeam,1238191.1300856175
79,mean,ExpensesMenCoedTeam,63953.1839165
80,mean,ExpensesWomenCoedTeam,78289.8160835
81,mean,TotalExpensesMenCoedTeamandWomenCoedTeam,142243.0
82,mean,TotalExpensesMensTeamandMenCoedTeam,759011.7693322663
83,mean,TotalExpensesWomensTeamandWomenCoedTeam,478591.5800873025
84,mean,TotalExpensesMensTeamWomensTeamandCoedTeam,1237543.4825870646
85,mean,UGratioBG,1.1457817397972543
86,std,SurveyYear,5.142256422834555
87,std,UNITID,46990.805662383675
88,std,ClassificationName,6.5068988140253
89,std,SanctionCode,1.9018949674265146
90,std,MaleUndergraduates,2701.57053774202
91,std,FemaleUndergraduates,2931.581848950374
92,std,TotalUndergraduates,5578.909470440058
93,std,SportCode,0.0
94,std,ParticipantsMensTeam,5.402367013683373
95,std,ParticipantsWomensTeam,4.497543435279069
96,std,ParticipantsMenCoedTeam,2.1213203435596424
97,std,ParticipantsWomenCoedTeam,5.656854249492381
98,std,TotalParticipantsMensTeamMenCoedTeam,5.668278178323855
99,std,TotalParticipantsWomensTeamWomenCoedTeam,5.132709914679619
100,std,OperatingExpensesperParticipantMensTeam,22818.029055165
101,std,OperatingExpensesperTeamMensTeam,349472.87698286225
102,std,OperatingExpensesperParticipantWomensTeam,11812.80682675004
103,std,OperatingExpensesperTeamWomensTeam,190876.12194916556
104,std,TotalOperatingExpensesMensTeamandWomensTeam,528751.1588109394
105,std,OperatingExpensesperParticipantMenCoedTeam,1098.7816257344377
106,std,OperatingExpensesperTeamMenCoedTeam,14767.350771941174
107,std,OperatingExpensesperParticipantWomenCoedTeam,1098.7816257344377
108,std,OperatingExpensesperTeamWomenCoedTeam,18869.011702321706
109,std,TotalOperatingExpensesMenCoedTeamWomenCoedTeam,33636.36247426288
110,std,RevenuesMensTeam,2603782.276986101
111,std,RevenuesWomensTeam,660466.421942246
112,std,TotalRevenuesForMensTeamandWomensTeam,2978206.499559577
113,std,RevenuesMenCoedTeam,27744.326138026903
114,std,RevenuesWomenCoedTeam,34235.70455331755
115,std,TotalRevenuesMenCoedTeamWomenCoedTeam,61980.03069134445
116,std,TotalRevenuesMensTeamandMenCoedTeam,2589856.5488881264
117,std,TotalRevenuesWomensTeamandWomenCoedTeam,653721.6651840573
118,std,TotalRevenuesMensTeamWomensTeamandCoedTeam,2978126.0800416376
119,std,ExpensesMensTeam,1690919.7765908327
120,std,ExpensesWomensTeam,823235.7242383586
121,std,TotalExpensesMensTeamandWomensTeam,2453219.3887306894
122,std,ExpensesMenCoedTeam,87673.95849247927
123,std,ExpensesWomenCoedTeam,108502.91845279171
124,std,TotalExpensesMenCoedTeamandWomenCoedTeam,196176.876945271
125,std,TotalExpensesMensTeamandMenCoedTeam,1682683.5948291444
126,std,TotalExpensesWomensTeamandWomenCoedTeam,814710.8735783548
127,std,TotalExpensesMensTeamWomensTeamandCoedTeam,2452730.963120848
128,std,UGratioBG,15.127778666006398
129,min,SurveyYear,2003.0
130,min,UNITID,100654.0
131,min,ClassificationName,1.0
132,min,SanctionCode,1.0
133,min,MaleUndergraduates,0.0
134,min,FemaleUndergraduates,0.0
135,min,TotalUndergraduates,0.0
136,min,SportCode,2.0
137,min,ParticipantsMensTeam,0.0
138,min,ParticipantsWomensTeam,0.0
139,min,ParticipantsMenCoedTeam,10.0
140,min,ParticipantsWomenCoedTeam,8.0
141,min,TotalParticipantsMensTeamMenCoedTeam,0.0
142,min,TotalParticipantsWomensTeamWomenCoedTeam,0.0
143,min,OperatingExpensesperParticipantMensTeam,0.0
144,min,OperatingExpensesperTeamMensTeam,0.0
145,min,OperatingExpensesperParticipantWomensTeam,0.0
146,min,OperatingExpensesperTeamWomensTeam,0.0
147,min,TotalOperatingExpensesMensTeamandWomensTeam,0.0
148,min,OperatingExpensesperParticipantMenCoedTeam,227.7777778
149,min,OperatingExpensesperTeamMenCoedTeam,2277.777778
150,min,OperatingExpensesperParticipantWomenCoedTeam,227.7777778
151,min,OperatingExpensesperTeamWomenCoedTeam,1822.222222
152,min,TotalOperatingExpensesMenCoedTeamWomenCoedTeam,4100.0
153,min,RevenuesMensTeam,1.0
154,min,RevenuesWomensTeam,0.0
155,min,TotalRevenuesForMensTeamandWomensTeam,2.0
156,min,RevenuesMenCoedTeam,291.6666667
157,min,RevenuesWomenCoedTeam,233.3333333
158,min,TotalRevenuesMenCoedTeamWomenCoedTeam,525.0
159,min,TotalRevenuesMensTeamandMenCoedTeam,0.0
160,min,TotalRevenuesWomensTeamandWomenCoedTeam,0.0
161,min,TotalRevenuesMensTeamWomensTeamandCoedTeam,0.0
162,min,ExpensesMensTeam,0.0
163,min,ExpensesWomensTeam,0.0
164,min,TotalExpensesMensTeamandWomensTeam,3309.0
165,min,ExpensesMenCoedTeam,1958.333333
166,min,ExpensesWomenCoedTeam,1566.666667
167,min,TotalExpensesMenCoedTeamandWomenCoedTeam,3525.0
168,min,TotalExpensesMensTeamandMenCoedTeam,0.0
169,min,TotalExpensesWomensTeamandWomenCoedTeam,0.0
170,min,TotalExpensesMensTeamWomensTeamandCoedTeam,0.0
171,min,UGratioBG,0.0
172,25%,SurveyYear,2007.0
173,25%,UNITID,150400.0
174,25%,ClassificationName,4.0
175,25%,SanctionCode,1.0
176,25%,MaleUndergraduates,512.0
177,25%,FemaleUndergraduates,669.0
178,25%,TotalUndergraduates,1206.0
179,25%,SportCode,2.0
180,25%,ParticipantsMensTeam,14.0
181,25%,ParticipantsWomensTeam,12.0
182,25%,ParticipantsMenCoedTeam,10.75
183,25%,ParticipantsWomenCoedTeam,10.0
184,25%,TotalParticipantsMensTeamMenCoedTeam,14.0
185,25%,TotalParticipantsWomensTeamWomenCoedTeam,12.0
186,25%,OperatingExpensesperParticipantMensTeam,1593.0
187,25%,OperatingExpensesperTeamMensTeam,26220.0
188,25%,OperatingExpensesperParticipantWomensTeam,1652.0
189,25%,OperatingExpensesperTeamWomensTeam,23002.0
