,SurveyYear,group,fulltype,Val,fulltypegroup,gender,type
0,2003,0.1,OperatingExpensesperTeamMensTeam,12061.200000000003,OperatingExpensesperTeamMensTeam0.1,M,expenses
1,2003,0.1,OperatingExpensesperTeamWomensTeam,9418.6,OperatingExpensesperTeamWomensTeam0.1,W,expenses
2,2003,0.1,RevenuesMensTeam,12946.000000000002,RevenuesMensTeam0.1,M,revenues
3,2003,0.1,RevenuesWomensTeam,9624.5,RevenuesWomensTeam0.1,W,revenues
4,2003,0.2,OperatingExpensesperTeamMensTeam,16918.0,OperatingExpensesperTeamMensTeam0.2,M,expenses
5,2003,0.2,OperatingExpensesperTeamWomensTeam,14482.800000000001,OperatingExpensesperTeamWomensTeam0.2,W,expenses
6,2003,0.2,RevenuesMensTeam,25073.000000000004,RevenuesMensTeam0.2,M,revenues
7,2003,0.2,RevenuesWomensTeam,19935.0,RevenuesWomensTeam0.2,W,revenues
8,2003,0.3,OperatingExpensesperTeamMensTeam,20994.0,OperatingExpensesperTeamMensTeam0.3,M,expenses
9,2003,0.3,OperatingExpensesperTeamWomensTeam,18167.8,OperatingExpensesperTeamWomensTeam0.3,W,expenses
10,2003,0.3,RevenuesMensTeam,37872.89999999999,RevenuesMensTeam0.3,M,revenues
11,2003,0.3,RevenuesWomensTeam,29909.5,RevenuesWomensTeam0.3,W,revenues
12,2003,0.4,OperatingExpensesperTeamMensTeam,25000.0,OperatingExpensesperTeamMensTeam0.4,M,expenses
13,2003,0.4,OperatingExpensesperTeamWomensTeam,22174.2,OperatingExpensesperTeamWomensTeam0.4,W,expenses
14,2003,0.4,RevenuesMensTeam,59942.40000000001,RevenuesMensTeam0.4,M,revenues
15,2003,0.4,RevenuesWomensTeam,43976.0,RevenuesWomensTeam0.4,W,revenues
16,2003,0.5,OperatingExpensesperTeamMensTeam,30221.0,OperatingExpensesperTeamMensTeam0.5,M,expenses
17,2003,0.5,OperatingExpensesperTeamWomensTeam,26990.0,OperatingExpensesperTeamWomensTeam0.5,W,expenses
18,2003,0.5,RevenuesMensTeam,85026.0,RevenuesMensTeam0.5,M,revenues
19,2003,0.5,RevenuesWomensTeam,61757.0,RevenuesWomensTeam0.5,W,revenues
20,2003,0.6,OperatingExpensesperTeamMensTeam,37205.6,OperatingExpensesperTeamMensTeam0.6,M,expenses
21,2003,0.6,OperatingExpensesperTeamWomensTeam,32441.6,OperatingExpensesperTeamWomensTeam0.6,W,expenses
22,2003,0.6,RevenuesMensTeam,123007.19999999998,RevenuesMensTeam0.6,M,revenues
23,2003,0.6,RevenuesWomensTeam,84694.0,RevenuesWomensTeam0.6,W,revenues
24,2003,0.7,OperatingExpensesperTeamMensTeam,49515.39999999998,OperatingExpensesperTeamMensTeam0.7,M,expenses
25,2003,0.7,OperatingExpensesperTeamWomensTeam,42624.599999999955,OperatingExpensesperTeamWomensTeam0.7,W,expenses
26,2003,0.7,RevenuesMensTeam,195314.5999999997,RevenuesMensTeam0.7,M,revenues
27,2003,0.7,RevenuesWomensTeam,126315.5,RevenuesWomensTeam0.7,W,revenues
28,2003,0.8,OperatingExpensesperTeamMensTeam,97484.40000000002,OperatingExpensesperTeamMensTeam0.8,M,expenses
29,2003,0.8,OperatingExpensesperTeamWomensTeam,73731.00000000001,OperatingExpensesperTeamWomensTeam0.8,W,expenses
30,2003,0.8,RevenuesMensTeam,359492.6000000003,RevenuesMensTeam0.8,M,revenues
31,2003,0.8,RevenuesWomensTeam,216538.0,RevenuesWomensTeam0.8,W,revenues
32,2003,0.9,OperatingExpensesperTeamMensTeam,214552.59999999998,OperatingExpensesperTeamMensTeam0.9,M,expenses
33,2003,0.9,OperatingExpensesperTeamWomensTeam,153167.99999999997,OperatingExpensesperTeamWomensTeam0.9,W,expenses
34,2003,0.9,RevenuesMensTeam,963387.7000000001,RevenuesMensTeam0.9,M,revenues
35,2003,0.9,RevenuesWomensTeam,445307.0,RevenuesWomensTeam0.9,W,revenues
36,2004,0.1,OperatingExpensesperTeamMensTeam,12684.0,OperatingExpensesperTeamMensTeam0.1,M,expenses
37,2004,0.1,OperatingExpensesperTeamWomensTeam,10009.6,OperatingExpensesperTeamWomensTeam0.1,W,expenses
38,2004,0.1,RevenuesMensTeam,23529.800000000003,RevenuesMensTeam0.1,M,revenues
39,2004,0.1,RevenuesWomensTeam,19014.8,RevenuesWomensTeam0.1,W,revenues
40,2004,0.2,OperatingExpensesperTeamMensTeam,18057.8,OperatingExpensesperTeamMensTeam0.2,M,expenses
41,2004,0.2,OperatingExpensesperTeamWomensTeam,15388.8,OperatingExpensesperTeamWomensTeam0.2,W,expenses
42,2004,0.2,RevenuesMensTeam,37567.6,RevenuesMensTeam0.2,M,revenues
43,2004,0.2,RevenuesWomensTeam,31115.4,RevenuesWomensTeam0.2,W,revenues
44,2004,0.3,OperatingExpensesperTeamMensTeam,22733.6,OperatingExpensesperTeamMensTeam0.3,M,expenses
45,2004,0.3,OperatingExpensesperTeamWomensTeam,19867.6,OperatingExpensesperTeamWomensTeam0.3,W,expenses
46,2004,0.3,RevenuesMensTeam,58636.799999999996,RevenuesMensTeam0.3,M,revenues
47,2004,0.3,RevenuesWomensTeam,44815.4,RevenuesWomensTeam0.3,W,revenues
48,2004,0.4,OperatingExpensesperTeamMensTeam,27451.4,OperatingExpensesperTeamMensTeam0.4,M,expenses
49,2004,0.4,OperatingExpensesperTeamWomensTeam,24280.0,OperatingExpensesperTeamWomensTeam0.4,W,expenses
50,2004,0.4,RevenuesMensTeam,84087.20000000001,RevenuesMensTeam0.4,M,revenues
51,2004,0.4,RevenuesWomensTeam,65024.4,RevenuesWomensTeam0.4,W,revenues
52,2004,0.5,OperatingExpensesperTeamMensTeam,33300.0,OperatingExpensesperTeamMensTeam0.5,M,expenses
53,2004,0.5,OperatingExpensesperTeamWomensTeam,29296.0,OperatingExpensesperTeamWomensTeam0.5,W,expenses
54,2004,0.5,RevenuesMensTeam,113390.0,RevenuesMensTeam0.5,M,revenues
55,2004,0.5,RevenuesWomensTeam,86973.0,RevenuesWomensTeam0.5,W,revenues
56,2004,0.6,OperatingExpensesperTeamMensTeam,41105.6,OperatingExpensesperTeamMensTeam0.6,M,expenses
57,2004,0.6,OperatingExpensesperTeamWomensTeam,36127.799999999996,OperatingExpensesperTeamWomensTeam0.6,W,expenses
58,2004,0.6,RevenuesMensTeam,157274.19999999995,RevenuesMensTeam0.6,M,revenues
59,2004,0.6,RevenuesWomensTeam,117577.79999999999,RevenuesWomensTeam0.6,W,revenues
60,2004,0.7,OperatingExpensesperTeamMensTeam,57803.79999999999,OperatingExpensesperTeamMensTeam0.7,M,expenses
61,2004,0.7,OperatingExpensesperTeamWomensTeam,47815.59999999999,OperatingExpensesperTeamWomensTeam0.7,W,expenses
62,2004,0.7,RevenuesMensTeam,245829.39999999994,RevenuesMensTeam0.7,M,revenues
63,2004,0.7,RevenuesWomensTeam,171279.19999999998,RevenuesWomensTeam0.7,W,revenues
64,2004,0.8,OperatingExpensesperTeamMensTeam,104051.40000000001,OperatingExpensesperTeamMensTeam0.8,M,expenses
65,2004,0.8,OperatingExpensesperTeamWomensTeam,81641.80000000002,OperatingExpensesperTeamWomensTeam0.8,W,expenses
66,2004,0.8,RevenuesMensTeam,400691.00000000093,RevenuesMensTeam0.8,M,revenues
67,2004,0.8,RevenuesWomensTeam,264531.0,RevenuesWomensTeam0.8,W,revenues
68,2004,0.9,OperatingExpensesperTeamMensTeam,223313.0000000004,OperatingExpensesperTeamMensTeam0.9,M,expenses
69,2004,0.9,OperatingExpensesperTeamWomensTeam,154593.00000000003,OperatingExpensesperTeamWomensTeam0.9,W,expenses
