,SurveyYear,group,fulltype,Val,fulltypegroup,gender,type
0,2003,0.1,OperatingExpensesperTeamMensTeam,93557.0,OperatingExpensesperTeamMensTeam0.1,M,expenses
1,2003,0.1,OperatingExpensesperTeamWomensTeam,72930.0,OperatingExpensesperTeamWomensTeam0.1,W,expenses
2,2003,0.1,RevenuesMensTeam,283756.0,RevenuesMensTeam0.1,M,revenues
3,2003,0.1,RevenuesWomensTeam,24073.0,RevenuesWomensTeam0.1,W,revenues
4,2003,0.2,OperatingExpensesperTeamMensTeam,121525.0,OperatingExpensesperTeamMensTeam0.2,M,expenses
5,2003,0.2,OperatingExpensesperTeamWomensTeam,88681.0,OperatingExpensesperTeamWomensTeam0.2,W,expenses
6,2003,0.2,RevenuesMensTeam,402766.0,RevenuesMensTeam0.2,M,revenues
7,2003,0.2,RevenuesWomensTeam,69404.0,RevenuesWomensTeam0.2,W,revenues
8,2003,0.3,OperatingExpensesperTeamMensTeam,141100.0,OperatingExpensesperTeamMensTeam0.3,M,expenses
9,2003,0.3,OperatingExpensesperTeamWomensTeam,104425.0,OperatingExpensesperTeamWomensTeam0.3,W,expenses
10,2003,0.3,RevenuesMensTeam,576078.0,RevenuesMensTeam0.3,M,revenues
11,2003,0.3,RevenuesWomensTeam,171378.0,RevenuesWomensTeam0.3,W,revenues
12,2003,0.4,OperatingExpensesperTeamMensTeam,160396.0,OperatingExpensesperTeamMensTeam0.4,M,expenses
13,2003,0.4,OperatingExpensesperTeamWomensTeam,117456.0,OperatingExpensesperTeamWomensTeam0.4,W,expenses
14,2003,0.4,RevenuesMensTeam,774511.0,RevenuesMensTeam0.4,M,revenues
15,2003,0.4,RevenuesWomensTeam,391292.0,RevenuesWomensTeam0.4,W,revenues
16,2003,0.5,OperatingExpensesperTeamMensTeam,172717.0,OperatingExpensesperTeamMensTeam0.5,M,expenses
17,2003,0.5,OperatingExpensesperTeamWomensTeam,128607.0,OperatingExpensesperTeamWomensTeam0.5,W,expenses
18,2003,0.5,RevenuesMensTeam,953351.0,RevenuesMensTeam0.5,M,revenues
