,School,Conference,2022 Current Average,2021 Average,Year-over-Year % Change,5 Year Average,5 Year-over-Year % Change
0,Air Force,Mountain West,26926.0,22831.0,17.94,27271.0,-1.27
1,Akron,MAC,11199.0,10194.0,9.86,15315.0,-26.87
2,Alabama,SEC,98981.0,98720.0,0.26,100988.0,-1.99
3,Appalachian State,Sun Belt,33566.0,30441.0,10.27,25628.0,30.98
4,Arizona,Pac-12,44209.0,34900.0,26.67,42158.0,4.87
5,Arizona State,Pac-12,43081.0,47248.0,-8.82,48809.0,-11.73
6,Arkansas,SEC,73155.0,65284.0,12.06,61781.0,18.41
7,Arkansas State,Sun Belt,15265.0,11211.0,36.16,19665.0,-22.37
8,Army West Point,Independent,28647.0,27263.0,5.08,30704.0,-6.7
9,Auburn,SEC,85203.0,86146.0,-1.1,85951.0,-0.87
10,Ball State,MAC,11637.0,11530.0,0.93,9886.0,17.71
11,Baylor,Big 12,45463.0,44729.0,1.64,44250.0,2.74
12,Boise State,Mountain West,35121.0,34681.0,1.27,33044.0,6.29
13,Boston College,ACC,35706.0,34782.0,2.66,34934.0,2.21
14,Bowling Green,MAC,11663.0,15260.0,-23.57,15324.0,-23.89
15,Buffalo,MAC,15510.0,15129.0,2.52,16154.0,-3.99
16,BYU,Independent,59674.0,61647.0,-3.2,57701.0,3.42
17,California,Pac-12,38596.0,37383.0,3.24,41172.0,-6.26
18,Central Michigan,MAC,15823.0,14463.0,9.41,14356.0,10.22
19,Charlotte,C-USA,10907.0,13292.0,-17.95,12683.0,-14.01
20,Cincinnati,American,38117.0,37338.0,2.09,33172.0,14.91
21,Clemson,ACC,80694.0,79489.0,1.52,80500.0,0.24
22,Coastal Carolina,Sun Belt,17114.0,15241.0,12.29,12818.0,33.51
23,Colorado,Pac-12,42847.0,46484.0,-7.82,47106.0,-9.04
24,Colorado State,Mountain West,26891.0,27096.0,-0.76,27920.0,-3.69
25,Duke,ACC,24505.0,15424.0,58.87,24915.0,-1.64
26,Eastern Michigan,MAC,15186.0,15091.0,0.63,16092.0,-5.63
27,ECU,American,39649.0,36059.0,9.96,36588.0,8.37
28,Florida,SEC,87180.0,85175.0,2.35,85350.0,2.14
29,Florida Atlantic,C-USA,20679.0,18826.0,9.84,16501.0,25.32
30,Florida State,ACC,67254.0,58679.0,14.61,65746.0,2.29
31,Fresno State,Mountain West,39067.0,33386.0,17.01,30513.0,28.03
32,Georgia,SEC,92746.0,92746.0,0.0,92760.0,-0.02
33,Georgia Southern,Sun Belt,17379.0,16761.0,3.69,16721.0,3.94
34,Georgia State,Sun Belt,16023.0,15074.0,6.3,15962.0,0.38
35,Georgia Tech,ACC,34408.0,37733.0,-8.81,43961.0,-21.73
36,Hawaii,Mountain West,9210.0,2302.0,300.07,20002.0,-53.96
37,Houston,American,25394.0,25073.0,1.28,30393.0,-16.45
38,Illinois,Big Ten,43048.0,35347.0,21.79,38632.0,11.43
39,Indiana,Big Ten,46906.0,46925.0,-0.04,43223.0,8.52
40,Iowa,Big Ten,69250.0,66777.0,3.7,67274.0,2.94
41,Iowa State,Big 12,57344.0,60704.0,-5.53,57399.0,-0.1
42,James Madison,Sun Belt,22966.0,21769.0,5.5,22807.0,0.7
43,Kansas,Big 12,43076.0,22026.0,95.57,25559.0,68.53
44,Kansas State,Big 12,51165.0,46368.0,10.35,49629.0,3.1
45,Kent State,MAC,13354.0,12778.0,4.51,12560.0,6.32
46,Kentucky,SEC,60289.0,56301.0,7.08,54931.0,9.75
47,Liberty,Independent,20954.0,17608.0,19.0,17022.0,23.1
48,Louisiana,Sun Belt,14542.0,22493.0,-35.35,19044.0,-23.64
49,Louisiana Tech,C-USA,15082.0,14822.0,1.75,18715.0,-19.41
50,Louisiana–Monroe,Sun Belt,13380.0,13280.0,0.76,13511.0,-0.97
51,Louisville,ACC,41692.0,43966.0,-5.17,48871.0,-14.69
52,LSU,SEC,100596.0,94808.0,6.1,99241.0,1.37
53,Marshall,Sun Belt,21842.0,21743.0,0.45,23099.0,-5.44
54,Maryland,Big Ten,31934.0,38069.0,-16.11,37747.0,-15.4
55,Massachusetts,Independent,10800.0,8994.0,20.08,10819.0,-0.18
56,Memphis,American,26196.0,31295.0,-16.29,34787.0,-24.7
57,Miami (FL),ACC,54964.0,43698.0,25.78,55050.0,-0.16
58,Miami (OH),MAC,17572.0,11696.0,50.24,15459.0,13.67
59,Michigan,Big Ten,110246.0,108763.0,1.36,110603.0,-0.32
60,Michigan State,Big Ten,69047.0,70135.0,-1.55,71538.0,-3.48
61,Middle Tennessee,C-USA,14363.0,12351.0,16.29,15009.0,-4.3
62,Minnesota,Big Ten,45019.0,46140.0,-2.43,43683.0,3.06
63,Mississippi State,SEC,53822.0,49494.0,8.74,56030.0,-3.94
64,Missouri,SEC,54525.0,46516.0,17.22,51174.0,6.55
65,Navy,American,36165.0,31095.0,16.3,32210.0,12.28
66,NC State,ACC,55924.0,54523.0,2.57,56438.0,-0.91
67,Nebraska,Big Ten,86637.0,86173.0,0.54,88911.0,-2.56
68,Nevada,Mountain West,14905.0,21575.0,-30.91,18032.0,-17.34
69,New Mexico,Mountain West,14966.0,16332.0,-8.37,18027.0,-16.98
70,New Mexico State,Independent,15034.0,11845.0,26.93,14248.0,5.52
71,North Carolina,ACC,47933.0,47947.0,-0.03,48478.0,-1.12
72,North Texas,C-USA,19025.0,16669.0,14.13,20724.0,-8.2
73,Northern Illinois,MAC,9198.0,9058.0,1.54,10058.0,-8.55
74,Northwestern,Big Ten,28697.0,30679.0,-6.46,36588.0,-21.57
75,Notre Dame,Independent,76193.0,72817.0,4.64,77029.0,-1.09
76,Ohio,MAC,17692.0,17626.0,0.37,18200.0,-2.79
77,Ohio State,Big Ten,104663.0,96756.0,8.17,103372.0,1.25
78,Oklahoma,Big 12,83835.0,77795.0,7.76,84233.0,-0.47
79,Oklahoma State,Big 12,54735.0,53012.0,3.25,54395.0,0.63
80,Old Dominion,Sun Belt,20232.0,15966.0,26.72,18814.0,7.54
81,Ole Miss,SEC,62575.0,56472.0,10.81,56786.0,10.19
82,Oregon,Pac-12,54950.0,49468.0,11.08,53247.0,3.2
83,Oregon State,Pac-12,31498.0,30524.0,3.19,34107.0,-7.65
84,Penn State,Big Ten,107379.0,106799.0,0.54,104985.0,2.28
85,Pittsburgh,ACC,54710.0,45365.0,20.6,42561.0,28.55
86,Purdue,Big Ten,57129.0,56333.0,1.41,48762.0,17.16
87,Rice,C-USA,19011.0,18613.0,2.14,20355.0,-6.61
88,Rutgers,Big Ten,50756.0,44630.0,13.73,39413.0,28.78
89,San Diego State,Mountain West,29892.0,10675.0,180.02,29729.0,0.55
90,San Jose State,Mountain West,16422.0,15447.0,6.31,14945.0,9.88
91,SMU,American,24971.0,23171.0,7.77,21969.0,13.67
92,South Alabama,Sun Belt,16646.0,16083.0,3.5,16413.0,1.42
93,South Carolina,SEC,75785.0,69734.0,8.68,75366.0,0.56
94,South Florida,American,29650.0,33469.0,-11.41,34550.0,-14.18
95,Southern Miss,Sun Belt,25131.0,23260.0,8.04,23988.0,4.77
96,Stanford,Pac-12,29965.0,35684.0,-16.03,40417.0,-25.86
97,Syracuse,ACC,40828.0,32461.0,25.78,35680.0,14.43
98,TCU,Big 12,46562.0,39529.0,17.79,42905.0,8.52
99,Temple,American,17277.0,21464.0,-19.51,26787.0,-35.5
100,Tennessee,SEC,100532.0,86386.0,16.38,92796.0,8.34
101,Texas,Big 12,100242.0,91939.0,9.03,95323.0,5.16
102,Texas A&M,SEC,97213.0,102883.0,-5.51,101011.0,-3.76
103,Texas State,Sun Belt,17541.0,17687.0,-0.82,16702.0,5.03
104,Texas Tech,Big 12,56870.0,52402.0,8.53,55034.0,3.34
105,Toledo,MAC,19557.0,18436.0,6.08,20312.0,-3.72
106,Troy,Sun Belt,26346.0,23668.0,11.31,23737.0,10.99
107,Tulane,American,20361.0,14574.0,39.71,18503.0,10.04
108,Tulsa,American,18745.0,16077.0,16.59,17922.0,4.59
109,UAB,C-USA,23058.0,25629.0,-10.03,25255.0,-8.7
110,UCF,American,41542.0,40427.0,2.76,40176.0,3.4
111,UCLA,Pac-12,41593.0,45818.0,-9.22,52867.0,-21.33
112,UConn,Independent,22095.0,14686.0,50.45,20191.0,9.43
113,UNLV,Mountain West,22112.0,22357.0,-1.1,18976.0,16.52
114,USC,Pac-12,64487.0,56215.0,14.72,62433.0,3.29
115,Utah,Pac-12,52057.0,51817.0,0.46,47406.0,9.81
116,Utah State,Mountain West,16954.0,21378.0,-20.69,19790.0,-14.33
117,UTEP,C-USA,19134.0,16812.0,13.81,18122.0,5.59
118,UTSA,C-USA,26835.0,26643.0,0.72,23423.0,14.56
119,Vanderbilt,SEC,29193.0,23458.0,24.45,28075.0,3.98
120,Virginia,ACC,40681.0,42439.0,-4.14,41867.0,-2.83
121,Virginia Tech,ACC,64356.0,58729.0,9.58,60571.0,6.25
122,Wake Forest,ACC,30053.0,28721.0,4.64,27491.0,9.32
123,Washington,Pac-12,62933.0,62046.0,1.43,66553.0,-5.44
124,Washington State,Pac-12,26185.0,23217.0,12.78,29101.0,-10.02
125,West Virginia,Big 12,47658.0,51583.0,-7.61,55835.0,-14.65
126,Western Kentucky,C-USA,15440.0,16485.0,-6.34,15864.0,-2.67
127,Western Michigan,MAC,15260.0,13690.0,11.46,17929.0,-14.89
128,Wisconsin,Big Ten,74159.0,73466.0,0.94,77054.0,-3.76
129,Wyoming,Mountain West,19707.0,21625.0,-8.87,21078.0,-6.5
