,Sport,Val_Exp,Val_Rev,Gender
0,Archery ,710956.0,711027.0,Female
4,Basketball ,941158960.0,870200174.0,Female
8,Bowling ,19376682.0,20343768.0,Female
12,All Track Combined ,381233693.0,354606962.0,Female
16,Diving ,373084.0,374179.0,Female
20,Fencing ,6694674.0,5199422.0,Female
24,Golf ,178282226.0,171794631.0,Female
28,Gymnastics ,74220034.0,60339659.0,Female
32,Ice Hockey ,55155361.0,49428347.0,Female
36,Lacrosse ,170841623.0,162757282.0,Female
40,Rifle ,2417361.0,1968113.0,Female
44,Rodeo ,6222249.0,6560564.0,Female
48,Rowing ,104736086.0,89888993.0,Female
52,Sailing ,2120498.0,2502146.0,Female
56,Skiing ,6530737.0,5806647.0,Female
60,Soccer ,508538094.0,485707753.0,Female
64,Squash ,1239791.0,1584051.0,Female
68,Swimming ,40403886.0,40495539.0,Female
72,Swimming and Diving ,134603435.0,123351279.0,Female
76,Tennis ,213771804.0,197958580.0,Female
80,Track and Field Indoor ,15153555.0,15493591.0,Female
84,Track and Field Outdoor ,48707701.0,49264884.0,Female
88,Track and Field X-Country ,26933499.0,28121652.0,Female
92,Volleyball ,478899864.0,463361046.0,Female
96,Water Polo ,20932278.0,19432927.0,Female
100,Weight Lifting ,1000346.0,1007393.0,Female
104,Wrestling ,12592033.0,12791700.0,Female
108,Other Sports ,21011108.0,22150514.0,Female
112,Total,4125976788.0,3885038753.0,Female
1,Archery ,577343.0,577435.0,Male
5,Basketball ,1514401131.0,1601183507.0,Male
9,Bowling ,9290244.0,9472760.0,Male
13,All Track Combined ,296701351.0,261268404.0,Male
17,Diving ,813367.0,813367.0,Male
21,Fencing ,4511850.0,3112901.0,Male
25,Golf ,194614601.0,190832764.0,Male
29,Gymnastics ,9079721.0,4296923.0,Male
33,Ice Hockey ,125164451.0,111621992.0,Male
37,Lacrosse ,152161101.0,147661729.0,Male
41,Rifle ,22917.0,22917.0,Male
45,Rodeo ,7987224.0,8434749.0,Male
49,Rowing ,24712886.0,22540080.0,Male
53,Sailing ,228036.0,228036.0,Male
57,Skiing ,5978748.0,5573017.0,Male
61,Soccer ,356047103.0,351023936.0,Male
65,Squash ,1184475.0,1745958.0,Male
69,Swimming ,26404427.0,26415819.0,Male
73,Swimming and Diving ,79775717.0,65869736.0,Male
77,Tennis ,155006328.0,138235977.0,Male
81,Track and Field Indoor ,11791277.0,11969489.0,Male
85,Track and Field Outdoor ,43506962.0,44443064.0,Male
89,Track and Field X-Country ,30298632.0,31277455.0,Male
93,Volleyball ,36652396.0,36723308.0,Male
97,Water Polo ,10419220.0,10558901.0,Male
101,Weight Lifting ,1060633.0,1156838.0,Male
105,Wrestling ,119740772.0,109217196.0,Male
109,Other Sports ,6939009.0,7791329.0,Male
113,Total,7228938346.0,8019632850.0,Male
