,Sport,Total,Women,Men,Coed
0,Archery ,2085370.0,710956.0,577343.0,797071.0
1,Badminton ,9509.0,9509.0,,
2,Baseball ,771524349.0,,771524349.0,
3,Basketball ,2455560091.0,941158960.0,1514401131.0,
4,Beach Volleyball ,26313457.0,26313457.0,,
5,Bowling ,28671326.0,19376682.0,9290244.0,4400.0
6,All Track Combined ,677935044.0,381233693.0,296701351.0,
7,Diving ,1186451.0,373084.0,813367.0,
8,Equestrian ,28972612.0,26810493.0,,2162119.0
9,Fencing ,11231784.0,6694674.0,4511850.0,25260.0
10,Field Hockey ,80658085.0,80658085.0,,
11,Football ,3232342075.0,,3232342075.0,
12,Golf ,372925791.0,178282226.0,194614601.0,28964.0
13,Gymnastics ,83299755.0,74220034.0,9079721.0,
14,Ice Hockey ,180319812.0,55155361.0,125164451.0,
15,Lacrosse ,323002724.0,170841623.0,152161101.0,
16,Rifle ,7436539.0,2417361.0,22917.0,4996261.0
17,Rodeo ,16768281.0,6222249.0,7987224.0,2558808.0
18,Rowing ,129448972.0,104736086.0,24712886.0,
19,Sailing ,4915832.0,2120498.0,228036.0,2567298.0
20,Skiing ,12509485.0,6530737.0,5978748.0,
21,Soccer ,864585197.0,508538094.0,356047103.0,
22,Softball ,516437682.0,516437682.0,,
23,Squash ,2424266.0,1239791.0,1184475.0,
24,Swimming ,66808313.0,40403886.0,26404427.0,
25,Swimming and Diving ,214379152.0,134603435.0,79775717.0,
26,Synchronized Swimming ,1885944.0,1885944.0,,
27,Table Tennis ,,,,
28,Team Handball ,,,,
29,Tennis ,368786327.0,213771804.0,155006328.0,8195.0
30,Track and Field Indoor ,26944832.0,15153555.0,11791277.0,
31,Track and Field Outdoor ,92214663.0,48707701.0,43506962.0,
32,Track and Field X-Country ,57232131.0,26933499.0,30298632.0,
33,Volleyball ,515552260.0,478899864.0,36652396.0,
34,Water Polo ,31351498.0,20932278.0,10419220.0,
35,Weight Lifting ,2538013.0,1000346.0,1060633.0,477034.0
36,Wrestling ,132404381.0,12592033.0,119740772.0,71576.0
37,Other Sports ,50942583.0,21011108.0,6939009.0,22992466.0
38,Total,11391604586.0,4125976788.0,7228938346.0,36689452.0
