,detail,Val,type
0,ExcessTransfersBack,17474615.0,Exp
1,OtherExpenses,740120435.0,Exp
2,Medical,223749847.0,Exp
3,Recruiting,37911981.0,Exp
4,GameExpensesandTravel,694714348.0,Exp
5,FacilitiesandEquipment,2083094271.0,Exp
6,CoachesCompensation,2130068887.0,Exp
7,SupportandAdminCompensationwSeverance,1879894430.0,Exp
8,AthleticStudentAid,1740141026.0,Exp
9,OtherRevenue,486684738.0,Rev
10,CorporateSponsorshipAdvertisingLicensing,704463614.0,Rev
11,DonorContributions,1528995456.0,Rev
12,NCAAConferenceDistributionsMediaRightsandPostSeasonFootball,2794252391.0,Rev
13,TicketSales,216826669.0,Rev
14,InstitutionalGovernmentSupport,2315698455.0,Rev
15,StudentFees,1211290488.0,Rev
16,TotalInstitutionalGovernmentSupportandStudentFees,3526988943.0,Rev
17,TotalAcademicSpendingUniversityWide,0.0,Rev
18,CompGuaranteesExpense,39921540.0,Exp
19,CompGuaranteesRev,46108870.0,Rev
