Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Excess Transfers Back,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,Facilities and Equipment,Coaches Compensation,Support and Admin Compensation w/Severance,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees ,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees,Total Institutional/Government Support and Student Fees,Total Academic Spending (University-Wide)
Alabama A & M University,100654,2005,Football Championship Subdivision,,"$6,063,736 ",$0 ,"$178,405 ","$69,376 ","$13,875 ","$39,097 ","$791,293 ","$428,144 ","$1,472,081 ","$511,076 ","$2,560,390 ","$2,335,310 ","$44,678 ","$170,560 ","$16,650 ","$194,335 ","$473,056 ","$414,975 ",$0 ,"$1,021,055 ","$1,021,055 ","$146,928,797 "
Alabama A & M University,100654,2006,Football Championship Subdivision,,"$10,499,767 ",$0 ,"$756,524 ","$469,927 ","$50,195 ","$27,534 ","$1,070,979 ","$2,573,976 ","$1,993,482 ","$781,708 ","$2,775,443 ","$13,083,378 ","$574,274 ",$0 ,"$36,830 ","$430,071 ","$347,509 ","$624,598 ","$10,112,333 ","$957,763 ","$11,070,096 ","$147,853,587 "
Alabama A & M University,100654,2007,Football Championship Subdivision,,"$6,999,213 ",$0 ,"$235,224 ","$435,515 ","$50,968 ","$44,858 ","$664,661 ","$115,465 ","$2,346,225 ","$601,896 ","$2,504,402 ","$8,948,538 ","$141,111 ","$74,694 ","$13,069 ","$489,460 ","$546,517 ","$670,761 ","$6,824,462 ","$188,464 ","$7,012,926 ","$150,070,103 "
Alabama A & M University,100654,2008,Football Championship Subdivision,,"$8,014,830 ",$0 ,"$365,535 ","$266,900 ","$35,491 ","$77,691 ","$2,139,959 ","$289,531 ","$2,119,134 ","$549,988 ","$2,170,601 ","$9,130,011 ","$131,957 ","$101,037 ","$28,569 ","$1,073,907 ","$524,683 ","$89,439 ","$6,909,426 ","$270,993 ","$7,180,419 ","$148,714,117 "
Alabama A & M University,100654,2009,Football Championship Subdivision,,"$8,388,266 ",$0 ,"$649,664 ","$285,980 ","$54,942 ","$53,830 ","$1,125,979 ","$648,924 ","$2,126,696 ","$551,951 ","$2,890,300 ","$11,003,601 ","$135,431 ","$130,685 ","$88,447 ","$873,219 ","$462,959 ","$663,321 ","$7,974,314 ","$675,224 ","$8,649,538 ","$137,943,410 "
Alabama A & M University,100654,2010,Football Championship Subdivision,,"$8,152,143 ",$0 ,"$456,144 ","$230,870 ","$28,641 ","$71,684 ","$969,549 ","$221,229 ","$1,837,064 ","$1,091,475 ","$3,245,486 ","$8,183,682 ","$367,128 ","$1,133 ",$0 ,"$1,002,565 ","$529,706 ","$771,638 ","$4,824,624 ","$686,887 ","$5,511,511 ","$156,767,961 "
Alabama A & M University,100654,2011,Football Championship Subdivision,,"$8,409,067 ",$0 ,"$239,119 ","$213,438 ",$0 ,"$69,491 ","$1,053,590 ","$251,979 ","$1,711,918 ","$1,185,330 ","$3,684,203 ","$7,231,642 ","$206,087 ","$1,168 ",$0 ,"$532,215 ","$687,366 ","$367,889 ","$4,675,350 ","$761,568 ","$5,436,917 ","$154,848,415 "
Alabama A & M University,100654,2012,Football Championship Subdivision,,"$7,794,600 ",$0 ,"$141,122 ","$179,937 ",$0 ,"$65,319 ","$1,408,284 ","$261,551 ","$1,531,833 ","$654,550 ","$3,552,005 ","$6,510,586 ","$287,495 ","$21,232 ",$0 ,"$766,053 ","$466,218 ","$553,091 ","$4,054,548 ","$361,948 ","$4,416,496 ","$142,116,833 "
Alabama A & M University,100654,2013,Football Championship Subdivision,,"$8,548,943 ",$0 ,"$472,772 ","$227,736 ",$0 ,"$83,134 ","$1,516,582 ","$299,293 ","$1,652,049 ","$1,286,836 ","$3,010,540 ","$8,548,943 ","$227,335 ","$21,644 ",$0 ,"$1,091,824 ","$471,783 ","$459,675 ","$5,795,127 ","$481,555 ","$6,276,682 ","$147,298,349 "
Alabama A & M University,100654,2014,Football Championship Subdivision,,"$8,288,001 ",$0 ,"$450,567 ","$202,331 ",$0 ,"$161,656 ","$1,029,831 ","$158,611 ","$1,993,249 ","$569,437 ","$3,722,320 ","$10,952,146 ","$362,596 ","$13,644 ","$644,105 ","$729,115 ","$369,100 ","$429,110 ","$7,930,609 ","$473,868 ","$8,404,477 ","$133,296,897 "
Alabama A & M University,100654,2015,Football Championship Subdivision,,"$11,449,784 ",$0 ,"$505,030 ","$323,540 ","$3,430 ","$125,358 ","$1,708,131 ","$1,089,640 ","$2,017,844 ","$1,700,154 ","$3,976,658 ","$11,696,163 ","$312,062 ","$25,506 ","$568,702 ","$1,025,496 ","$292,544 ","$437,415 ","$8,693,946 ","$340,491 ","$9,034,437 ","$155,877,819 "
Alabama A & M University,100654,2016,Football Championship Subdivision,,"$10,581,418 ",$0 ,"$434,634 ","$341,905 ","$58,144 ","$84,515 ","$1,648,565 ","$280,722 ","$2,213,173 ","$1,292,588 ","$4,227,172 ","$2,927,363 ","$413,249 ","$25,759 ","$37,822 ","$1,159,609 ","$575,425 ","$304,865 ","$43,835 ","$366,800 ","$410,635 ","$125,085,214 "
Alabama A & M University,100654,2017,Football Championship Subdivision,,"$10,464,784 ",$0 ,"$385,767 ","$630,112 ","$1,105 ","$45,469 ","$1,435,891 ","$605,346 ","$2,241,468 ","$1,322,212 ","$3,797,412 ","$3,641,331 ","$274,747 ",$90 ,"$37,696 ","$1,756,853 ","$877,759 ","$315,320 ",$0 ,"$378,867 ","$378,867 ","$152,153,170 "
Alabama A & M University,100654,2018,Football Championship Subdivision,,"$10,881,818 ",$0 ,"$459,533 ","$647,461 ",$0 ,"$44,385 ","$1,401,655 ","$1,020,302 ","$2,188,024 ","$1,290,686 ","$3,829,772 ","$10,881,818 ","$280,342 ","$57,840 ","$38,241 ","$1,454,630 ","$1,114,947 ","$312,654 ","$7,249,633 ","$373,531 ","$7,623,164 ","$124,477,387 "
Alabama A & M University,100654,2019,Football Championship Subdivision,,"$13,685,062 ",$0 ,"$404,632 ","$246,634 ",$0 ,"$96,989 ","$1,683,901 ","$3,729,239 ","$2,329,509 ","$1,180,459 ","$4,013,699 ","$13,685,062 ","$375,591 ","$147,418 ","$471,379 ","$888,192 ","$208,379 ","$503,651 ","$10,749,090 ","$341,364 ","$11,090,453 ","$133,149,687 "
Alabama A & M University,100654,2020,Football Championship Subdivision,,"$14,821,437 ",$0 ,"$414,177 ",,,"$169,166 ","$1,973,987 ","$4,627,980 ","$2,141,129 ","$1,357,043 ","$4,137,956 ","$14,821,437 ","$166,369 ",,"$19,893 ","$817,691 ","$70,671 ","$346,022 ","$13,199,165 ","$201,626 ","$13,400,792 ","$124,812,688 "
Alabama A & M University,100654,2021,Football Championship Subdivision,,"$12,787,145 ",$0 ,"$305,089 ",$0 ,$0 ,"$65,595 ","$1,415,471 ","$3,808,143 ","$2,062,520 ","$1,177,565 ","$3,952,762 ","$12,948,150 ","$130,066 ",$0 ,"$5,000 ","$674,000 ","$60,500 ","$359,110 ","$11,531,752 ","$187,722 ","$11,719,474 ",
Alabama State University,100724,2005,Football Championship Subdivision,,"$7,801,291 ",$0 ,"$361,660 ","$216,452 ","$8,325 ","$198,355 ","$679,026 ","$1,190,770 ","$2,013,189 ","$781,225 ","$2,352,289 ","$8,067,737 ","$13,181 ","$13,875 ","$565,043 ","$162,339 ","$163,033 ","$1,437,777 ","$5,712,488 ",$0 ,"$5,712,488 ","$113,578,237 "
Alabama State University,100724,2006,Football Championship Subdivision,,"$6,929,673 ",$0 ,"$281,514 ","$252,578 ","$4,705 ","$125,849 ","$424,233 ","$1,242,521 ","$1,710,141 ","$705,812 ","$2,182,319 ","$7,612,537 ","$7,199 ","$68,283 ","$205,728 ","$201,623 ",$0 ,"$1,091,593 ","$6,038,110 ",$0 ,"$6,038,110 ","$119,731,163 "
Alabama State University,100724,2007,Football Championship Subdivision,,"$7,904,191 ",$0 ,"$318,187 ","$274,933 ",$0 ,"$243,158 ","$730,399 ","$1,245,097 ","$1,913,024 ","$896,816 ","$2,282,576 ","$7,904,191 ","$37,945 ","$32,672 ",$0 ,"$231,800 ",$0 ,"$1,313,064 ","$6,288,710 ",$0 ,"$6,288,710 ","$127,986,269 "
Alabama State University,100724,2008,Football Championship Subdivision,,"$9,054,328 ",$0 ,"$944,874 ","$233,196 ","$12,334 ","$202,986 ","$991,434 ","$1,118,913 ","$2,004,782 ","$981,286 ","$2,564,522 ","$9,054,328 ","$50,892 ","$15,371 ","$99,436 ","$526,751 ","$595,340 ","$1,020,774 ","$6,745,764 ",$0 ,"$6,745,764 ","$134,591,357 "
Alabama State University,100724,2009,Football Championship Subdivision,,"$10,680,290 ",$0 ,"$1,395,990 ","$264,714 ","$37,512 ","$186,031 ","$859,746 ","$673,518 ","$1,990,119 ","$1,729,396 ","$3,543,263 ","$10,680,290 ","$37,689 ","$318,287 ","$57,484 ","$493,238 ","$1,004,056 ","$869,022 ","$7,900,514 ",$0 ,"$7,900,514 ","$140,969,341 "
Alabama State University,100724,2010,Football Championship Subdivision,,"$11,242,228 ",$0 ,"$977,228 ","$211,944 ","$9,941 ","$168,013 ","$1,069,788 ","$631,848 ","$1,953,967 ","$1,877,114 ","$4,342,383 ","$11,242,228 ","$49,787 ","$277,060 ","$136,079 ","$417,963 ","$817,050 ","$945,351 ","$8,598,937 ",$0 ,"$8,598,937 ","$154,504,857 "
Alabama State University,100724,2011,Football Championship Subdivision,,"$12,786,113 ",$0 ,"$1,083,665 ","$278,267 ","$13,853 ","$196,874 ","$1,395,195 ","$826,468 ","$2,816,625 ","$1,524,820 ","$4,650,346 ","$12,786,113 ","$82,586 ","$124,078 ","$110,409 ","$823,209 ","$1,027,650 ","$878,808 ","$9,739,373 ",$0 ,"$9,739,373 ","$163,384,034 "
Alabama State University,100724,2012,Football Championship Subdivision,,"$13,830,161 ",$0 ,"$1,139,602 ","$480,300 ","$11,931 ","$184,019 ","$1,352,155 ","$975,190 ","$3,128,282 ","$1,907,809 ","$4,650,874 ","$13,830,161 ","$132,930 ","$141,626 ","$99,608 ","$548,297 ","$1,024,176 ","$840,075 ","$11,043,450 ",$0 ,"$11,043,450 ","$166,291,876 "
Alabama State University,100724,2013,Football Championship Subdivision,,"$16,453,553 ",$0 ,"$1,849,934 ","$362,223 ","$161,684 ","$237,408 ","$1,697,954 ","$1,027,787 ","$3,362,088 ","$1,604,666 ","$6,149,810 ","$16,453,553 ","$58,921 ","$27,200 ","$98,170 ","$298,171 ","$882,386 ","$927,427 ","$14,161,279 ",$0 ,"$14,161,279 ","$164,833,989 "
Alabama State University,100724,2014,Football Championship Subdivision,,"$16,104,982 ",$0 ,"$1,830,384 ","$444,768 ","$167,685 ","$327,345 ","$1,892,246 ","$1,262,424 ","$3,255,280 ","$1,805,765 ","$5,119,084 ","$16,104,982 ","$191,263 ","$211,466 ","$169,385 ","$719,077 ","$904,423 ","$1,604,431 ","$12,304,937 ",$0 ,"$12,304,937 ","$166,317,559 "
Alabama State University,100724,2015,Football Championship Subdivision,,"$16,688,681 ",$0 ,"$882,959 ","$451,377 ","$92,032 ","$354,719 ","$2,218,086 ","$1,539,172 ","$3,783,557 ","$1,881,698 ","$5,485,081 ","$16,688,681 ","$70,505 ","$168,344 ","$400,984 ","$279,677 ","$1,049,975 ","$1,154,286 ","$13,564,910 ",$0 ,"$13,564,910 ","$151,823,708 "
Alabama State University,100724,2016,Football Championship Subdivision,,"$17,054,052 ",$0 ,"$2,117,708 ","$624,381 ","$85,805 ","$306,681 ","$1,827,676 ","$1,098,721 ","$3,891,068 ","$1,507,476 ","$5,594,535 ","$17,223,264 ","$70,667 ","$175,832 ","$110,294 ","$184,932 ","$1,323,419 ","$1,188,655 ","$14,169,466 ",$0 ,"$14,169,466 ","$145,833,787 "
Alabama State University,100724,2017,Football Championship Subdivision,,"$15,890,957 ",$0 ,"$1,437,053 ","$165,476 ","$87,884 ","$199,182 ","$1,597,416 ","$660,876 ","$3,682,550 ","$1,858,931 ","$6,201,589 ","$15,890,957 ","$65,990 ","$208,821 ","$344,590 ","$1,136,682 ","$852,070 ","$1,715,332 ","$11,567,472 ",$0 ,"$11,567,472 ","$142,647,080 "
Alabama State University,100724,2018,Football Championship Subdivision,,"$14,922,246 ",$0 ,"$1,233,289 ","$211,324 ","$188,303 ","$217,607 ","$1,335,066 ","$911,856 ","$3,934,957 ","$1,420,391 ","$5,469,453 ","$14,623,362 ","$207,268 ","$268,071 ","$300,661 ","$848,175 ","$1,174,622 ","$1,457,103 ","$10,367,463 ",$0 ,"$10,367,463 ","$146,049,739 "
Alabama State University,100724,2019,Football Championship Subdivision,,"$14,249,017 ",$0 ,"$1,199,060 ","$38,313 ","$183,362 ","$113,924 ","$1,556,783 ","$1,031,034 ","$3,864,916 ","$1,395,109 ","$4,866,515 ","$14,234,268 ","$101,295 ","$225,228 ","$152,803 ","$990,186 ","$578,110 ","$1,292,002 ","$10,894,644 ",,"$10,894,644 ","$140,154,882 "
