,SurveyYear,level_2,Val,type
0,2003,UNITID,123053.8,UNITID0.1
1,2003,ClassificationName,2.0,ClassificationName0.1
2,2003,SanctionCode,1.0,SanctionCode0.1
3,2003,MaleUndergraduates,301.20000000000005,MaleUndergraduates0.1
4,2003,FemaleUndergraduates,391.4000000000001,FemaleUndergraduates0.1
5,2003,TotalUndergraduates,736.4000000000001,TotalUndergraduates0.1
6,2003,SportCode,2.0,SportCode0.1
7,2003,ParticipantsMensTeam,12.0,ParticipantsMensTeam0.1
8,2003,ParticipantsWomensTeam,10.0,ParticipantsWomensTeam0.1
9,2003,TotalParticipantsMensTeamMenCoedTeam,12.0,TotalParticipantsMensTeamMenCoedTeam0.1
10,2003,TotalParticipantsWomensTeamWomenCoedTeam,10.0,TotalParticipantsWomensTeamWomenCoedTeam0.1
11,2003,OperatingExpensesperParticipantMensTeam,790.6,OperatingExpensesperParticipantMensTeam0.1
12,2003,OperatingExpensesperTeamMensTeam,12061.200000000003,OperatingExpensesperTeamMensTeam0.1
13,2003,OperatingExpensesperParticipantWomensTeam,742.0000000000001,OperatingExpensesperParticipantWomensTeam0.1
14,2003,OperatingExpensesperTeamWomensTeam,9418.6,OperatingExpensesperTeamWomensTeam0.1
15,2003,TotalOperatingExpensesMensTeamandWomensTeam,22056.8,TotalOperatingExpensesMensTeamandWomensTeam0.1
16,2003,RevenuesMensTeam,12946.000000000002,RevenuesMensTeam0.1
17,2003,RevenuesWomensTeam,9624.5,RevenuesWomensTeam0.1
18,2003,TotalRevenuesForMensTeamandWomensTeam,22718.4,TotalRevenuesForMensTeamandWomensTeam0.1
19,2003,TotalRevenuesMensTeamandMenCoedTeam,12052.000000000004,TotalRevenuesMensTeamandMenCoedTeam0.1
20,2003,TotalRevenuesWomensTeamandWomenCoedTeam,6073.2,TotalRevenuesWomensTeamandWomenCoedTeam0.1
21,2003,TotalRevenuesMensTeamWomensTeamandCoedTeam,22718.4,TotalRevenuesMensTeamWomensTeamandCoedTeam0.1
22,2003,ExpensesMensTeam,24433.2,ExpensesMensTeam0.1
23,2003,ExpensesWomensTeam,21544.500000000004,ExpensesWomensTeam0.1
24,2003,TotalExpensesMensTeamandWomensTeam,44418.9,TotalExpensesMensTeamandWomensTeam0.1
25,2003,TotalExpensesMensTeamandMenCoedTeam,23278.0,TotalExpensesMensTeamandMenCoedTeam0.1
26,2003,TotalExpensesWomensTeamandWomenCoedTeam,18747.600000000002,TotalExpensesWomensTeamandWomenCoedTeam0.1
27,2003,TotalExpensesMensTeamWomensTeamandCoedTeam,43904.8,TotalExpensesMensTeamWomensTeamandCoedTeam0.1
28,2003,UNITID,149842.0,UNITID0.25
