Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Excess Transfers Back,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,Facilities and Equipment,Coaches Compensation,Support and Admin Compensation w/Severance,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees ,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees,Total Institutional/Government Support and Student Fees,Total Football Spending,Total Football Coaching Salaries,Athletics Related Debt,"Annual Debt Service, Leases and Rental Fees on Athletic Facilities"
Appalachian State University,197869,2005,Football Championship Subdivision,,"$11,116,671 ",$0 ,"$961,765 ","$259,260 ","$80,129 ","$367,394 ","$1,026,256 ","$1,087,761 ","$2,585,754 ","$1,635,122 ","$3,113,230 ","$10,592,605 ","$566,988 ","$485,085 ","$1,173,318 ","$482,300 ","$506,416 ","$635,870 ","$691,960 ","$6,050,667 ","$6,742,628 ","$2,667,248 ","$732,603 ","$21,915,790 ","$949,194 "
Appalachian State University,197869,2006,Football Championship Subdivision,,"$12,154,286 ",$0 ,"$736,273 ","$274,709 ","$49,062 ","$319,453 ","$1,078,634 ","$1,793,690 ","$2,866,521 ","$1,806,521 ","$3,229,424 ","$12,245,317 ","$660,404 ","$722,465 ","$1,375,680 ","$1,297,677 ","$592,673 ","$874,671 ","$593,029 ","$6,128,717 ","$6,721,746 ","$2,894,267 ","$784,696 ","$21,035,991 ","$919,531 "
Appalachian State University,197869,2007,Football Championship Subdivision,,"$13,739,365 ",$0 ,"$1,771,963 ","$316,736 ","$50,968 ","$308,790 ","$1,300,020 ","$1,642,702 ","$2,993,011 ","$2,156,965 ","$3,198,210 ","$13,703,378 ","$692,190 ","$836,207 ","$1,266,752 ","$494,978 ","$812,093 ","$1,301,075 ","$1,048,532 ","$7,251,550 ","$8,300,083 ","$2,875,075 ","$919,339 ","$19,982,073 ","$1,414,967 "
Appalachian State University,197869,2008,Football Championship Subdivision,,"$17,226,076 ",$0 ,"$2,164,990 ","$542,073 ","$309,840 ","$491,059 ","$1,570,810 ","$2,393,489 ","$3,732,262 ","$2,525,469 ","$3,496,084 ","$16,623,303 ","$1,057,258 ","$1,086,470 ","$1,429,736 ","$708,566 ","$942,898 ","$1,582,277 ","$1,965,504 ","$7,850,594 ","$9,816,098 ","$4,652,128 ","$1,200,590 ","$44,697,575 ","$2,571,540 "
Appalachian State University,197869,2009,Football Championship Subdivision,,"$19,937,615 ",$0 ,"$4,210,361 ","$489,104 ","$196,436 ","$373,695 ","$1,914,308 ","$2,073,836 ","$4,175,197 ","$2,725,512 ","$3,779,165 ","$19,244,448 ","$926,683 ","$899,108 ","$957,339 ","$1,148,891 ","$910,128 ","$3,113,757 ","$1,880,591 ","$9,407,950 ","$11,288,541 ","$4,515,303 ","$1,238,992 ","$44,578,510 ","$4,476,821 "
Appalachian State University,197869,2010,Football Championship Subdivision,,"$20,112,923 ",$0 ,"$3,800,318 ","$364,690 ","$266,000 ","$381,429 ","$1,493,875 ","$2,056,006 ","$4,012,586 ","$3,132,975 ","$4,605,044 ","$19,715,760 ","$700,321 ","$895,355 ","$2,066,572 ","$666,899 ","$1,141,410 ","$3,390,408 ","$801,939 ","$10,052,854 ","$10,854,793 ","$4,812,906 ","$1,213,405 ","$62,868,178 ","$1,468,086 "
Appalachian State University,197869,2011,Football Championship Subdivision,,"$18,616,662 ",$0 ,"$1,817,452 ","$356,438 ","$247,002 ","$397,088 ","$2,056,236 ","$2,275,650 ","$4,006,561 ","$3,032,150 ","$4,428,085 ","$21,380,623 ","$1,711,147 ","$558,723 ","$3,475,999 ","$965,954 ","$1,143,910 ","$2,819,585 ","$559,679 ","$10,145,627 ","$10,705,306 ","$4,813,528 ","$1,185,946 ","$59,521,105 ","$4,238,609 "
Appalachian State University,197869,2012,Football Championship Subdivision,,"$20,345,214 ",$0 ,"$2,032,067 ","$390,710 ","$249,930 ","$432,574 ","$2,307,267 ","$2,773,592 ","$3,952,246 ","$3,528,621 ","$4,678,207 ","$22,004,629 ","$1,524,510 ","$876,917 ","$2,615,574 ","$882,152 ","$1,212,113 ","$2,802,829 ","$699,363 ","$11,391,170 ","$12,090,533 ","$4,874,558 ","$1,237,718 ","$48,931,681 ","$3,848,590 "
Appalachian State University,197869,2013,Football Championship Subdivision,,"$24,886,928 ",$0 ,"$1,997,516 ","$419,641 ","$268,847 ","$588,148 ","$2,286,307 ","$5,820,690 ","$4,850,590 ","$3,742,252 ","$4,912,936 ","$23,002,644 ","$787,017 ","$1,125,802 ","$4,225,987 ","$819,268 ","$1,288,323 ","$2,715,588 ","$570,409 ","$11,470,250 ","$12,040,659 ","$5,849,362 ","$1,744,082 ","$85,585,789 ","$4,165,786 "
Appalachian State University,197869,2014,Football Championship Subdivision,,"$22,114,141 ",$0 ,"$2,218,378 ","$467,663 ","$486,633 ","$577,169 ","$2,300,943 ","$2,358,092 ","$4,590,523 ","$3,707,533 ","$5,407,208 ","$22,222,274 ","$740,381 ","$1,151,962 ","$4,029,795 ","$924,006 ","$1,371,149 ","$2,233,852 ","$1,171,061 ","$10,600,068 ","$11,771,129 ","$5,747,839 ","$1,464,547 ","$81,838,963 ","$4,099,286 "
