,Data,IPEDSID,Year,NCAASubdivision,FBSConference,TotalExpenses,ExcessTransfersBack,OtherExpenses,Medical,CompetitionGuarantees,Recruiting,GameExpensesandTravel,FacilitiesandEquipment,CoachesCompensation,SupportandAdminCompensationw/Severance,AthleticStudentAid,TotalRevenues,OtherRevenue,"CorporateSponsorship,Advertising,Licensing",DonorContributions,CompetitionGuarantees,"NCAA/ConferenceDistributions,MediaRights,andPost-SeasonFootball",TicketSales,Institutional/GovernmentSupport,StudentFees,TotalInstitutional/GovernmentSupportandStudentFees,TotalFootballSpending,TotalFootballCoachingSalaries,AthleticsRelatedDebt,"AnnualDebtService,LeasesandRentalFeesonAthleticFacilities"
0,Appalachian State University,197869.0,2005,Football Championship Subdivision,nan,11116671.0,0.0,961765.0,259260.0,80129.0,367394.0,1026256.0,1087761.0,2585754.0,1635122.0,3113230.0,10592605.0,566988.0,485085.0,1173318.0,482300.0,506416.0,635870.0,691960.0,6050667.0,6742628.0,2667248.0,732603.0,21915790.0,949194.0
1,Appalachian State University,197869.0,2006,Football Championship Subdivision,nan,12154286.0,0.0,736273.0,274709.0,49062.0,319453.0,1078634.0,1793690.0,2866521.0,1806521.0,3229424.0,12245317.0,660404.0,722465.0,1375680.0,1297677.0,592673.0,874671.0,593029.0,6128717.0,6721746.0,2894267.0,784696.0,21035991.0,919531.0
2,Appalachian State University,197869.0,2007,Football Championship Subdivision,nan,13739365.0,0.0,1771963.0,316736.0,50968.0,308790.0,1300020.0,1642702.0,2993011.0,2156965.0,3198210.0,13703378.0,692190.0,836207.0,1266752.0,494978.0,812093.0,1301075.0,1048532.0,7251550.0,8300083.0,2875075.0,919339.0,19982073.0,1414967.0
3,Appalachian State University,197869.0,2008,Football Championship Subdivision,nan,17226076.0,0.0,2164990.0,542073.0,309840.0,491059.0,1570810.0,2393489.0,3732262.0,2525469.0,3496084.0,16623303.0,1057258.0,1086470.0,1429736.0,708566.0,942898.0,1582277.0,1965504.0,7850594.0,9816098.0,4652128.0,1200590.0,44697575.0,2571540.0
4,Appalachian State University,197869.0,2009,Football Championship Subdivision,nan,19937615.0,0.0,4210361.0,489104.0,196436.0,373695.0,1914308.0,2073836.0,4175197.0,2725512.0,3779165.0,19244448.0,926683.0,899108.0,957339.0,1148891.0,910128.0,3113757.0,1880591.0,9407950.0,11288541.0,4515303.0,1238992.0,44578510.0,4476821.0
5,Appalachian State University,197869.0,2010,Football Championship Subdivision,nan,20112923.0,0.0,3800318.0,364690.0,266000.0,381429.0,1493875.0,2056006.0,4012586.0,3132975.0,4605044.0,19715760.0,700321.0,895355.0,2066572.0,666899.0,1141410.0,3390408.0,801939.0,10052854.0,10854793.0,4812906.0,1213405.0,62868178.0,1468086.0
6,Appalachian State University,197869.0,2011,Football Championship Subdivision,nan,18616662.0,0.0,1817452.0,356438.0,247002.0,397088.0,2056236.0,2275650.0,4006561.0,3032150.0,4428085.0,21380623.0,1711147.0,558723.0,3475999.0,965954.0,1143910.0,2819585.0,559679.0,10145627.0,10705306.0,4813528.0,1185946.0,59521105.0,4238609.0
7,Appalachian State University,197869.0,2012,Football Championship Subdivision,nan,20345214.0,0.0,2032067.0,390710.0,249930.0,432574.0,2307267.0,2773592.0,3952246.0,3528621.0,4678207.0,22004629.0,1524510.0,876917.0,2615574.0,882152.0,1212113.0,2802829.0,699363.0,11391170.0,12090533.0,4874558.0,1237718.0,48931681.0,3848590.0
8,Appalachian State University,197869.0,2013,Football Championship Subdivision,nan,24886928.0,0.0,1997516.0,419641.0,268847.0,588148.0,2286307.0,5820690.0,4850590.0,3742252.0,4912936.0,23002644.0,787017.0,1125802.0,4225987.0,819268.0,1288323.0,2715588.0,570409.0,11470250.0,12040659.0,5849362.0,1744082.0,85585789.0,4165786.0
9,Appalachian State University,197869.0,2014,Football Championship Subdivision,nan,22114141.0,0.0,2218378.0,467663.0,486633.0,577169.0,2300943.0,2358092.0,4590523.0,3707533.0,5407208.0,22222274.0,740381.0,1151962.0,4029795.0,924006.0,1371149.0,2233852.0,1171061.0,10600068.0,11771129.0,5747839.0,1464547.0,81838963.0,4099286.0
10,Appalachian State University,197869.0,2015,Football Bowl Subdivision,Sun Belt Conference,35039272.0,0.0,4382364.0,142472.0,417669.0,427303.0,4053367.0,10801766.0,5038406.0,3941081.0,5834846.0,33948866.0,645340.0,1170190.0,4335575.0,1666500.0,2059630.0,1834163.0,9657270.0,12580198.0,22237468.0,6795344.0,1850770.0,52190125.0,4182946.0
11,Appalachian State University,197869.0,2016,Football Bowl Subdivision,Sun Belt Conference,35590035.0,0.0,2397778.0,146729.0,243056.0,560804.0,4455034.0,11725879.0,5383287.0,4550661.0,6126807.0,35803275.0,1060706.0,1153760.0,4359393.0,1342052.0,3190456.0,1776474.0,10237933.0,12682501.0,22920434.0,8430131.0,2165206.0,49867271.0,4126311.0
12,Appalachian State University,197869.0,2017,Football Bowl Subdivision,Sun Belt Conference,38763596.0,0.0,1876442.0,515436.0,24647.0,651740.0,4874603.0,12592169.0,6545471.0,4754857.0,6928230.0,38755918.0,991297.0,1252910.0,3226189.0,2093466.0,4942379.0,2750399.0,10445194.0,13054085.0,23499279.0,9402034.0,2678690.0,46763844.0,3391857.0
13,Appalachian State University,197869.0,2018,Football Bowl Subdivision,Sun Belt Conference,39769221.0,0.0,2069188.0,361310.0,512812.0,543076.0,4210489.0,13506897.0,6710031.0,4803622.0,7051796.0,39862980.0,913856.0,1380618.0,4966874.0,1776472.0,3080070.0,3397136.0,10839593.0,13508360.0,24347953.0,9989603.0,2938511.0,42892230.0,3525933.0
14,Appalachian State University,197869.0,2019,Football Bowl Subdivision,Sun Belt Conference,40035885.0,0.0,2028616.0,435466.0,602047.0,513123.0,4329378.0,13269305.0,6371855.0,5122829.0,7363266.0,40272310.0,778688.0,2873988.0,4304970.0,1666832.0,3878968.0,3422642.0,9886233.0,13459989.0,23346222.0,10337280.0,2598927.0,67866763.0,3524135.0
15,Appalachian State University,197869.0,2020,Football Bowl Subdivision,Sun Belt Conference,36643517.0,0.0,2070546.0,463795.0,275701.0,393870.0,4133686.0,10243869.0,6093975.0,5576827.0,7391250.0,36588196.0,1489554.0,1790277.0,4090272.0,1819467.0,2428120.0,4202314.0,6870983.0,13897208.0,20768191.0,10195722.0,2005574.0,72087797.0,3541763.0
16,Appalachian State University,197869.0,2021,Football Bowl Subdivision,Sun Belt Conference,33425114.0,0.0,1458729.0,281057.0,218874.0,132144.0,2484012.0,10607539.0,6186297.0,4828172.0,7228290.0,33202111.0,240836.0,1644137.0,8275129.0,183000.0,2951261.0,926625.0,5385166.0,13595957.0,18981123.0,9785359.0,2931081.0,76348301.0,6138151.0
