FBSConference,Year,Unnamed: 0,IPEDSID,TotalExpenses,ExcessTransfersBack,OtherExpenses,Medical,CompetitionGuarantees,Recruiting,GameExpensesandTravel,FacilitiesandEquipment,CoachesCompensation,SupportandAdminCompensationw/Severance,AthleticStudentAid,TotalRevenues,OtherRevenue,"CorporateSponsorship,Advertising,Licensing",DonorContributions,CompetitionGuarantees.1,"NCAA/ConferenceDistributions,MediaRights,andPost-SeasonFootball",TicketSales,Institutional/GovernmentSupport,StudentFees,TotalInstitutional/GovernmentSupportandStudentFees,TotalFootballSpending,TotalFootballCoachingSalaries,AthleticsRelatedDebt,"AnnualDebtService,LeasesandRentalFeesonAthleticFacilities",Rev/Exp,RevMinExp
American Athletic Conference,2014,1155.5555555555557,178615.55555555556,67756612.5,0.0,10375207.375,1131530.375,1655814.75,997485.625,8857122.75,10036040.0,14079632.5,11058183.875,9565595.5,69357333.25,3359018.75,6307672.75,10773495.125,411483.25,11144605.75,11076374.25,15675252.625,10609430.375,26284683.0,17498838.0,5473428.25,70127442.875,5912449.875,1.0236245687459655,1600720.75
American Athletic Conference,2015,1062.111111111111,180721.11111111112,58202225.71428572,0.0,5720168.714285715,834030.4285714285,1544938.4285714286,967243.2857142857,7737236.428571428,9919533.285714285,12379176.857142856,10218013.714285715,8881884.57142857,58598246.28571428,1568481.0,5708097.857142857,8743988.714285715,1112233.142857143,8278903.428571428,7049414.571428572,13549477.0,12587651.57142857,26137128.285714287,16032934.57142857,5104200.714285715,56210993.14285714,5016905.428571428,1.006804216961953,396020.5714285672
American Athletic Conference,2016,1063.111111111111,180721.11111111112,63403242.571428575,0.0,6825041.0,815164.8571428572,1239288.142857143,894241.5714285715,8919567.285714285,10900880.857142856,13039404.857142856,10864842.142857144,9904811.857142856,63053711.428571425,3930431.5714285714,6083477.428571428,7811349.571428572,843516.4285714285,8940688.142857144,7570451.428571428,15463772.714285715,12410024.0,27873796.57142857,18236388.714285713,5425710.714285715,63595398.85714286,6034544.428571428,0.9944871724429019,-349531.14285714924
American Athletic Conference,2017,1064.111111111111,180721.11111111112,63577965.14285714,0.0,6753812.428571428,896620.8571428572,1324426.857142857,1052853.0,7909379.857142857,10995027.42857143,12749053.857142856,11510798.714285715,10385992.285714285,63852029.571428575,2878229.0,6408225.714285715,8333139.285714285,837270.4285714285,8716551.57142857,7962076.428571428,16285989.57142857,12430547.57142857,28716537.285714287,17080500.42857143,4843064.571428572,65823016.571428575,4741393.285714285,1.0043106826076553,274064.4285714328
American Athletic Conference,2018,1065.111111111111,180721.11111111112,64350654.0,0.0,7483689.142857143,863847.5714285715,1424255.0,978608.0,8420560.857142856,11384571.42857143,12788349.857142856,10458191.142857144,10548580.42857143,62591748.0,2808802.1428571427,5959659.571428572,7427146.571428572,621437.2857142857,8585813.857142856,7021423.142857143,17711896.14285714,12455569.57142857,30167465.57142857,17441305.714285713,5217859.0,71214587.14285715,6936948.571428572,0.9726668512180155,-1758906.0
American Athletic Conference,2019,1066.111111111111,180721.11111111112,68830659.71428572,0.0,6659362.142857143,847607.0,1436888.5714285714,1139522.5714285714,8928487.714285715,14199061.0,14273801.285714285,10703324.142857144,10642604.857142856,70369323.0,2967337.5714285714,6468765.571428572,9131637.714285715,518608.0,7101834.142857143,7240477.571428572,24725837.57142857,14250628.5,36940662.0,19237035.85714286,6119711.0,67152426.28571428,7692869.571428572,1.0223543300631033,1538663.2857142836
American Athletic Conference,2020,1067.111111111111,180721.11111111112,68116897.0,0.0,7441867.428571428,926384.8571428572,1210051.142857143,770727.1428571428,7142953.857142857,14178750.42857143,15132694.142857144,10974245.285714285,10339222.714285715,70416947.42857143,3155614.4285714286,6526995.428571428,8952800.57142857,825751.1428571428,6319338.285714285,7291625.714285715,25599455.14285714,13702927.5,37344821.428571425,19182238.0,6725466.571428572,73506857.42857143,4759006.142857143,1.0337662243858734,2300050.428571433
American Athletic Conference,2021,1057.25,187183.75,55333169.166666664,0.0,4545332.666666667,1415663.3333333333,389474.8333333333,208693.16666666666,4300776.166666667,13127327.333333334,12395269.833333334,10071634.666666666,8878997.166666666,58052952.5,2328506.5,5111235.666666667,7595129.166666667,59428.333333333336,8750437.0,1206440.8333333333,20732734.833333332,12269040.166666666,33001775.0,16061785.833333334,6025912.833333333,73026710.33333333,5367077.5,1.049152856673385,2719783.333333336
Atlantic Coast Conference,2005,960.5,190166.25,64657809.375,0.0,10548640.375,1024593.875,2512219.125,1201979.0,5936071.0,14017958.75,9377343.0,10903213.375,9135790.75,66966338.0,5957763.125,2934853.5,17189330.125,1843628.125,15239525.25,17119719.0,839561.875,5841956.875,6681518.875,16267053.0,3545952.5714285714,67082663.666666664,4914655.0,1.0357037865543988,2308528.625
Atlantic Coast Conference,2006,961.5,190166.25,67864016.375,0.0,10089045.375,1051941.5,2368500.0,1254174.0,6698102.875,14077388.875,10732001.375,11563440.0,10029422.0,70575192.375,7416433.375,3379187.0,15783640.5,1807473.125,15804119.875,17744218.0,2033566.75,6606553.25,8640120.25,16436646.875,4405617.0,74779699.625,6135408.875,1.039950125925626,2711176.0
Atlantic Coast Conference,2007,962.5,190166.25,74171692.25,0.0,9751517.875,1118085.5,3336653.375,1256634.25,7729715.625,16715038.125,11300198.125,12515553.125,10448295.875,78789816.25,7914425.0,4229322.75,21065091.375,1641007.875,15583731.625,19988206.625,1369857.0,6998174.0,8368031.25,20647404.5,4308819.571428572,57469031.333333336,5628260.666666667,1.062262621492231,4618124.0
Atlantic Coast Conference,2008,963.5,190166.25,74269995.875,0.0,9256036.125,1093806.875,2793385.375,1302559.625,8216758.5,16129858.5,12333534.75,12786936.75,10357118.875,76671880.125,6570215.625,4728366.0,19591459.0,1622906.0,15527406.25,19858795.0,1297502.75,7475230.0,8772732.75,20118338.625,5033763.0,64322100.4,5589355.2,1.0323399001400577,2401884.25
Atlantic Coast Conference,2009,964.5,190166.25,79707304.0,0.0,10092555.0,1218215.125,3189042.625,1275695.25,8896477.25,16123182.75,13181712.25,14265855.125,11464568.25,80142170.125,4070736.625,5700203.0,19480049.625,1851749.75,17277412.75,21087130.0,2788935.0,7885953.25,10674888.25,21979045.875,5378710.25,65100656.14285714,5667219.714285715,1.0054557876527852,434866.125
