,Sport,NCAA Division I-FBS ,NCAA Division I-FCS ,NCAA Division I without football ,NCAA Division II with football ,NCAA Division II without football ,NCAA Division III with football ,NCAA Division III without football ,Other ,NAIA Division I ,NAIA Division II ,NAIA Division III ,NJCAA Division I ,NJCAA Division II ,NJCAA Division III ,NCCAA Division I ,NCCAA Division II ,CCCAA ,Independent ,NWAC ,USCAA ,Total
0,Archery ,,124948.0,,,369588.0,16046.0,,,747912.0,463269.0,,32588.0,,49878.0,,,283309.0,,,,2087538.0
1,Badminton ,,,,,,,,,,,,,,,,,9509.0,,,,9509.0
2,Baseball ,209245735.0,79982368.0,95350243.0,54347929.0,54191324.0,39139047.0,17496628.0,5485515.0,59942532.0,44691369.0,,51849751.0,14707168.0,4837209.0,813342.0,608913.0,6350623.0,,2503362.0,1104254.0,742647312.0
3,Basketball ,1083757333.0,371811920.0,432726271.0,120880641.0,108786321.0,54505212.0,23019394.0,11371667.0,93379150.0,62928121.0,,74339020.0,16164031.0,3456501.0,1275218.0,2932966.0,2960908.0,80941.0,4077175.0,2930891.0,2471383681.0
4,Beach Volleyball ,13872432.0,3480359.0,4171473.0,768928.0,811530.0,196624.0,,,1412712.0,1474312.0,,103458.0,69767.0,9000.0,,,1064869.0,,,,27435464.0
5,Bowling ,3401883.0,4960942.0,802832.0,1443342.0,1833428.0,677311.0,300533.0,,7959277.0,6691561.0,,382315.0,667334.0,202229.0,,,493401.0,,,11096.0,29827484.0
6,All Track Combined ,245788707.0,113260438.0,78138666.0,57153801.0,31618934.0,14524274.0,4778892.0,1044185.0,30877519.0,28868697.0,,8106752.0,1082079.0,114619.0,28079.0,68800.0,,,331358.0,89566.0,615875366.0
7,Diving ,1156963.0,,,,,28219.0,2364.0,,,,,,,,,,,,,,1187546.0
8,Equestrian ,19652533.0,4005062.0,277958.0,,245014.0,909493.0,696635.0,33605.0,240795.0,1191393.0,,66484.0,,28011.0,,,36149.0,,,103485.0,27486617.0
9,Fencing ,4534912.0,1320602.0,1376370.0,314514.0,255853.0,138565.0,274205.0,122562.0,,,,,,,,,,,,,8337583.0
10,Field Hockey ,31971747.0,16769213.0,14207439.0,3775939.0,1532277.0,5080213.0,3648482.0,162542.0,,,,,,,,,,,,,77147852.0
11,Football ,3259733132.0,415787884.0,,149860780.0,,67171460.0,,5263811.0,73734077.0,66177012.0,,28193688.0,2491973.0,280386.0,,,3172005.0,,1049743.0,,4072915951.0
12,Golf ,135821515.0,46765381.0,46222938.0,28172686.0,29875613.0,15498439.0,5732869.0,1874259.0,21693174.0,18213110.0,,7663173.0,2707158.0,448093.0,54302.0,57036.0,1042937.0,,479748.0,338194.0,362660625.0
13,Gymnastics ,51385839.0,5335494.0,2727651.0,2006455.0,1611788.0,1094118.0,114753.0,84062.0,170933.0,,,,,,,105489.0,,,,,64636582.0
14,Ice Hockey ,35324184.0,28735839.0,34455216.0,23073551.0,5669245.0,15132906.0,12898221.0,2860553.0,984093.0,1519884.0,,,213499.0,,,183148.0,,,,,161050339.0
15,Lacrosse ,51940866.0,59046978.0,57223793.0,27944376.0,31030554.0,36599132.0,19754917.0,5027797.0,8428989.0,12474074.0,,92918.0,433412.0,368609.0,,,,,,52596.0,310419011.0
16,Rifle ,6057098.0,987879.0,,,545002.0,134709.0,99279.0,,476862.0,294489.0,,34906.0,243618.0,20857.0,,,,,,,8894699.0
17,Rodeo ,,382252.0,,2332378.0,,,,1343717.0,1798168.0,148308.0,,10370205.0,506597.0,,,,509572.0,,245718.0,,17636915.0
18,Rowing ,61371788.0,18811951.0,19529461.0,1229976.0,4211152.0,5444834.0,1208962.0,248201.0,372748.0,,,,,,,,,,,,112429073.0
19,Sailing ,2632316.0,653816.0,393114.0,,223173.0,791137.0,739632.0,,,,,,,,,,,,,,5433188.0
20,Skiing ,1761082.0,1924944.0,2788130.0,977684.0,1845282.0,1157570.0,242712.0,225581.0,349023.0,,,,15456.0,,,,,,,92200.0,11379664.0
21,Soccer ,195001356.0,109262701.0,144737677.0,59059050.0,75418045.0,39523380.0,21719459.0,6559649.0,81228881.0,58902473.0,,25467801.0,9218560.0,2427954.0,610180.0,801888.0,1823969.0,,2609301.0,2359365.0,836731689.0
22,Softball ,122097597.0,70851715.0,53518762.0,44018138.0,37927655.0,27780214.0,12282924.0,3532471.0,33200545.0,27288462.0,,39382505.0,10017817.0,2185732.0,232549.0,148881.0,3934664.0,,1442902.0,287761.0,490131294.0
23,Squash ,1971850.0,20973.0,1019910.0,,,,317276.0,,,,,,,,,,,,,,3330009.0
24,Swimming ,15986542.0,7271738.0,4730916.0,9078320.0,8953307.0,6738282.0,3136700.0,459062.0,3796409.0,4434354.0,,201199.0,142544.0,4517.0,,,1651280.0,,282256.0,43932.0,66911358.0
25,Swimming and Diving ,102714284.0,27047413.0,28862099.0,12450092.0,4515075.0,7609043.0,1881632.0,,690082.0,2267196.0,,488722.0,128047.0,34112.0,,,533218.0,,,,189221015.0
26,Synchronized Swimming ,1263727.0,548773.0,,,,,77047.0,,,,,,,,,,,,,,1889547.0
27,Table Tennis ,,,,,,,,,,,,,,,,,,,,,
28,Team Handball ,,,,,,,,,,,,,,,,,,,,,
29,Tennis ,123013516.0,50827281.0,46985160.0,25184292.0,25830595.0,17491994.0,7669555.0,1299665.0,17930439.0,12565988.0,,4044511.0,1135619.0,165586.0,,21805.0,1569669.0,,432595.0,34482.0,336202752.0
30,Track and Field Indoor ,2892471.0,3302607.0,771430.0,2987183.0,1300118.0,4187909.0,924519.0,,6636325.0,3630755.0,,254396.0,468111.0,,,107256.0,,,,,27463080.0
31,Track and Field Outdoor ,6137860.0,13036233.0,6123812.0,9751125.0,10188648.0,16786114.0,6118220.0,416547.0,10290773.0,8801195.0,,1239752.0,1062343.0,297098.0,67005.0,115737.0,2407329.0,,557625.0,310532.0,93707948.0
32,Track and Field X-Country ,5454127.0,4815916.0,7446725.0,4031201.0,8665217.0,4199940.0,1986910.0,610632.0,9925575.0,6845592.0,,1951133.0,1587157.0,308450.0,69098.0,163336.0,336366.0,,652646.0,349086.0,59399107.0
33,Volleyball ,138570553.0,70982142.0,72481939.0,40485614.0,37199885.0,21280064.0,10060567.0,2638487.0,45357858.0,29477326.0,,21288297.0,5133831.0,1064235.0,424320.0,551785.0,975520.0,,1800572.0,311359.0,500084354.0
34,Water Polo ,11355559.0,4604193.0,7580440.0,1464775.0,1689898.0,939563.0,197147.0,62295.0,1437999.0,,,,,,,,659959.0,,,,29991828.0
35,Weight Lifting ,,,,291192.0,,,,,808317.0,1544781.0,,,,,,,,,,,2644290.0
36,Wrestling ,30319228.0,10181498.0,9298119.0,16855986.0,6250636.0,8289519.0,1224833.0,1441447.0,19798204.0,13633330.0,,2885359.0,1002856.0,290180.0,,,,,609277.0,,122080472.0
37,Other Sports ,2258085.0,2110747.0,2528664.0,5459017.0,4186130.0,2344402.0,1526748.0,2091175.0,14549960.0,12525090.0,,2647955.0,759390.0,532848.0,62663.0,,,,74949.0,156535.0,53814358.0
38,Total,5978446820.0,1549012200.0,1176477208.0,705398965.0,496781287.0,415409733.0,160132015.0,54259487.0,548219331.0,427052141.0,,281086888.0,69958367.0,17126104.0,3636756.0,5867040.0,29815256.0,80941.0,17149227.0,8575334.0,11944485100.0
39,nan,,,,,,,,,,,,,,,,,,,,,
40,nan,,,,,,,,,,,,,,,,,,,,,
41,nan,,,,,,,,,,,,,,,,,,,,,
