,Rank,Name,Pos,Rating,Followers,state,Hometown,FollowersT,NILvalue2,NILVal,basketball,womens-basketball,gender
0,1,Hansel Enmanuel,CG,86.0,4.2M,FL,Life AcademyKissimmee,4200000.0,1.5M,1500000.0,1.0,,Mens
1,2,Shaqir O'Neal,SG,,4.5M,GA,Union GroveMcDonough,4500000.0,1.1M,1100000.0,1.0,,Mens
2,3,Oscar Tshiebwe,C,97.55,128K,PA,Kennedy CatholicHermitage,128000.0,921K,921000.0,1.0,,Mens
3,4,Jalen Wilson,SF,95.78,177K,TX,GuyerDenton,177000.0,908K,908000.0,1.0,,Mens
4,5,Hunter Dickinson,C,96.29,90K,MD,DeMatha CatholicHyattsville,90000.0,872K,872000.0,1.0,,Mens
5,6,Emoni Bates,SF,99.4,486K,MI,Ypsi Prep AcademyYpsilanti,486000.0,864K,864000.0,1.0,,Mens
6,7,Brandon Miller,SF,98.54,34K,TN,Cane RidgeAntioch,34000.0,818K,818000.0,1.0,,Mens
7,8,Zach Edey,C,83.83,27K,FL,IMG AcademyBradenton,27000.0,801K,801000.0,1.0,,Mens
8,9,Armando Bacot,C,98.13,234K,FL,IMG AcademyBradenton,234000.0,732K,732000.0,1.0,,Mens
9,10,Drew Timme,C,96.51,111K,TX,PearceRichardson,111000.0,637K,637000.0,1.0,,Mens
10,11,Trayce Jackson-Davis,PF,97.07,134K,IN,Center GroveGreenwood,134000.0,613K,613000.0,1.0,,Mens
11,12,Amari Bailey,CG,98.62,571K,CA,Sierra CanyonChatsworth,571000.0,596K,596000.0,1.0,,Mens
12,13,Gradey Dick,SF,98.34,213K,KS,Sunrise ChristianWichita,213000.0,529K,529000.0,1.0,,Mens
13,14,Jahvon Quinerly,PG,98.57,445K,NJ,Hudson CatholicJersey City,445000.0,500K,500000.0,1.0,,Mens
14,15,Caleb Love,PG,98.98,407K,MO,Christian Brothers CollegeSaint Louis,407000.0,492K,492000.0,1.0,,Mens
15,16,Cason Wallace,CG,99.03,35K,TX,RichardsonRichardson,35000.0,399K,399000.0,1.0,,Mens
16,17,Kyle Filipowski,PF,99.26,32K,MA,Wilbraham & Monson AcademyWilbraham,32000.0,390K,390000.0,1.0,,Mens
17,18,Tyrese Hunter,PG,96.46,22K,WI,St CatherinesRacine,22000.0,390K,390000.0,1.0,,Mens
18,19,Marcus Sasser,PG,,26K,TX,Red OakRed Oak,26000.0,388K,388000.0,1.0,,Mens
19,20,Azuolas Tubelis,PF,,42K,us,LithuaniaVilnius,42000.0,380K,380000.0,1.0,,Mens
20,21,Kendric Davis,PG,91.43,6.9K,TX,Sam HoustonHouston,6900.0,363K,363000.0,1.0,,Mens
21,22,B. Artis-White,PG,,1.8M,MI,CantonCanton,1800000.0,331K,331000.0,1.0,,Mens
22,23,Keyonte George,SG,98.93,157K,TX,IMG AcademyDallas,157000.0,280K,280000.0,1.0,,Mens
23,24,Kihei Clark,PG,83.5,68K,CA,Taft Woodland Hills,68000.0,279K,279000.0,1.0,,Mens
24,25,Jeremy Roach,PG,98.46,67K,VA,Paul VI CatholicFairfax,67000.0,270K,270000.0,1.0,,Mens
25,26,Jaime Jaquez,SF,93.69,55K,CA,Adolfo CamarilloCamarillo,55000.0,264K,264000.0,1.0,,Mens
26,27,Noah Farrakhan,PG,86.33,340K,NJ,The Patrick SchoolHillside,340000.0,263K,263000.0,1.0,,Mens
27,28,Jett Howard,SG,96.29,38K,FL,IMG AcademyBradenton,38000.0,252K,252000.0,1.0,,Mens
28,29,Anthony Black,CG,98.5,99K,TX,DuncanvilleCoppell,99000.0,240K,240000.0,1.0,,Mens
29,30,Matthew Cleveland,SF,97.77,14.9K,GA,Pace AcademyAlpharetta,14900.0,229K,229000.0,1.0,,Mens
30,31,Jordan Hawkins,SG,95.46,8.8K,MD,DeMatha CatholicHyattsville,8800.0,219K,219000.0,1.0,,Mens
31,32,Mike Miles,PG,90.69,3.9K,TX,LancasterLancaster,3900.0,209K,209000.0,1.0,,Mens
32,33,Adam Miller,PG,97.05,152K,IL,Morgan Park HSChicago,152000.0,208K,208000.0,1.0,,Mens
33,34,Keyontae Johnson,SF,94.72,6.6K,WV,Oak HillOak Hill,6600.0,207K,207000.0,1.0,,Mens
34,35,Skyy Clark,PG,96.67,272K,CA,Montverde AcademyLos Angeles,272000.0,206K,206000.0,1.0,,Mens
35,36,Jarace Walker,PF,98.64,46K,FL,IMG AcademyBradenton,46000.0,204K,204000.0,1.0,,Mens
36,37,Terrence Shannon,SF,93.74,46K,FL,IMG AcademyBradenton,46000.0,195K,195000.0,1.0,,Mens
37,38,Zion Harmon,PG,94.69,251K,KY,Marshall CountyBenton,251000.0,193K,193000.0,1.0,,Mens
38,39,Julian Strawther,SF,95.27,40K,NV,LibertyHenderson,40000.0,190K,190000.0,1.0,,Mens
39,40,Cam Whitmore,SF,98.77,37K,MD,Archbishop SpaldingSevern,37000.0,190K,190000.0,1.0,,Mens
40,41,Julian Phillips,SF,98.56,14.6K,SC,Link Year PrepBlythewood,14600.0,176K,176000.0,1.0,,Mens
41,42,Tyger Campbell,PG,92.77,74K,IN,La Lumiere SchoolLa Porte,74000.0,170K,170000.0,1.0,,Mens
42,43,Harrison Ingram,SF,98.0,21K,TX,St. Mark'sDallas,21000.0,169K,169000.0,1.0,,Mens
43,44,Allen Flanigan,SF,86.23,6.8K,AR,Parkview MagnetLittle Rock,6800.0,167K,167000.0,1.0,,Mens
44,45,R.J. Davis,SG,96.07,160K,NY,Archbishop StepinacWhite Plains,160000.0,167K,167000.0,1.0,,Mens
45,46,Matthew Mayer,SF,93.1,8.5K,TX,WestlakeAustin,8500.0,165K,165000.0,1.0,,Mens
46,47,Coleman Hawkins,PF,89.87,77K,CA,Prolific PrepAntelope,77000.0,149K,149000.0,1.0,,Mens
47,48,Ronaldo Segu,PG,86.49,187K,FL,Orlando Christian PrepOrlando,187000.0,145K,145000.0,1.0,,Mens
48,49,MJ Rice,SF,97.39,65K,VA,Prolific PrepMouth Of Wilson,65000.0,144K,144000.0,1.0,,Mens
49,50,Leaky Black,SF,94.78,104K,NC,Cox MillConcord,104000.0,134K,134000.0,1.0,,Mens
50,51,Jacob Toppin,SF,,81K,CT,Woodstock AcademyWoodstock,81000.0,133K,133000.0,1.0,,Mens
51,52,Kerr Kriisa,PG,,29K,tu,EstoniaTartu,29000.0,133K,133000.0,1.0,,Mens
52,53,Doug Edert,PG,,256K,NJ,Bergen CatholicNutley,256000.0,132K,132000.0,1.0,,Mens
53,54,Cliff Omoruyi,C,96.04,25K,NJ,Roselle CatholicRoselle,25000.0,132K,132000.0,1.0,,Mens
54,55,Colin Castleton,C,,16.2K,FL,Father Lopez CatholicDaytona Beach,16200.0,127K,127000.0,1.0,,Mens
55,56,Oumar Ballo,C,,18K,li,NBA Academy Latin AmericaMali,18000.0,127K,127000.0,1.0,,Mens
56,57,AJ Hoggard,PG,94.3,41K,PA,Huntington PrepWayne,41000.0,123K,123000.0,1.0,,Mens
57,58,JJ Starling,CG,98.34,13.2K,NY,La Lumiere SchoolBaldwinsville,13200.0,119K,119000.0,1.0,,Mens
58,59,Sahvir Wheeler,PG,92.88,42K,TX,Houston ChristianHouston,42000.0,119K,119000.0,1.0,,Mens
59,60,Cam'Ron Fletcher,SF,95.19,142K,MO,VashonSaint Louis,142000.0,117K,117000.0,1.0,,Mens
60,61,Caleb Daniels,SG,,11.9K,LA,St. AugustineNew Orleans,11900.0,116K,116000.0,1.0,,Mens
61,62,Hercy Miller,PG,,167K,MN,Minnehaha AcademyMinneapolis,167000.0,115K,115000.0,1.0,,Mens
62,63,Dajuan Harris,CG,91.27,36K,MO,Rock BridgeColumbia,36000.0,115K,115000.0,1.0,,Mens
