,Name,Pos,Rating,Followers,state,Hometown,FollowersT,NILvalue2,NILVal
0,Bronny James2023,CG,95.61,12.4M,OH,Sierra Canyon(Cleveland,12400000.0,7.5M,7500000.0
1,Mikey Williams2023,CG,96.87,5.9M,CA,San Ysidro(San Diego,5900000.0,3.6M,3600000.0
2,Bryce Young2020,QB,99.51,330K,CA,Mater Dei(Santa Ana,330000.0,3.5M,3500000.0
3,Arch Manning2023,QB,99.17,213K,LA,Isidore Newman(New Orleans,213000.0,3.5M,3500000.0
4,Caleb Williams2021,QB,98.76,241K,DC,Gonzaga (Washington,241000.0,3.2M,3200000.0
5,Livvy Dunne2020,All,96.3,9.1M,NJ,Pascack Valley(Westwood,9100000.0,2.6M,2600000.0
6,CJ Stroud2020,QB,97.82,232K,CA,Rancho Cucamonga(Rancho Cucamonga,232000.0,2.4M,2400000.0
7,Bijan Robinson2020,RB,97.7,212K,AZ,Salpointe Catholic(Tucson,212000.0,1.7M,1700000.0
8,Will Anderson2020,EDGE,86.0,110K,GA,Dutchtown(Hampton,110000.0,1.7M,1700000.0
9,Hansel Enmanuel2022,CG,95.08,4.2M,FL,Life Academy(Kissimmee,4200000.0,1.5M,1500000.0
10,Sunisa Lee2021,All,89.16,3.5M,MN,South St. Paul(Saint Paul,3500000.0,1.5M,1500000.0
11,Marvin Harrison Jr.2021,WR,81.72,215K,PA,St. Joseph's Prep School(Philadelphia,215000.0,1.5M,1500000.0
12,Shedeur Sanders2021,QB,91.15,1.2M,TX,Trinity Christian School(Cedar Hill,1200000.0,1.5M,1500000.0
13,Stetson Bennett IV2017,QB,93.42,139K,GA,Pierce County(Blackshear,139000.0,1.3M,1300000.0
14,Jordan Addison2020,WR,98.33,47K,MD,Tuscarora(Frederick,47000.0,1.2M,1200000.0
15,Blake Corum2020,RB,89.26,161K,MD,St. Frances Academy(Laurel,161000.0,1.2M,1200000.0
16,Nico Iamaleava2023,QB,95.28,310K,CA,Warren(Long Beach,310000.0,1.1M,1100000.0
17,Hendon Hooker2017,QB,97.85,170K,NC,Dudley(Greensboro,170000.0,1.1M,1100000.0
18,Brock Bowers2021,TE,96.11,79K,CA,Napa(Napa,79000.0,1.1M,1100000.0
19,Shaqir O'Neal2021,SG,96.86,4.5M,GA,Union Grove(McDonough,4500000.0,1.1M,1100000.0
20,Bryce James2025,SG,98.43,2.5M,OH,Sierra Canyon(Cleveland,2500000.0,1.1M,1100000.0
21,Jared McCain2023,SG,97.55,2.3M,CA,Centennial(Corona,2300000.0,1M,1000000.0
22,Drake Maye2021,QB,95.78,54K,NC,Myers Park(Charlotte,54000.0,994K,994000.0
23,Kayshon Boutte2020,WR,98.2,96K,LA,Westgate(New Iberia,96000.0,983K,983000.0
24,Evan Stewart2022,WR,97.85,2.4M,TX,Liberty(Frisco,2400000.0,927K,927000.0
25,Oscar Tshiebwe2019,C,96.4,128K,PA,Kennedy Catholic(Hermitage,128000.0,921K,921000.0
26,Jalen Wilson2019,SF,96.29,177K,TX,Guyer(Denton,177000.0,908K,908000.0
27,Jalen Carter2020,DL,99.4,28K,FL,Apopka(Apopka,28000.0,894K,894000.0
28,Spencer Rattler2019,QB,97.14,597K,AZ,Pinnacle(Phoenix,597000.0,884K,884000.0
29,Michael Mayer2020,TE,92.14,53K,KY,Covington Catholic(Alexandria,53000.0,875K,875000.0
30,Hunter Dickinson2020,C,98.54,90K,MD,DeMatha Catholic(Hyattsville,90000.0,872K,872000.0
31,Emoni Bates2021,SF,91.55,486K,MI,Ypsi Prep Academy(Ypsilanti,486000.0,864K,864000.0
32,Drew Sanders2020,LB,83.83,24K,TX,Ryan(Denton,24000.0,856K,856000.0
33,Jalin Hyatt2020,WR,98.99,136K,SC,Dutch Fork(Irmo,136000.0,830K,830000.0
34,Paige Bueckers2020,CG,97.83,1.5M,MN,Hopkins (Hopkins,1500000.0,824K,824000.0
35,Brandon Miller2022,SF,98.78,34K,TN,Cane Ridge(Antioch,34000.0,818K,818000.0
36,Isaiah Foskey2019,EDGE,99.24,23K,CA,De La Salle(Concord,23000.0,817K,817000.0
37,Hanna Cavinder2019,PG,85.63,4.6M,AZ,Gilbert(Gilbert,4600000.0,815K,815000.0
38,Haley Cavinder2019,PG,98.41,4.6M,AZ,Gilbert(Gilbert,4600000.0,808K,808000.0
39,Zach Edey2020,C,82.76,27K,FL,IMG Academy(Bradenton,27000.0,801K,801000.0
40,Malachi Nelson2023,QB,98.39,154K,CA,Los Alamitos(Los Alamitos,154000.0,797K,797000.0
41,Ga'Quincy McKinstry2021,CB,98.13,154K,AL,Pinson Valley(Pinson,154000.0,796K,796000.0
42,Robert Dillingham2023,CG,95.96,401K,NC,Overtime Elite(Charlotte,401000.0,784K,784000.0
43,Quinn Ewers2021,QB,96.61,209K,TX,Southlake Carroll(Southlake,209000.0,779K,779000.0
44,Sam Hartman2018,QB,94.62,97K,SC,Oceanside Collegiate Academy(Mount Pleasant,97000.0,772K,772000.0
45,Harold Perkins2022,LB,99.56,57K,TX,Cy Park(Cypress,57000.0,765K,765000.0
46,Nathaniel Dell2018,WR,96.08,123K,FL,Mainland(Daytona Beach,123000.0,752K,752000.0
47,Dante Moore2023,QB,89.42,58K,MI,Martin Luther King(Detroit,58000.0,732K,732000.0
48,Armando Bacot2019,C,95.76,234K,FL,IMG Academy(Bradenton,234000.0,732K,732000.0
49,Dorian Thompson-Robinson2018,QB,94.82,768K,NV,Bishop Gorman(Las Vegas,768000.0,712K,712000.0
50,Bo Nix2019,QB,91.5,176K,AL,Scottsboro Sch(Pinson,176000.0,690K,690000.0
51,Jahmyr Gibbs2020,RB,96.51,77K,GA,Dalton(Dalton,77000.0,682K,682000.0
