,Name,Pos,Rating,Followers,state,Hometown,FollowersT,NILvalue2,NILVal
0,Bryce Young,QB,99.51,315K,CA,Mater DeiSanta Ana,315000.0,3.4M,3400000.0
1,Caleb Williams,QB,98.76,203K,DC,Gonzaga Washington,203000.0,2.5M,2500000.0
2,CJ Stroud,QB,96.3,218K,CA,Rancho CucamongaRancho Cucamonga,218000.0,2.4M,2400000.0
3,Will Anderson,EDGE,97.7,102K,GA,DutchtownHampton,102000.0,1.7M,1700000.0
4,Bijan Robinson,RB,97.82,190K,AZ,Salpointe CatholicTucson,190000.0,1.7M,1700000.0
5,Marvin Harrison Jr.,WR,95.08,192K,PA,St. Joseph's Prep SchoolPhiladelphia,192000.0,1.5M,1500000.0
6,Shedeur Sanders,QB,89.16,1.1M,TX,Trinity Christian SchoolCedar Hill,1100000.0,1.4M,1400000.0
7,Jordan Addison,WR,91.15,46K,MD,TuscaroraFrederick,46000.0,1.2M,1200000.0
8,Hendon Hooker,QB,89.26,164K,NC,DudleyGreensboro,164000.0,1.1M,1100000.0
9,Brock Bowers,TE,95.28,74K,CA,NapaNapa,74000.0,1.1M,1100000.0
10,Kayshon Boutte,WR,96.86,87K,LA,WestgateNew Iberia,87000.0,972K,972000.0
11,Evan Stewart,WR,98.43,2.4M,TX,LibertyFrisco,2400000.0,926K,926000.0
12,Drake Maye,QB,96.11,47K,NC,Myers ParkCharlotte,47000.0,926K,926000.0
13,Jalen Carter,DL,98.2,23K,FL,ApopkaApopka,23000.0,888K,888000.0
14,Spencer Rattler,QB,97.85,595K,AZ,PinnaclePhoenix,595000.0,883K,883000.0
15,Michael Mayer,TE,96.4,50K,KY,Covington CatholicAlexandria,50000.0,870K,870000.0
16,Stetson Bennett IV,QB,81.72,123K,GA,Pierce CountyBlackshear,123000.0,866K,866000.0
17,Drew Sanders,LB,97.14,24K,TX,RyanDenton,24000.0,856K,856000.0
18,Blake Corum,RB,93.42,142K,MD,St. Frances AcademyLaurel,142000.0,844K,844000.0
19,Isaiah Foskey,EDGE,91.55,23K,CA,De La SalleConcord,23000.0,817K,817000.0
20,Bo Nix,QB,96.61,173K,AL,Scottsboro SchPinson,173000.0,816K,816000.0
21,Jalin Hyatt,WR,92.14,127K,SC,Dutch ForkIrmo,127000.0,816K,816000.0
22,Ga'Quincy McKinstry,CB,97.83,153K,AL,Pinson ValleyPinson,153000.0,794K,794000.0
23,Quinn Ewers,QB,99.24,209K,TX,Southlake CarrollSouthlake,209000.0,780K,780000.0
24,Sam Hartman,QB,85.63,97K,SC,Oceanside Collegiate AcademyMount Pleasant,97000.0,772K,772000.0
25,Harold Perkins,LB,98.41,55K,TX,Cy ParkCypress,55000.0,762K,762000.0
