,Pos,Rating,Followers,year,name,state,Hometown,FollowersT,NILvalue2,NILVal
0,QB,98.98,204K,2023,Arch Manning,LA,Isidore NewmanNew Orleans,204000.0,3.4M,3400000.0
1,QB,98.11,302K,2023,Nico Iamaleava,CA,WarrenLong Beach,302000.0,1.1M,1100000.0
2,QB,98.82,152K,2023,Malachi Nelson,CA,Los AlamitosLos Alamitos,152000.0,794K,794000.0
3,QB,98.24,55K,2023,Dante Moore,MI,Martin Luther KingDetroit,55000.0,735K,735000.0
4,QB,98.14,31K,2023,Jackson Arnold,TX,GuyerDenton,31000.0,614K,614000.0
5,QB,96.11,25K,2023,Christopher Vizzina,AL,Briarwood ChristianBirmingham,25000.0,538K,538000.0
6,QB,95.14,39K,2023,Jaden Rashada,CA,PittsburgPittsburg,39000.0,471K,471000.0
7,WR,98.65,144K,2023,Zachariah Branch,NV,Bishop GormanLas Vegas,144000.0,443K,443000.0
8,CB,98.83,51K,2023,Cormani McClain,FL,LakelandLakeland,51000.0,362K,362000.0
9,QB,94.55,9.3K,2023,Eli Holstein,LA,ZacharyZachary,9300.0,354K,354000.0
10,S,98.08,67K,2023,Caleb Downs,GA,Mill CreekHoschton,67000.0,342K,342000.0
11,WR,96.84,95K,2023,Brandon Inniss,FL,American HeritageMiami Gardens,95000.0,336K,336000.0
12,QB,94.06,9.1K,2023,Dylan Lonergan,GA,BrookwoodSnellville,9100.0,334K,334000.0
13,DL,98.5,21K,2023,David Hicks,TX,PaetowKaty,21000.0,321K,321000.0
14,ATH,97.89,49K,2023,Nyckoles Harbor,DC,Archbishop CarrollWashington,49000.0,310K,310000.0
15,OT,98.53,18.8K,2023,Francis Mauigoa,FL,IMG AcademyBradenton,18800.0,307K,307000.0
16,WR,95.9,189K,2023,Johntay Cook II,TX,DeSotoDeSoto,189000.0,285K,285000.0
17,RB,96.32,41K,2023,Richard Young,FL,Lehigh SeniorLehigh Acres,41000.0,275K,275000.0
18,S,96.27,16.3K,2023,Derek Williams,LA,WestgateNew Iberia,16300.0,275K,275000.0
19,QB,98.95,14.9K,2024,Dylan Raiola,AZ,ChandlerChandler,14900.0,270K,270000.0
20,EDGE,98.14,20K,2023,Keon Keeley,FL,Berkeley PrepTampa,20000.0,260K,260000.0
21,S,97.14,12K,2023,Peyton Bowen,TX,GuyerDenton,12000.0,259K,259000.0
22,WR,97.43,19.4K,2023,Jurrion Dickey,CA,Menlo-AthertonPalo Alto,19400.0,252K,252000.0
23,QB,93.96,68K,2023,Avery Johnson,KS,MaizeMaize,68000.0,247K,247000.0
24,RB,96.4,44K,2023,Rueben Owens,TX,El CampoEl Campo,44000.0,245K,245000.0
25,LB,97.42,27K,2023,Anthony Hill,TX,RyanDenton,27000.0,243K,243000.0
26,CB,97.64,25K,2023,Desmond Ricks,VA,IMG AcademyChesapeake,25000.0,241K,241000.0
27,OT,98.07,27K,2023,Kadyn Proctor,IA,Southeast PolkDes Moines,27000.0,239K,239000.0
28,WR,96.29,13.3K,2023,Shelton Sampson Jr.,LA,CatholicBaton Rouge,13300.0,237K,237000.0
29,S,96.24,28K,2023,Tony Mitchell,AL,ThompsonAlabaster,28000.0,234K,234000.0
30,WR,96.5,20K,2023,Hykeem Williams,FL,StranahanFort Lauderdale,20000.0,231K,231000.0
