,Sport,MaleTeams,FemaleTeams,Coed Teams ,Total,TotalParticpants
0,Archery ,7.0,6.0,6.0,19.0,232.0
1,Badminton ,0.0,1.0,0.0,1.0,6.0
2,Baseball ,1520.0,0.0,0.0,1520.0,61568.0
3,Basketball ,1457.0,1419.0,0.0,2876.0,48215.0
4,Beach Volleyball ,0.0,120.0,0.0,120.0,1995.0
5,Bowling ,91.0,159.0,1.0,251.0,2689.0
6,All Track Combined ,612.0,673.0,0.0,1285.0,95882.0
7,Diving ,3.0,5.0,0.0,8.0,22.0
8,Equestrian ,0.0,32.0,10.0,42.0,1250.0
9,Fencing ,19.0,24.0,1.0,44.0,767.0
10,Field Hockey ,0.0,183.0,0.0,183.0,3992.0
11,Football ,629.0,0.0,0.0,629.0,68351.0
12,Golf ,1090.0,890.0,1.0,1981.0,17419.0
13,Gymnastics ,12.0,87.0,0.0,99.0,2079.0
14,Ice Hockey ,111.0,77.0,0.0,188.0,5035.0
15,Lacrosse ,412.0,511.0,0.0,923.0,28424.0
16,Rifle ,1.0,8.0,29.0,38.0,443.0
17,Rodeo ,56.0,57.0,11.0,124.0,1948.0
18,Rowing ,59.0,129.0,0.0,188.0,7517.0
19,Sailing ,2.0,12.0,19.0,33.0,771.0
20,Skiing ,27.0,26.0,0.0,53.0,559.0
21,Soccer ,1043.0,1221.0,0.0,2264.0,64084.0
22,Softball ,0.0,1491.0,0.0,1491.0,32321.0
23,Squash ,5.0,4.0,0.0,9.0,112.0
24,Swimming ,207.0,238.0,0.0,445.0,6822.0
25,Swimming and Diving ,198.0,265.0,0.0,463.0,12008.0
26,Synchronized Swimming ,0.0,4.0,0.0,4.0,58.0
27,Table Tennis ,0.0,0.0,0.0,0.0,0.0
28,Team Handball ,0.0,0.0,0.0,0.0,0.0
29,Tennis ,800.0,954.0,1.0,1755.0,17238.0
30,"Track and Field, Indoor ",153.0,161.0,0.0,314.0,8607.0
31,"Track and Field, Outdoor ",441.0,466.0,0.0,907.0,22672.0
32,"Track and Field, X-Country ",420.0,417.0,0.0,837.0,8336.0
33,Volleyball ,182.0,1292.0,0.0,1474.0,25077.0
34,Water Polo ,41.0,58.0,0.0,99.0,1923.0
35,Weight Lifting ,7.0,7.0,2.0,16.0,185.0
36,Wrestling ,306.0,65.0,1.0,372.0,9957.0
37,Other Sports ,47.0,118.0,123.0,288.0,7788.0
