,Sport,Total,Women,Men,Coed
0,Archery ,2087538.0,711027.0,577435.0,799076.0
1,Badminton ,9509.0,9509.0,,
2,Baseball ,742647312.0,,742647312.0,
3,Basketball ,2471383681.0,870200174.0,1601183507.0,
4,Beach Volleyball ,27435464.0,27435464.0,,
5,Bowling ,29827484.0,20343768.0,9472760.0,10956.0
6,All Track Combined ,615875366.0,354606962.0,261268404.0,
7,Diving ,1187546.0,374179.0,813367.0,
8,Equestrian ,27486617.0,25222264.0,,2264353.0
9,Fencing ,8337583.0,5199422.0,3112901.0,25260.0
10,Field Hockey ,77147852.0,77147852.0,,
11,Football ,4072915951.0,,4072915951.0,
12,Golf ,362660625.0,171794631.0,190832764.0,33230.0
13,Gymnastics ,64636582.0,60339659.0,4296923.0,
14,Ice Hockey ,161050339.0,49428347.0,111621992.0,
15,Lacrosse ,310419011.0,162757282.0,147661729.0,
16,Rifle ,8894699.0,1968113.0,22917.0,6903669.0
17,Rodeo ,17636915.0,6560564.0,8434749.0,2641602.0
18,Rowing ,112429073.0,89888993.0,22540080.0,
19,Sailing ,5433188.0,2502146.0,228036.0,2703006.0
20,Skiing ,11379664.0,5806647.0,5573017.0,
21,Soccer ,836731689.0,485707753.0,351023936.0,
22,Softball ,490131294.0,490131294.0,,
23,Squash ,3330009.0,1584051.0,1745958.0,
24,Swimming ,66911358.0,40495539.0,26415819.0,
25,Swimming and Diving ,189221015.0,123351279.0,65869736.0,
26,Synchronized Swimming ,1889547.0,1889547.0,,
27,Table Tennis ,,,,
28,Team Handball ,,,,
29,Tennis ,336202752.0,197958580.0,138235977.0,8195.0
30,Track and Field Indoor ,27463080.0,15493591.0,11969489.0,
31,Track and Field Outdoor ,93707948.0,49264884.0,44443064.0,
32,Track and Field X-Country ,59399107.0,28121652.0,31277455.0,
33,Volleyball ,500084354.0,463361046.0,36723308.0,
34,Water Polo ,29991828.0,19432927.0,10558901.0,
35,Weight Lifting ,2644290.0,1007393.0,1156838.0,480059.0
36,Wrestling ,122080472.0,12791700.0,109217196.0,71576.0
37,Other Sports ,53814358.0,22150514.0,7791329.0,23872515.0
38,Total,11944485100.0,3885038753.0,8019632850.0,39813497.0
