,Wk,TxG,TG
0,1.0,1.9,2.0
1,1.0,3.3,4.0
2,1.0,1.1,2.0
3,1.0,2.0,5.0
4,1.0,1.9,3.0
5,1.0,2.4,2.0
6,1.0,2.1,1.0
7,1.0,1.1,4.0
8,1.0,3.3,3.0
9,1.0,2.6999999999999997,2.0
11,2.0,3.0999999999999996,3.0
12,2.0,3.2,6.0
13,2.0,1.7000000000000002,4.0
14,2.0,3.1,4.0
15,2.0,1.9,0.0
16,2.0,1.2,0.0
17,2.0,2.6,4.0
18,2.0,3.5,1.0
19,2.0,2.5,4.0
20,2.0,3.2,2.0
22,3.0,2.3,1.0
23,3.0,2.8,2.0
24,3.0,4.3,4.0
25,3.0,1.0,3.0
26,3.0,3.4,5.0
27,3.0,2.1,3.0
28,3.0,2.3,2.0
29,3.0,2.5999999999999996,3.0
30,3.0,4.5,6.0
31,3.0,3.2,3.0
33,4.0,2.7,1.0
34,4.0,3.3,1.0
35,4.0,3.8,9.0
36,4.0,4.3,2.0
37,4.0,3.5999999999999996,3.0
38,4.0,2.6,6.0
39,4.0,3.5,3.0
40,4.0,2.8,2.0
41,4.0,1.0,1.0
42,4.0,3.7,2.0
44,5.0,2.3,2.0
45,5.0,3.0999999999999996,3.0
46,5.0,2.0,3.0
47,5.0,2.4,2.0
48,5.0,2.9000000000000004,3.0
49,5.0,4.1000000000000005,6.0
50,5.0,2.0,0.0
51,5.0,1.8,2.0
52,5.0,2.3,3.0
53,5.0,1.7000000000000002,1.0
55,6.0,3.3000000000000003,0.0
56,6.0,3.8000000000000003,0.0
57,6.0,1.7,1.0
58,6.0,1.6,3.0
59,6.0,4.4,7.0
60,6.0,3.1,3.0
61,6.0,2.2,5.0
62,6.0,1.5999999999999999,2.0
63,6.0,4.1,7.0
64,6.0,3.1,4.0
77,8.0,1.2000000000000002,1.0
78,8.0,2.5999999999999996,5.0
79,8.0,1.9,3.0
80,8.0,2.6,2.0
82,8.0,3.4,8.0
83,8.0,1.5,3.0
85,8.0,1.2000000000000002,1.0
88,9.0,4.1,4.0
89,9.0,4.0,3.0
90,9.0,2.0999999999999996,3.0
91,9.0,3.2,6.0
92,9.0,3.9,5.0
93,9.0,1.7,0.0
94,9.0,1.7,2.0
95,9.0,4.4,9.0
96,9.0,1.8,0.0
97,9.0,2.3,4.0
99,10.0,2.3,3.0
100,10.0,2.5,4.0
101,10.0,3.1,3.0
102,10.0,3.6,6.0
103,10.0,1.2999999999999998,1.0
104,10.0,1.8,3.0
105,10.0,3.8,4.0
106,10.0,3.4000000000000004,5.0
107,10.0,1.7000000000000002,3.0
108,10.0,0.8,2.0
110,11.0,2.6,2.0
111,11.0,1.2,0.0
112,11.0,2.8,4.0
113,11.0,2.4,1.0
114,11.0,2.6,2.0
115,11.0,2.0,0.0
116,11.0,2.7,2.0
117,11.0,2.2,2.0
118,11.0,2.7,1.0
119,11.0,3.0,1.0
