,Wk,GvxG,0
0,1.0,TxG,1.9
1,1.0,TG,2.0
2,1.0,TxG,3.3
3,1.0,TG,4.0
4,1.0,TxG,1.1
5,1.0,TG,2.0
6,1.0,TxG,2.0
7,1.0,TG,5.0
8,1.0,TxG,1.9
9,1.0,TG,3.0
10,1.0,TxG,2.4
11,1.0,TG,2.0
12,1.0,TxG,2.1
13,1.0,TG,1.0
14,1.0,TxG,1.1
15,1.0,TG,4.0
16,1.0,TxG,3.3
17,1.0,TG,3.0
18,1.0,TxG,2.6999999999999997
19,1.0,TG,2.0
20,2.0,TxG,3.0999999999999996
21,2.0,TG,3.0
22,2.0,TxG,3.2
23,2.0,TG,6.0
24,2.0,TxG,1.7000000000000002
25,2.0,TG,4.0
26,2.0,TxG,3.1
27,2.0,TG,4.0
28,2.0,TxG,1.9
29,2.0,TG,0.0
30,2.0,TxG,1.2
31,2.0,TG,0.0
32,2.0,TxG,2.6
33,2.0,TG,4.0
34,2.0,TxG,3.5
35,2.0,TG,1.0
36,2.0,TxG,2.5
37,2.0,TG,4.0
38,2.0,TxG,3.2
39,2.0,TG,2.0
40,3.0,TxG,2.3
41,3.0,TG,1.0
42,3.0,TxG,2.8
43,3.0,TG,2.0
44,3.0,TxG,4.3
45,3.0,TG,4.0
46,3.0,TxG,1.0
47,3.0,TG,3.0
48,3.0,TxG,3.4
49,3.0,TG,5.0
50,3.0,TxG,2.1
51,3.0,TG,3.0
52,3.0,TxG,2.3
53,3.0,TG,2.0
54,3.0,TxG,2.5999999999999996
55,3.0,TG,3.0
56,3.0,TxG,4.5
57,3.0,TG,6.0
58,3.0,TxG,3.2
59,3.0,TG,3.0
60,4.0,TxG,2.7
61,4.0,TG,1.0
62,4.0,TxG,3.3
63,4.0,TG,1.0
64,4.0,TxG,3.8
65,4.0,TG,9.0
66,4.0,TxG,4.3
67,4.0,TG,2.0
68,4.0,TxG,3.5999999999999996
69,4.0,TG,3.0
70,4.0,TxG,2.6
71,4.0,TG,6.0
72,4.0,TxG,3.5
73,4.0,TG,3.0
74,4.0,TxG,2.8
75,4.0,TG,2.0
76,4.0,TxG,1.0
77,4.0,TG,1.0
78,4.0,TxG,3.7
79,4.0,TG,2.0
80,5.0,TxG,2.3
81,5.0,TG,2.0
82,5.0,TxG,3.0999999999999996
83,5.0,TG,3.0
84,5.0,TxG,2.0
85,5.0,TG,3.0
86,5.0,TxG,2.4
87,5.0,TG,2.0
88,5.0,TxG,2.9000000000000004
89,5.0,TG,3.0
90,5.0,TxG,4.1000000000000005
91,5.0,TG,6.0
92,5.0,TxG,2.0
93,5.0,TG,0.0
94,5.0,TxG,1.8
95,5.0,TG,2.0
96,5.0,TxG,2.3
97,5.0,TG,3.0
98,5.0,TxG,1.7000000000000002
99,5.0,TG,1.0
100,6.0,TxG,3.3000000000000003
101,6.0,TG,0.0
102,6.0,TxG,3.8000000000000003
103,6.0,TG,0.0
104,6.0,TxG,1.7
105,6.0,TG,1.0
106,6.0,TxG,1.6
107,6.0,TG,3.0
108,6.0,TxG,4.4
109,6.0,TG,7.0
110,6.0,TxG,3.1
111,6.0,TG,3.0
112,6.0,TxG,2.2
113,6.0,TG,5.0
114,6.0,TxG,1.5999999999999999
115,6.0,TG,2.0
116,6.0,TxG,4.1
117,6.0,TG,7.0
118,6.0,TxG,3.1
119,6.0,TG,4.0
120,8.0,TxG,1.2000000000000002
121,8.0,TG,1.0
122,8.0,TxG,2.5999999999999996
123,8.0,TG,5.0
124,8.0,TxG,1.9
125,8.0,TG,3.0
126,8.0,TxG,2.6
127,8.0,TG,2.0
128,8.0,TxG,3.4
129,8.0,TG,8.0
130,8.0,TxG,1.5
131,8.0,TG,3.0
132,8.0,TxG,1.2000000000000002
133,8.0,TG,1.0
134,9.0,TxG,4.1
135,9.0,TG,4.0
136,9.0,TxG,4.0
137,9.0,TG,3.0
138,9.0,TxG,2.0999999999999996
139,9.0,TG,3.0
140,9.0,TxG,3.2
141,9.0,TG,6.0
142,9.0,TxG,3.9
143,9.0,TG,5.0
144,9.0,TxG,1.7
145,9.0,TG,0.0
146,9.0,TxG,1.7
147,9.0,TG,2.0
148,9.0,TxG,4.4
149,9.0,TG,9.0
150,9.0,TxG,1.8
151,9.0,TG,0.0
152,9.0,TxG,2.3
153,9.0,TG,4.0
154,10.0,TxG,2.3
155,10.0,TG,3.0
156,10.0,TxG,2.5
157,10.0,TG,4.0
158,10.0,TxG,3.1
159,10.0,TG,3.0
160,10.0,TxG,3.6
161,10.0,TG,6.0
162,10.0,TxG,1.2999999999999998
163,10.0,TG,1.0
164,10.0,TxG,1.8
165,10.0,TG,3.0
166,10.0,TxG,3.8
167,10.0,TG,4.0
168,10.0,TxG,3.4000000000000004
169,10.0,TG,5.0
170,10.0,TxG,1.7000000000000002
171,10.0,TG,3.0
172,10.0,TxG,0.8
173,10.0,TG,2.0
174,11.0,TxG,2.6
175,11.0,TG,2.0
176,11.0,TxG,1.2
177,11.0,TG,0.0
178,11.0,TxG,2.8
179,11.0,TG,4.0
180,11.0,TxG,2.4
181,11.0,TG,1.0
182,11.0,TxG,2.6
183,11.0,TG,2.0
184,11.0,TxG,2.0
185,11.0,TG,0.0
186,11.0,TxG,2.7
187,11.0,TG,2.0
188,11.0,TxG,2.2
189,11.0,TG,2.0
190,11.0,TxG,2.7
191,11.0,TG,1.0
192,11.0,TxG,3.0
193,11.0,TG,1.0
