,Wk,GvxG,Count
0,1.0,TxG,2.2
1,1.0,TG,2.0
2,1.0,TxG,2.4
3,1.0,TG,4.0
4,1.0,TxG,2.0
5,1.0,TG,5.0
6,1.0,TxG,2.0
7,1.0,TG,2.0
8,1.0,TxG,2.1
9,1.0,TG,3.0
10,1.0,TxG,1.2999999999999998
11,1.0,TG,2.0
12,1.0,TxG,2.2
13,1.0,TG,1.0
14,1.0,TxG,1.4
15,1.0,TG,4.0
16,1.0,TxG,2.9
17,1.0,TG,3.0
18,1.0,TxG,2.7
19,1.0,TG,2.0
20,2.0,TxG,3.9
21,2.0,TG,3.0
22,2.0,TxG,1.8
23,2.0,TG,4.0
24,2.0,TxG,3.0
25,2.0,TG,4.0
26,2.0,TxG,2.4
27,2.0,TG,0.0
28,2.0,TxG,3.2
29,2.0,TG,6.0
30,2.0,TxG,1.7
31,2.0,TG,0.0
32,2.0,TxG,2.5
33,2.0,TG,4.0
34,2.0,TxG,3.4000000000000004
35,2.0,TG,1.0
36,2.0,TxG,2.6
37,2.0,TG,4.0
38,2.0,TxG,3.0
39,2.0,TG,2.0
40,3.0,TxG,2.4
41,3.0,TG,1.0
42,3.0,TxG,1.2
43,3.0,TG,3.0
44,3.0,TxG,2.5
45,3.0,TG,2.0
46,3.0,TxG,3.5
47,3.0,TG,4.0
48,3.0,TxG,4.2
49,3.0,TG,5.0
50,3.0,TxG,1.6
51,3.0,TG,3.0
52,3.0,TxG,3.0
53,3.0,TG,3.0
54,3.0,TxG,2.5
55,3.0,TG,2.0
56,3.0,TxG,3.9000000000000004
57,3.0,TG,6.0
58,3.0,TxG,3.1
59,3.0,TG,3.0
60,4.0,TxG,2.5
61,4.0,TG,1.0
62,4.0,TxG,2.3000000000000003
63,4.0,TG,6.0
64,4.0,TxG,3.8
65,4.0,TG,1.0
66,4.0,TxG,4.3
67,4.0,TG,3.0
68,4.0,TxG,3.2
69,4.0,TG,2.0
70,4.0,TxG,3.5999999999999996
71,4.0,TG,9.0
72,4.0,TxG,3.4000000000000004
73,4.0,TG,3.0
74,4.0,TxG,2.4
75,4.0,TG,2.0
76,4.0,TxG,1.1
77,4.0,TG,1.0
78,4.0,TxG,3.3
79,4.0,TG,2.0
80,5.0,TxG,2.0999999999999996
81,5.0,TG,3.0
82,5.0,TxG,2.4
83,5.0,TG,2.0
84,5.0,TxG,2.2
85,5.0,TG,3.0
86,5.0,TxG,2.0
87,5.0,TG,2.0
88,5.0,TxG,1.9
89,5.0,TG,0.0
90,5.0,TxG,4.0
91,5.0,TG,6.0
92,5.0,TxG,2.8
93,5.0,TG,3.0
94,5.0,TxG,1.7999999999999998
95,5.0,TG,2.0
